country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
AD,ALV,Andorra la Vella,Andorra la Vella,,AI,--34-6--,,42.5,1.5166666666666666,
AD,CAN,Canillo,Canillo,,RL,--3-----,,42.56666666666667,1.5833333333333335,
AD,ENC,Encamp,Encamp,,RL,--3-----,,42.53333333333333,1.5666666666666667,
AD,ESC,Escaldes-Engordany,Escaldes-Engordany,,RL,--3-----,,42.516666666666666,1.55,
AD,EAC,Esc�s,Escas,04,RL,--3-----,,42.55,1.5166666666666666,
AD,FMO,La Farga de Moles,La Farga de Moles,,RQ,--3----B,,42.48944,1.61012,true
AD,LMA,La Massana,La Massana,,RL,--3-----,,42.56666666666667,1.4833333333333334,
AD,ORD,Ordino,Ordino,,RL,--3-----,,42.55,1.5166666666666666,
AD,PAS,Pas de la Casa,Pas de la Casa,,RL,--3----B,,42.55,1.7333333333333334,
AD,SJL,Sant Juli� de L�ria,Sant Julia de Loria,,RL,--3-----,,42.46666666666667,1.5,
AD,SCO,Santa Coloma,Santa Coloma,,RL,--3-----,,42.5,1.5,
