country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
AE,ABU,Abu al Bukhoosh,Abu al Bukhoosh,,RL,1-------,,25.483333333333334,53.13333333333333,
AE,AUH,Abu Dhabi,Abu Dhabi,AZ,AI,1-345---,,24.466666666666665,54.36666666666667,
AE,AMU,Abu Musa,Abu Musa,,RL,1-------,,25.866666666666667,55.016666666666666,
AE,ARP,Ahmed Bin Rashid Port,Ahmed Bin Rashid Port,AZ,RL,1-------,,25.533333333333335,55.55,
AE,AJM,Ajman,Ajman,,RL,1-3-----,QAJ,25.3936557,55.4451432,true
AE,AAN,Al Ain,Al Ain,,AI,---4----,,24.2248697,55.7452211,true
AE,AWE,Al Aweer,Al Aweer,DU,RQ,-23-----,,25.183333333333334,55.55,
AE,ALB,Al Barsha,Al Barsha,DU,RL,--3-----,,25.1,55.18333333333333,
AE,DHF,Al Dhafra,Al Dhafra,,AI,--34----,,24.233333333333334,54.53333333333333,
AE,FJR,Al Fujayrah,Al Fujayrah,FU,AI,1--4----,,25.116666666666667,56.333333333333336,
AE,HAM,Al Hamriyah,Al Hamriyah,,RL,--3-----,,25.483333333333334,55.5,
AE,JAZ,Al Jazeera Port,Al Jazeera Port,RK,RL,1-------,,25.716666666666665,55.8,
AE,AJP,Al Jeer Port,Al Jeer Port,RK,RL,1-3-----,,26.033333333333335,56.05,
AE,DBI,Al Mafraq,Al Mafraq,AZ,RL,--3-----,,24.3,54.6,
AE,ALQ,Al Quoz,Al Quoz,DU,RL,--3-----,,25.116666666666667,55.21666666666667,
AE,ALS,Al Sufouh,Al Sufouh,DU,RL,--3-----,,25.116666666666667,55.18333333333333,
AE,RUW,Ar Ruways,Ar Ruways,,RL,1-------,,24.116666666666667,52.733333333333334,
AE,ARZ,Arzanah Island,Arzanah Island,,RQ,0-------,,24.78852065,52.5611072558835,true
AE,DAS,Das Island,Das Island,,RL,1-------,,25.141930950000003,52.87754029432629,true
AE,DER,Deira,Deira,DU,RL,--3-----,,25.266666666666666,55.31666666666667,
AE,DBP,Dibba,Dibba,SH,RL,1-3-----,,25.616666666666667,56.266666666666666,
AE,DXB,Dubai,Dubai,DU,AI,1-345---,,25.25,55.266666666666666,
AE,DWC,Dubai World Central Apt,Dubai World Central Apt,,AI,--34----,,24.883333333333333,55.166666666666664,
AE,END,Esnnad,Esnnad,AZ,RQ,1-------,,24.316666666666666,54.45,
AE,FAT,Fateh Terminal,Fateh Terminal,,QQ,1-------,,,,
AE,FRP,Free Port,Free Port,DU,RL,1-------,,25.25,55.25,
AE,HAB,Habshan,Habshan,AZ,RL,--3-----,,23.933333333333334,53.63333333333333,
AE,HIL,Hail,Hail,AZ,RL,------7-,,35,33.5,
AE,HZP,Hamriya Free Zone Port,Hamriya Free Zone Port,DU,RL,1-------,,25.3,55.31666666666667,
AE,HSN,Hassyan,Hassyan,DU,AA,1-3-----,,24.9,54.9,
AE,HAT,Hatta,Hatta,DU,RL,--3-----,,24.783333333333335,56.11666666666667,
AE,HTL,Hulaylah Terminal,Hulaylah Terminal,,RQ,1-------,,25.983333333333334,55.93333333333333,
AE,IND,Indooroodilly,Indooroodilly,,RQ,--3-----,,,,
AE,JEA,Jebel Ali,Jebel Ali,,QQ,1-------,,24.918912,55.056468,true
AE,QWE,Jebel Ali Free Zone,Jebel Ali Free Zone,DU,RL,1-3-----,,25,55.05,
AE,SZE,Jebel Ali Free Zone (South),Jebel Ali Free Zone (South),DU,AM,--3--6--,,24.95,55.11666666666667,
AE,IDA,Jebel Ali Industrial Area,Jebel Ali Industrial Area,DU,AM,--3--6--,,25,55.11666666666667,
AE,JED,Jebel Dhanna,Jebel Dhanna,,QQ,1-------,,24.1651,52.642,true
AE,JYH,Jumayrah,Jumayrah,,RL,--3-----,,25.166666666666668,55.21666666666667,
AE,KLB,Kalba,Kalba,,RL,1-3-----,,25.066666666666666,56.35,
AE,KHA,Khalidia,Khalidia,,RQ,--3-----,,25.3377,55.36843,true
AE,KLF,Khor al Fakkan,Khor al Fakkan,,RL,1-------,,25.333333333333332,56.35,
AE,MAS,Masfut,Masfut,,RQ,0-------,,24.8227592,56.0708713,true
AE,MKH,Mina Khalid,Mina Khalid,SH,RL,1-3-----,,25.35,55.36666666666667,
AE,KHL,Mina Khalifa/Abu Dhabi,Mina Khalifa/Abu Dhabi,,RL,1-------,,24.833333333333332,54.666666666666664,
AE,MRP,Mina Rashid Port,Mina Rashid Port,AZ,RL,1-------,,25.266666666666666,55.28333333333333,
AE,MSA,Mina Saqr,Mina Saqr,RK,RQ,1-------,,25.966666666666665,56.06666666666667,
AE,MZD,Mina Zayed/Abu Dhabi,Mina Zayed/Abu Dhabi,AZ,RL,1-------,,24.516666666666666,54.36666666666667,
AE,NHD,Minhad,Minhad,,AI,---4----,,,,
AE,RFA,Mirfa,Mirfa,AZ,RQ,1----6--,,25.466666666666665,53.483333333333334,
AE,MUB,Mubarek Terminal,Mubarek Terminal,,QQ,1-------,,,,
AE,MBS,Mubarras Island,Mubarras Island,,RQ,1-------,,,,
AE,FMZ,Musafa,Musafa,,RQ,0-------,,,,
AE,AMF,Musaffah,Musaffah,AZ,RL,1-3-----,,24.383333333333333,54.483333333333334,
AE,OFJ,Offshore Fujairah,Offshore Fujairah,,RQ,------7-,,25.25,56.666666666666664,
AE,PRA,Port Rashid,Port Rashid,,RQ,1-------,,25.2709307,55.26583096980693,true
AE,RKP,Rak Khor Port,Rak Khor Port,RK,RL,1-------,,25.816666666666666,55.95,
AE,RMC,Rak Maritime City,Rak Maritime City,RK,RL,1-------,,25.95,56.05,
AE,RKT,Ras al Khaimah,Ras al Khaimah,,AI,1--4----,,25.783333333333335,55.95,
AE,RAK,Ras Al Khor,Ras Al Khor,DU,RQ,-----6--,,25.283333333333335,55.56666666666667,
AE,DUY,Ras Zubbaya (Ras Dubayyah),Ras Zubbaya (Ras Dubayyah),,RQ,0-------,,,,
AE,REI,Reem Island,Reem Island,AZ,RL,--3-----,,24.483333333333334,54.4,
AE,RWP,Ruwais Port,Ruwais Port,AZ,RL,1-------,,24.1,52.71666666666667,
AE,SID,Sadiyat Island,Sadiyat Island,,RQ,1-------,,24.533333333333335,54.4,
AE,SZS,Saif Zone,Saif Zone,SH,AM,--3--6--,,25.333333333333332,55.483333333333334,
AE,SHJ,Sharjah,Sharjah,SH,AI,1-34----,,25.35,55.38333333333333,
AE,SIL,Sila,Sila,AZ,RL,--3-----,,24.066666666666666,51.75,
AE,SRT,Stevin Rock,Stevin Rock,RK,RL,-----6--,,25.966666666666665,56.05,
AE,SWE,Swaihan,Swaihan,AZ,RL,--3-----,,24.45,55.333333333333336,
AE,DUJ,The Palm Jumeirah,The Palm Jumeirah,DU,RQ,1-------,,25.127804599999997,55.15351511806982,true
AE,ULR,Umm Al Nar,Umm Al Nar,,RQ,1-------,,24.433333333333334,54.5,
AE,QIW,Umm al Quwain,Umm al Quwain,,AI,1--4----,,25.583333333333332,55.583333333333336,
AE,VHT,Vopak Horizion Terminal,Vopak Horizion Terminal,RK,RL,-----6--,,25.616666666666667,56.266666666666666,
AE,YAS,Yas Island,Yas Island,AZ,RL,1-------,,24.316666666666666,52.6,
AE,ZUR,Zirku Island,Zirku Island,AZ,RL,1-------,,24.883333333333333,53.06666666666667,
