country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
AF,ASH,Ali Shirzayi,Ali Shirzayi,URU,RQ,--3-----,,32.86666666666667,66.05,
AF,BAG,Bagram,Bagram,PAR,RL,--3-----,,34.95,69.25,
AF,BIN,Bamian,Bamian,,AI,--34----,,34.80933455,67.81760162464032,true
AF,BEP,Bazar-E-Panjwai,Bazar-E-Panjwai,KAN,RQ,--3-----,,31.55,65.45,
AF,BST,Bost,Bost,,AI,---4----,,31.55956085,64.36796841079754,true
AF,CBN,Camp Bastion,Camp Bastion,HEL,RQ,--34----,OAZ,31.85,64.21666666666667,
AF,CDW,Camp Dwyer,Camp Dwyer,HEL,RQ,--3-----,,31.116666666666667,64.18333333333334,
AF,CLN,Camp Leatherneck,Camp Leatherneck,HEL,RL,--3-----,,31.883333333333333,64.18333333333334,
AF,CSO,Camp Salerno,Camp Salerno,KHO,RL,--3-----,,33.4,70.06666666666666,
AF,CWO,Camp Wolverine,Camp Wolverine,ZAB,RQ,--3-----,,32.06666666666667,67.2,
AF,CCN,Chaghcharan,Chaghcharan,,AI,---4----,,34.516666666666666,65.25,
AF,DAZ,Darwaz,Darwaz,,AI,---4----,,38.4068088,70.8189738,true
AF,DHD,Dehdadi,Dehdadi,BAL,RL,1----6--,,36.65,66.98333333333333,
AF,ISQ,Eslam Qal'eh,Eslam Qal'eh,,RL,--3-----,,34.666666666666664,61.06666666666667,
AF,FBD,Faizabad,Faizabad,,AI,---4----,,37.1187512,70.5784966,true
AF,FAH,Farah,Farah,,AI,---4----,,32.361746600000004,62.16475794660998,true
AF,FRO,FOB Frontenac,FOB Frontenac,KAN,RQ,--3-----,,31.616666666666667,65.65,
AF,RMD,FOB Ramrod,FOB Ramrod,KAN,RQ,--3-----,,31.75,65.11666666666666,
AF,SHK,FOB Shank,FOB Shank,LOG,RQ,--3-----,,34,69.28333333333333,
AF,GRG,Gardez,Gardez,,AI,---4----,,33.6293827,69.23865550743662,true
AF,GAR,Gardiz,Gardiz,PIA,RL,--3-----,,33.583333333333336,69.21666666666667,
AF,GZI,Ghazni,Ghazni,,AI,---4----,,33.5047843,68.41428490562872,true
AF,HRT,Hairatan,Hairatan,,RQ,0-------,,37.2221321,67.4248608,true
AF,HEA,Herat,Herat,,AI,---4----,,34.3508273,62.2164003,true
AF,JAA,Jalalabad,Jalalabad,,AI,---4----,,34.430195,70.460128,true
AF,KBL,Kabul,Kabul,,AI,--345---,,34.566688400000004,69.20650065196745,true
AF,KMU,Kamu,Kamu,KNR,RQ,--3-----,,35.4,71.41666666666667,
AF,KDH,Kandahar,Kandahar,,AI,--34----,,31.6205738,65.7157573,true
AF,KHT,Khost,Khost,,AI,---4----,,33.3347264,69.95449684601891,true
AF,KHO,Khowst,Khowst,KNR,RL,--3-----,,35.2,70.83333333333333,
AF,KWT,Khowst,Khowst,PIA,RL,--3-----,,33.333333333333336,69.91666666666667,
AF,KWH,Khwahan,Khwahan,,AI,---4----,,37.8922826,70.203661,true
AF,UND,Kunduz,Kunduz,,AI,---4----,,36.7175566,68.8672916,true
AF,KUR,Kuran-O-Munjan,Kuran-O-Munjan,,AI,---4----,,36.0173101,70.7613139,true
AF,LAG,Lashkar Gah,Lashkar Gah,HEL,RL,--3-----,,31.583333333333332,64.35,
AF,MMZ,Maimana,Maimana,,AI,---4----,,35.9304371,64.76118060946182,true
AF,MWD,Maiwand,Maiwand,KAN,RL,--3-----,,31.733333333333334,65.13333333333334,
AF,MAS,Mashad,Mashad,,RQ,0-------,,36.7788779,70.1188472,true
