country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
AI,AXA,Anguilla,Anguilla,,AI,---45---,,18.2054832,-63.05608188224072,true
AI,BLP,Blowing Point,Blowing Point,,QQ,1-------,,18.17504,-63.0936881,true
AI,CRH,Crocus Hill,Crocus Hill,,RL,--3-----,,18.216666666666665,-63.06666666666667,
AI,MBB,Meads Bay Beach,Meads Bay Beach,,RL,1-------,,18.166666666666668,-63.13333333333333,
AI,RBY,Road Bay,Road Bay,,RL,--3-----,,18.1993278,-63.09481509732498,true
AI,SOM,Sombrero,Sombrero,,RQ,1-------,,18.6,-63.46666666666667,
AI,FOR,The Forest,The Forest,,QQ,1-------,,18.23347,-62.99681,true
AI,ROA,The Road,The Road,,QQ,1-------,,18.23347,-62.99681,true
AI,VAL,The Valley,The Valley,,RL,--3-----,,18.216666666666665,-63.05,
AI,WLL,Wall Blake,Wall Blake,,RL,1--4----,,,,
