country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
AL,ARG,Argyrokastro,Argyrokastro,,RQ,--3-----,,40.11666666666667,20.216666666666665,
AL,BRT,Berat,Berat,BR,RL,--3--6--,,40.71666666666667,19.95,
AL,BQE,Bulqiz�,Bulqize,09,RL,--3-----,,41.483333333333334,20.216666666666665,
AL,BUT,Butrint,Butrint,SR,RQ,1-------,,39.75,20.016666666666666,
AL,DRZ,Durr�s,Durres,,RL,1-------,,41.313255,19.4462348,true
AL,NPP,Elbasan,Elbasan,EL,RL,-23-----,,41.1,20.066666666666666,
AL,FIE,Fier,Fier,,RL,-23-----,,40.733333333333334,19.566666666666666,
AL,FUS,Fushe Arrez,Fushe Arrez,SH,RL,-----6--,,42.05,20.016666666666666,
AL,GOK,Gjirokast�r,Gjirokaster,GJ,RL,--3--6--,,40.083333333333336,20.15,
AL,HMR,Himare,Himare,SR,RQ,1-------,,40.13333333333333,19.716666666666665,
AL,KRC,Kor��,Korce,KO,RL,--3-----,,40.61666666666667,20.766666666666666,
AL,KKU,Kuk�s,Kukes,KU,RL,--3--6--,,42.083333333333336,20.416666666666668,
AL,LZE,Lezhe,Lezhe,LE,RL,--3-----,,41.78333333333333,19.633333333333333,
AL,LUS,Lushnj�,Lushnje,LU,RL,--3-----,,40.93333333333333,19.7,
AL,MBR,Mbreshtan,Mbreshtan,01,RL,--3-----,,40.7,19.866666666666667,
AL,MIL,Milot,Milot,08,RL,--3-----,,41.666666666666664,19.716666666666665,
AL,ROM,Romano Port,Romano Port,02,RL,1-3-----,,41.36666666666667,19.416666666666668,
AL,SAR,Sarand�,Sarande,SR,RL,1-------,,39.88333333333333,20,
AL,SHG,Sh�ngjin,Shengjin,LE,RL,1-------,,41.8,19.566666666666666,
AL,SHK,Shkoder,Shkoder,,RL,--3-----,,42.06666666666667,19.516666666666666,
AL,SHZ,Shkozet,Shkozet,KA,RL,-----6--,,42.03333333333333,19.566666666666666,
AL,TEN,Tenes,Tenes,,RQ,0-------,,,,
AL,TIA,Tirana,Tirana,,AI,---45---,,41.3281482,19.8184435,true
AL,VOA,Vlor�,Vlore,VL,RL,1-------,,40.46666666666667,19.483333333333334,
AL,VOR,Vore,Vore,TR,RL,--3-----,,41.38333333333333,19.65,
