country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
AO,FBY,Farta Bay,Farta Bay,,RQ,1-------,,-12.616666666666667,13.2,
AO,FLT,Futila Terminal,Futila Terminal,,RQ,1-------,,-5.45,12.183333333333334,
AO,GIM,Gimboa,Gimboa,,RL,1-------,,-7.533333333333333,12.166666666666666,
AO,GIR,Girassol Terminal,Girassol Terminal,,RL,1-------,,-7.633333333333333,11.683333333333334,
AO,GPO,Greater Plutonio,Greater Plutonio,,RL,1-------,,-7.833333333333333,12.116666666666667,
AO,NOV,Huambo,Huambo,,AI,---4----,,-12.8074989,15.757342194111722,true
AO,JMB,Jamba,Jamba,,AI,---4----,,-14.6971472,16.077006917965996,true
AO,KTI,Kiame Terminal,Kiame Terminal,,RQ,1-------,,,,
AO,SVP,Kuito,Kuito,,AI,---4----,,-12.3831319,16.9425484,true
AO,KOT,Kuito Terminal,Kuito Terminal,,RQ,1-------,,-5.433333333333334,11.483333333333333,
AO,LAA,Landana (Cacongo),Landana (Cacongo),,RL,1-------,,-9.70781,15.39774,true
AO,LIE,Lieura,Lieura,,QQ,1-------,,,,
AO,LOB,Lobito,Lobito,,RL,1---5---,,-12.3506867,13.5464318,true
AO,LBT,Lombo Terminal,Lombo Terminal,,RQ,1-------,,-6.983333333333333,12.35,
AO,LAD,Luanda,Luanda,,AI,1--45---,,-8.861408,13.228756132544063,true
AO,UAL,Luau,Luau,,AI,---4----,,-10.7025518,22.2275381,true
AO,SDD,Lubango,Lubango,,AI,---4----,,-14.9238876,13.48891865965896,true
AO,LUC,Lucira,Lucira,,RL,1-3-----,,-13.8654983,12.5248067,true
AO,LUO,Luena,Luena,,AI,---4----,,-11.7688862,19.89697718019314,true
AO,LBZ,Lukapa,Lukapa,,AI,---4----,,-8.4405395,20.7320763,true
AO,GGC,Lumbala,Lumbala,,AI,---4----,,-14.1074866,21.4406529,true
AO,LZM,Luzamba,Luzamba,,AI,---4----,,-9.112907,18.051073344366763,true
AO,MEG,Malange,Malange,,AI,---4----,,-8.0938885,19.009655,true
AO,MLO,Malembo,Malembo,,RL,--3-----,,-5.3707466,12.2102581,true
AO,MAL,Malongo,Malongo,,RQ,0-------,,-7.26667,16.4,true
AO,MDZ,Maquela Do Zombo,Maquela Do Zombo,UIG,RL,--3-----,,-6.066666666666666,15.1,
AO,MTL,Matala,Matala,HUI,RL,--3-----,,-14.733333333333333,15.033333333333333,
AO,SSY,M'banza Congo,M'banza Congo,,AI,---4----,,-6.2693545,14.247235115042066,true
AO,SPP,Menongue,Menongue,,AI,---4----,,-14.65800685,17.71826276366948,true
AO,MOS,Mocamedes,Mocamedes,,RQ,--3-----,,-15.166666666666666,12.15,
AO,MSZ,Namibe,Namibe,,AI,1--4----,,-15.2616616,12.144813546416,true
AO,NDF,N'dalatando,N'dalatando,CNO,AI,---4----,,-9.3,14.916666666666666,
AO,GXG,Negage,Negage,,AI,---4----,,-7.762045,15.294727,true
AO,NQI,N�qui,Noqui,,RL,123-----,,-5.85,13.433333333333334,
AO,NRQ,N'Riquinha,N'Riquinha,,AI,---4----,,,,
AO,NZA,Nzagi,Nzagi,,AI,---4----,,-7.7163208,21.357901621931624,true
