country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon
AQ,ABA,Aboa,Aboa,,RL,1-------,,-73.05,-13.416666666666666
AQ,AMS,Amundsen-Scott,Amundsen-Scott,,RL,--3-----,,-89.98333333333333,139.26666666666668
AQ,ARC,Arctowski,Arctowski,,RL,1-------,,-62.15,-58.46666666666667
AQ,ART,Artigas,Artigas,,RL,1-------,,-62.18333333333333,-58.9
AQ,APT,Arturo Prat,Arturo Prat,,RL,1-------,,-62.5,-59.68333333333333
AQ,BEL,Belgrano II,Belgrano II,,RL,--3-----,,-77.86666666666666,-34.61666666666667
AQ,BHN,Bellingshausen,Bellingshausen,,RL,1-------,,-62.18333333333333,-58.95
AQ,CAS,Casey Station,Casey Station,,RL,1-------,,-66.28333333333333,110.51666666666667
AQ,CFZ,Comandante Ferraz,Comandante Ferraz,,RL,1-------,,-62.083333333333336,-58.38333333333333
AQ,CON,Concordia,Concordia,,RL,--3-----,,-75.1,123.38333333333334
AQ,DAV,Davis Station,Davis Station,,RL,1-------,,-68.56666666666666,77.96666666666667
AQ,DMF,Dome Fuji,Dome Fuji,,RL,--3-----,,-77.31666666666666,39.7
AQ,DRZ,Druzhnaya 4,Druzhnaya 4,,RL,--3-----,,-69.73333333333333,73.7
AQ,DDU,Dumont d'Urville Station,Dumont d'Urville Station,,RL,1-------,,-66.65,140
AQ,ESC,Escudero,Escudero,,RL,1-------,,-62.2,-58.95
AQ,ESP,Esperanza,Esperanza,,RL,1-------,,-63.38333333333333,-56.983333333333334
AQ,GDC,Gabriel de Castilla,Gabriel de Castilla,,RL,--3-----,,-62.983333333333334,-60.68333333333333
AQ,OHG,General Bernardo O'higgins,General Bernardo O'higgins,,RL,1-------,,-63.31666666666667,-57.9
AQ,GWL,Great Wall,Great Wall,,RL,1-------,,-62.21666666666667,-58.96666666666667
AQ,HLY,Halley,Halley,,RL,1-------,,-75.56666666666666,-26.533333333333335
AQ,JBS,Jang Bogo Station,Jang Bogo Station,,RL,1-------,,-74.6,164.2
AQ,JCP,Juan Carlos Primero,Juan Carlos Primero,,RL,1-------,,-62.65,-60.38333333333333
AQ,JUB,Jubany,Jubany,,RL,1-------,,-62.233333333333334,-58.65
AQ,KSG,King Sejong,King Sejong,,RL,1-------,,-62.21666666666667,-58.78333333333333
AQ,KHN,Kohnen,Kohnen,,RL,1-------,,-75,0.06666666666666667
AQ,LAW,Law Base,Law Base,,RL,1-------,,-69.38333333333334,76.38333333333334
AQ,MTR,Maitri,Maitri,,RL,--3-----,,-70.75,11.733333333333333
AQ,MRB,Marambio,Marambio,,RL,1-------,,-64.23333333333333,-56.65
AQ,MZU,Mario Zucchelli,Mario Zucchelli,,RL,1-------,,-74.68333333333334,164.11666666666667
AQ,MAW,Mawson Station,Mawson Station,,RL,1-------,,-67.6,62.86666666666667
AQ,MCM,McMurdo,McMurdo,,RL,1--4----,,-77.83333333333333,166.66666666666666
AQ,MIR,Mirny,Mirny,,RL,1-------,,-66.55,93
AQ,NEU,Neumayer,Neumayer,,RL,--3-----,,-70.63333333333334,-8.25
AQ,NOV,Novolazarevskaya,Novolazarevskaya,,RL,--3-----,,-70.76666666666667,11.85
AQ,ORC,Orcadas,Orcadas,,RL,1-------,,-60.733333333333334,-44.733333333333334
AQ,PLM,Palmer,Palmer,,RL,1-------,,-64.76666666666667,-64.05
AQ,PFS,Port Foster,Port Foster,,RL,1-------,,-63,-60.56666666666667
AQ,PRO,Progress,Progress,,RL,1-------,,-69.4,76.38333333333334
AQ,ROT,Rothera,Rothera,,RL,1-------,,-67.56666666666666,-68.11666666666666
AQ,SMT,San Mart�n,San Martin,,RL,1-------,,-68.11666666666666,-67.1
AQ,SNA,SANAE IV,SANAE IV,,RL,--3-----,,-71.66666666666667,-2.8166666666666664
AQ,SBA,Scott Base,Scott Base,,RL,--3-----,,-77.85,166.75
AQ,SGN,Signy,Signy,,RL,1-------,,-60.71666666666667,-45.6
AQ,SYW,Syowa,Syowa,,RL,1-------,,-69,39.583333333333336
AQ,TNM,Teniente R. Marsh,Teniente R. Marsh,,AI,---4----,,-62.21666666666667,-58.916666666666664
AQ,TOR,Tor,Tor,,RL,--3-----,,-71.88333333333334,5.15
AQ,TRL,Troll,Troll,,RL,--3-----,,-72,2.533333333333333
AQ,VKY,Vernadsky,Vernadsky,,RL,1-------,,-65.23333333333333,-64.25
AQ,VOS,Vostok,Vostok,,RL,--3-----,,-78.46666666666667,106.8
AQ,WSA,Wasa,Wasa,,RL,1-------,,-73.05,-13.416666666666666
AQ,ZGN,Zhongshan,Zhongshan,,RL,1-------,,-69.36666666666666,76.38333333333334
