country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
AT,ABC,Abfaltersbach,Abfaltersbach,7,RL,--3-----,,46.75,12.533333333333333,
AT,ABS,Absam,Absam,7,RL,--3-----,,47.3,11.5,
AT,ABT,Abtenau,Abtenau,5,RQ,--3-----,,47.55,13.35,
AT,AWD,Abwinden,Abwinden,4,RL,-23-----,,48.266666666666666,14.433333333333334,
AT,FG7,Achau,Achau,,RQ,1----6--,,48.666666666666664,-162.5,
AT,ACK,Achenkirch,Achenkirch,7,RL,--3-----,,47.516666666666666,11.7,
AT,AND,Aderklaa,Aderklaa,3,RL,--3-----,,48.28333333333333,16.533333333333335,
AT,AWG,Adlwang,Adlwang,,RL,--3-----,,47.983333333333334,14.216666666666667,
AT,ADO,Admont,Admont,6,RL,-23-----,,47.56666666666667,14.45,
AT,SAD,Adnet,Adnet,5,RL,-----6--,,47.68333333333333,13.133333333333333,
AT,AFR,Afritz,Afritz,,RL,--3-----,,46.71666666666667,13.8,
AT,AGG,Aggsbach Dorf,Aggsbach Dorf,3,RL,--3-----,,48.28333333333333,15.416666666666666,
AT,AGM,Aggsbach Markt,Aggsbach Markt,3,RL,--3-----,,48.3,15.4,
AT,ACH,Aich,Aich,2,RL,--3-----,,46.583333333333336,14.033333333333333,
AT,AIN,Aigen,Aigen,4,RQ,-----6--,,48.5,13.9,
AT,AIG,Aigen im M�hlkreis,Aigen im Muhlkreis,,RL,--3-----,,48.63333333333333,13.95,
AT,ARO,Albersdorf,Albersdorf,6,RL,--3-----,,47.11666666666667,15.683333333333334,
AT,AKV,Alkoven,Alkoven,4,RL,--3-----,,48.28333333333333,14.1,
AT,ALE,Allentsteig,Allentsteig,,RL,--3-----,,48.68333333333333,15.316666666666666,
AT,ALH,Allerheiligen,Allerheiligen,6,RL,--3-----,,46.9,15.55,
AT,ALL,Allhaming,Allhaming,4,RL,--3-----,,48.15,14.166666666666666,
AT,NAL,Allhartsberg,Allhartsberg,3,RL,--3--6--,,48.016666666666666,14.783333333333333,
AT,AL9,Alpbach,Alpbach,7,RL,--3-----,,47.4,11.95,
AT,ATH,Altach,Altach,8,RL,-23--6--,,47.35,9.65,
AT,ATS,Altaussee,Altaussee,6,RL,-----6--,,47.63333333333333,13.766666666666667,
AT,AL4,Altenberg,Altenberg,3,RL,--3-----,,48.333333333333336,16.233333333333334,
AT,AGZ,Altenberg bei Linz,Altenberg bei Linz,4,RL,--3-----,,48.36666666666667,14.333333333333334,
AT,RUG,Altenburg,Altenburg,3,RL,--3-----,,48.63333333333333,15.583333333333334,
