country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
AU,ABP,Abbot Point,Abbot Point,QLD,AC,1-------,,-19.9,148.08333333333334,
AU,ABA,Abbotsford,Abbotsford,VIC,RL,--3-----,,-37.8,145,
AU,ALP,Abell Point,Abell Point,QLD,AC,1-3-----,,-20.266666666666666,148.71666666666667,
AU,ABD,Aberdeen,Aberdeen,NSW,RL,--3-----,,-32.166666666666664,150.9,
AU,S4A,Aberfoyle Park,Aberfoyle Park,SA,RL,--3-----,,-35.06666666666667,138.6,
AU,ABG,Abingdon,Abingdon,QLD,AI,---4----,,-17.6053182,143.1830629,true
AU,ACA,Acacia Ridge,Acacia Ridge,QLD,RL,--3-----,,-27.583333333333332,153.01666666666668,
AU,MST,Adamstown,Adamstown,NSW,RL,--3-----,,-32.93333333333333,151.71666666666667,
AU,ADL,Adelaide,Adelaide,SA,AC,12345---,,-34.916666666666664,138.58333333333334,
AU,ADA,Adelaide Apt,Adelaide Apt,SA,AC,---4----,,-34.929075,138.602578,true
AU,ALO,Adelong,Adelong,NSW,RL,--3-----,,-35.31666666666667,148.06666666666666,
AU,ANB,Agnes Bank,Agnes Bank,NSW,RL,--3-----,,-33.6,150.7,
AU,AGW,Agnew,Agnew,QLD,AI,---4----,,-28.01194,120.5186,true
AU,WSY,Airlie Beach,Airlie Beach,QLD,AI,---4----,,-20.2766778,148.75536708748388,true
AU,AIR,Airlie Terminal,Airlie Terminal,WA,RL,1-------,,-21.333333333333332,115.16666666666667,
AU,APW,Airport West,Airport West,VIC,RL,--3-----,,-37.733333333333334,144.88333333333333,
AU,ALH,Albany,Albany,WA,AC,1--4----,,-35.0247822,117.883608,true
AU,ACK,Albany Creek,Albany Creek,QLD,RL,-----6--,,-27.35,152.98333333333332,
AU,ABO,Alberton,Alberton,QLD,RL,--3-----,,-27.7,153.25,
AU,APK,Albion Park,Albion Park,NSW,RL,--3-----,,-34.56666666666667,150.78333333333333,
AU,ABX,Albury,Albury,NSW,AI,-234----,,-36.083333333333336,146.91666666666666,
AU,ALD,Aldgate,Aldgate,SA,RL,1----6--,,-35.016666666666666,138.73333333333332,
AU,ADG,Aldinga,Aldinga,SA,RL,--3-----,,-35.28333333333333,138.48333333333332,
AU,AVA,Alexandra,Alexandra,VIC,RL,-----6--,,-37.18333333333333,145.7,
AU,ALX,Alexandria,Alexandria,NSW,RL,--3-----,,-33.9,151.21666666666667,
