country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
AW,AUA,Aruba,Aruba,,AI,1--4----,,12.5,-69.96666666666667,
AW,BAR,Barcadera,Barcadera,,RL,1-------,,12.483333333333333,-69.98333333333333,
AW,BUS,Bushiribana,Bushiribana,,RL,1-34----,,12.55,-69.96666666666667,
AW,DEU,Druif,Druif,,RQ,1-------,,,,
AW,ND9,Noord,Noord,,RL,--3-----,,12.566666666666666,-70.01666666666667,
AW,ORJ,Oranjestad,Oranjestad,,AI,1---5---,,12.52398,-70.02703,true
AW,PAB,Palm Beach,Palm Beach,,RL,--3-----,,12.566666666666666,-70.03333333333333,
AW,PAR,Paradera,Paradera,,RL,--3-----,,12.533333333333333,-70,
AW,SCZ,Santa Cruz,Santa Cruz,,RL,--3-----,,12.5,-69.98333333333333,
AW,SNL,Sint Nicolaas,Sint Nicolaas,,AI,1-------,,12.43333,-69.9,true
