country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
AZ,ABN,Agcabadi,Agcabadi,AGC,RL,--3-----,,40.05,47.45,
AZ,AGS,Agstafa,Agstafa,AGA,RL,--3-----,,41.11666666666667,45.45,
AZ,ALA,Alat,Alat,BA,AM,1-3-----,,39.95,49.4,
AZ,AST,Astara,Astara,,RL,-----6--,,38.45,48.86666666666667,
AZ,BAK,Baku,Baku,,AI,12-45---,,40.3698536,49.953885176184734,true
AZ,DAM,Dalimammadli,Dalimammadli,GOR,RL,--3-----,,40.68333333333333,46.56666666666667,
AZ,DJU,Djulfa,Djulfa,,AI,-2------,,,,
AZ,GAN,Ganja,Ganja,,RL,-----6--,,40.666666666666664,46.35,
AZ,KVD,Gyandzha,Gyandzha,,AI,---4----,,,,
AZ,GYD,Heydar Aliyev International Apt.,Heydar Aliyev International Apt.,BA,RL,---4----,,40.46666666666667,50.03333333333333,
AZ,IMI,Imisli,Imisli,,RL,--3-----,,39.86666666666667,48.05,
AZ,KMZ,Khachmaz,Khachmaz,XAC,RL,1----6--,,41.983333333333334,47.583333333333336,
AZ,KHA,Khanlar,Khanlar,,RL,--3-----,,40.333333333333336,49.81666666666667,
AZ,KBD,Kirovabad,Kirovabad,GA,RQ,-23-----,,,,
AZ,LAN,Lankaran,Lankaran,,RL,--3-----,,38.75,48.85,
AZ,MGC,Mingechaur,Mingechaur,,RL,--3-----,,40.75,47.05,
AZ,NAJ,Naxcivan,Naxcivan,NX,RL,--3--6--,,39.2,45.233333333333334,
AZ,QDG,Qaradag,Qaradag,,RL,123-----,,40.25,49.6,
AZ,KAZ,Qazax,Qazax,QAZ,RL,-23-----,,41.1,45.35,
AZ,QUB,Quba,Quba,,RL,-----6--,,40.166666666666664,48.416666666666664,
AZ,QUS,Qusqara,Qusqara,GA,RL,--3-----,,40.71666666666667,46.28333333333333,
AZ,SAM,Samaxi,Samaxi,SMI,RL,--3-----,,40.61666666666667,48.63333333333333,
AZ,SAN,Sangachal,Sangachal,BA,RL,-23-----,,40.2,49.483333333333334,
AZ,SHI,Shirvan,Shirvan,AGU,RL,1-3-----,,39.916666666666664,48.916666666666664,
AZ,SY9,Siyazan,Siyazan,SIY,RL,-23-----,,41.06666666666667,49.1,
AZ,SUM,Sumgait,Sumgait,,RL,--3-----,,40.583333333333336,49.63333333333333,
AZ,SUQ,Sumqayit,Sumqayit,SM,RL,1-3-----,,40.583333333333336,49.666666666666664,
AZ,TOV,Tovuz,Tovuz,TOV,RL,--3-----,,40.983333333333334,45.61666666666667,
AZ,XIR,Xirdalan,Xirdalan,ABS,RL,--3-----,,40.25,49.75,
AZ,YAL,Yalama,Yalama,,RL,-23-----,,41.75,48.56666666666667,
AZ,ZAQ,Zaqatala,Zaqatala,,RL,--3-----,,41.63333333333333,46.63333333333333,
