country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
BA,BNX,Banja Luka,Banja Luka,SRP,AI,--34----,,44.766666666666666,17.183333333333334,
BA,BER,Berkovici,Berkovici,SRP,RL,--3-----,,43.083333333333336,18.166666666666668,
BA,BHC,Bihac,Bihac,BIH,RL,--3-----,,44.81666666666667,15.866666666666667,
BA,BJA,Bijeljina,Bijeljina,SRP,RL,-23-----,,44.75,19.2,
BA,BIR,Biracevac,Biracevac,,RQ,1-3-----,,44.90539,16.45805,true
BA,BZJ,"""Blazuj"," Sarajevo""","""Blazuj"," Sarajevo""",BIH,--3-----,43.7317374,17.2203809,true
BA,BKR,Bosanska Krupa,Bosanska Krupa,,RL,-23-----,,44.88333333333333,16.15,
BA,BBR,Bosanski Brod (Srpski Brod),Bosanski Brod (Srpski Brod),SRP,RL,-23-----,,45.13333333333333,17.983333333333334,
BA,BPE,Bosanski Petrovac,Bosanski Petrovac,BIH,RL,--3-----,,44.55,16.366666666666667,
BA,BKO,Brcko,Brcko,SRP,RL,-23-----,,44.86666666666667,18.8,
BA,BUD,Budinscina,Budinscina,,RL,--3-----,,46.11666666666667,16.2,
BA,BUG,Bugojno,Bugojno,,RL,-23-----,,44.05,17.433333333333334,
BA,BAA,Busovaca,Busovaca,06,RL,--3-----,,44.083333333333336,17.866666666666667,
BA,4CA,Cazin,Cazin,BIH,RL,1-3-----,,44.96666666666667,15.933333333333334,
BA,CEL,Celinac,Celinac,SRP,RL,--3-----,,44.71666666666667,17.316666666666666,
BA,CIT,Citluk,Citluk,,RL,-----6--,,43.516666666666666,17.733333333333334,
BA,DVA,Derventa,Derventa,SRP,RL,--3-----,,44.96666666666667,17.9,
BA,DBJ,Doboj,Doboj,BIH,RL,--3-----,,44.11666666666667,18.1,
BA,DOJ,Domaljevac,Domaljevac,,RL,1----6--,,45.05,18.566666666666666,
BA,DOV,Donji Vakuf,Donji Vakuf,BIH,RL,-23-----,,44.13333333333333,17.4,
BA,DBA,Dubica,Dubica,,RL,--3-----,,44.516666666666666,16.983333333333334,
BA,DUK,Durdevik,Durdevik,BIH,RL,--3-----,,44.4,18.65,
