country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
BD,AKH,Akhaura,Akhaura,,AI,----5---,,23.8681221,91.2088835,true
BD,ASJ,Ashuganj,Ashuganj,04,RL,1-------,,24.033333333333335,91.01666666666667,
BD,BZL,Barisal,Barisal,,AI,1--4----,,22.7047521,90.370729,true
BD,BNP,Benapole,Benapole,,RL,1-------,,23.05,88.9,
BD,BHL,Bhola,Bhola,13,RL,--3-----,,23.783333333333335,90.41666666666667,
BD,BRG,Bogura,Bogura,,RL,-----6--,,24.85,89.36666666666666,
BD,CHL,Chalna,Chalna,,QQ,1-------,,22.6038492,89.5210646,true
BD,CGP,Chattogram,Chattogram,10,AI,1--45---,,22.333333333333332,91.83333333333333,
BD,CDG,Chuadanga,Chuadanga,27,RQ,-----6--,,24,89.16666666666667,
BD,CXB,Cox's Bazar,Cox's Bazar,,AI,---4----,,21.433333333333334,91.98333333333333,
BD,CLA,Cumilla,Cumilla,,AI,---4----,,23.4358307,91.18634935277066,true
BD,DAC,Dhaka,Dhaka,13,AI,---45---,,24.166666666666668,90.41666666666667,
BD,FNI,Feni,Feni,10,RL,--3-----,,23.016666666666666,91.4,
BD,GAZ,Gazipur,Gazipur,,RL,--3-----,,23.7,90.95,
BD,GPG,Gopalganj,Gopalganj,13,RL,--3-----,,23.216666666666665,90.05,
BD,IRD,Ishurdi,Ishurdi,,AI,---4----,,24.155554600000002,89.04754247501182,true
BD,JSR,Jashore,Jashore,,AI,---4----,,23.184061749999998,89.1603573894632,true
BD,KAM,Kamalapur/Dhaka,Kamalapur/Dhaka,,RQ,--3-----,,25.54446,88.84923,true
BD,KHL,Khulna,Khulna,,AI,1-------,,22.8171664,89.563759,true
BD,KUS,Kushtia,Kushtia,,RL,-----6--,,25.75,89.83333333333333,
BD,LAK,Laksham,Laksham,,AI,----5---,,,,
BD,MNK,Manikganj,Manikganj,13,RL,--3-----,,23.85,90,
BD,MON,Monella,Monella,,RQ,0-------,,,,
BD,MGL,Mongla,Mongla,,RQ,1-------,,22.4679228,89.6040074,true
BD,MBB,Moulvi Bazar,Moulvi Bazar,60,RL,-----6--,,24.483333333333334,91.78333333333333,
BD,MUN,Munshiganj,Munshiganj,35,RL,1-------,,23.55,90.53333333333333,
BD,MYM,Mymensingh,Mymensingh,,AI,----5---,,24.7482129,90.4099158,true
BD,NAR,Narayanganj,Narayanganj,,QQ,123-----,,23.6236732,90.4988075,true
BD,DHA,Narsingdi,Narsingdi,13,RL,-----6--,,23.916666666666668,90.71666666666667,
BD,PAN,Pabna,Pabna,,RL,--3-----,,24.0068082,89.2448341,true
BD,PCR,Panchashar,Panchashar,40,RQ,1----6--,,23.566666666666666,90.5,
BD,PGN,Pangaon,Pangaon,13,RL,1-3-----,,23.65,90.45,
BD,PAR,Parbatipur,Parbatipur,,AI,----5---,,25.6575053,88.9163662,true
BD,PAY,Payra Port,Payra Port,06,AA,1-------,,21.933333333333334,90.26666666666667,
BD,RJH,Rajshahi,Rajshahi,,AI,---4----,,24.3715513,88.5921038,true
BD,RAU,Rangpur,Rangpur,,AI,---4----,,25.7569808,89.241459,true
BD,SPD,Saidpur,Saidpur,,AI,---4----,,25.757940650000002,88.90942375402783,true
BD,SDW,Sandwip,Sandwip,,AI,---4----,,22.4864684,91.4848147,true
BD,SAV,Savar,Savar,13,RL,-----6--,,23.833333333333332,90.25,
BD,ZHM,Shamshernagar,Shamshernagar,,AI,---4----,,24.397981350000002,91.91255859000616,true
BD,SSU,Sherpur Sadar Upazila,Sherpur Sadar Upazila,13,RL,--3-----,,25,90.01666666666667,
BD,SAJ,Sirajganj,Sirajganj,,AI,---4----,,24.4566253,89.7081281,true
BD,ZYL,Sylhet,Sylhet,,AI,---4----,,24.89922,91.8685271,true
BD,TEJ,Tejgaon,Tejgaon,,RL,-----6--,,23.766666666666666,90.4,
BD,TKR,Thakurgaon,Thakurgaon,,AI,---4----,,26.0199568,88.4688764,true
