country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
BE,ALB,Aalbeke,Aalbeke,VWV,RL,-----6--,,50.766666666666666,3.216666666666667,
BE,AAB,Aalst,Aalst,VOV,RN,1-3-----,,50.93333333333333,4.033333333333333,
BE,AAL,Aalter,Aalter,VOV,RN,1-3-----,,51.083333333333336,3.45,
BE,AAS,Aarschot,Aarschot,VBR,RN,--3-----,,50.983333333333334,4.833333333333333,
BE,ARS,Aarsele,Aarsele,VWV,RN,--3-----,,51,3.4166666666666665,
BE,ART,Aartrijke,Aartrijke,VWV,RN,--3-----,,51.11666666666667,3.0833333333333335,
BE,AAR,Aartselaar,Aartselaar,VAN,RN,--3-----,,51.13333333333333,4.383333333333334,
BE,AHL,Achel,Achel,VLI,RL,-23-----,,51.25,5.483333333333333,
BE,ACE,Achet,Achet,WNA,RN,--3-----,,50.333333333333336,5.183333333333334,
BE,ACH,Achouffe,Achouffe,WLX,RN,--3-----,,50.15,5.75,
BE,AGE,Adegem,Adegem,VOV,RN,--3-----,,51.2,3.4833333333333334,
BE,ADK,Adinkerke,Adinkerke,VWV,RN,1-3-----,,51.06666666666667,2.6,
BE,AFF,Affligem,Affligem,VBR,RN,--3-----,,50.88333333333333,4.083333333333333,
BE,AFN,Afsnee,Afsnee,VOV,RN,1-3-----,,51.03333333333333,3.6666666666666665,
BE,AGI,Agimont,Agimont,WNA,RN,--3-----,,50.166666666666664,4.8,
BE,APE,Aiseau-Presles,Aiseau-Presles,WHT,RN,--3-----,,50.416666666666664,4.583333333333333,
BE,ABK,Albertkanaal ports,Albertkanaal ports,,AI,1-------,,,,
BE,AKN,Alken,Alken,VLI,RL,--3-----,,50.86666666666667,5.3,
BE,AEL,Alleur,Alleur,WLG,RN,--3-----,,50.68333333333333,5.5,
BE,ASB,Alsemberg,Alsemberg,VBR,RN,--3-----,,50.733333333333334,4.316666666666666,
BE,AVR,Alveringem,Alveringem,VWV,RN,--3-----,,51.016666666666666,2.716666666666667,
BE,AMY,Amay,Amay,WLG,RN,1-3-----,,50.55,5.316666666666666,
BE,AME,Ambl�ve,Ambleve,WLG,RN,--3-----,,50.35,6.15,
BE,ABY,Ambly,Ambly,WLX,RN,--3-----,,50.15,5.316666666666666,
BE,AML,Amel,Amel,WLG,RL,--3-----,,50.35,6.166666666666667,
BE,AOG,Amougies,Amougies,WHT,RL,--3-----,,50.75,3.4833333333333334,
BE,APS,Ampsin,Ampsin,WLG,RN,1-3-----,,50.53333333333333,5.283333333333333,
BE,AND,Andenne,Andenne,WNA,RL,1-3-----,,50.483333333333334,5.1,
BE,ANL,Anderlecht/Brussel (Bruxelles),Anderlecht/Brussel (Bruxelles),BRU,RL,--3-----,,50.833333333333336,4.3,
BE,ADU,Anderlues,Anderlues,WHT,RN,--3-----,,50.4,4.266666666666667,
BE,ANY,Andoy,Andoy,WAL,RL,--3-----,,50.43333333333333,4.933333333333334,
BE,AMO,Andrimont,Andrimont,WLG,RN,--3-----,,50.61666666666667,5.883333333333333,
BE,ANB,Angleur,Angleur,WLG,RN,123-----,,50.61666666666667,5.583333333333333,
BE,ANG,Angreau,Angreau,WHT,RL,--3-----,,50.35,3.6833333333333336,
BE,ANH,Anh�e,Anhee,WNA,RN,1-3-----,,50.31666666666667,4.883333333333333,
BE,ALI,Anlier,Anlier,WLX,RN,--3-----,,49.78333333333333,5.616666666666667,
BE,AVE,Annevoie,Annevoie,WNA,RN,1-3-----,,50.333333333333336,4.833333333333333,
BE,ANS,Ans,Ans,WLG,RL,--3-----,,50.65,5.533333333333333,
BE,ASR,Anseremme,Anseremme,WNA,RN,1-3-----,,50.25,4.9,
BE,AHE,Antheit,Antheit,WLG,RN,1-3-----,,50.55,5.216666666666667,
BE,AIS,Anthisnes,Anthisnes,WLG,RN,--3-----,,50.483333333333334,5.516666666666667,
BE,ATO,Antoing,Antoing,WHT,RN,1-3-----,,50.56666666666667,3.45,
BE,ANT,Antwerp Churchill Terminal,Antwerp Churchill Terminal,VAN,RL,-----6--,,,,
BE,ANR,Antwerpen,Antwerpen,VAN,AI,12345---,,51.21666666666667,4.416666666666667,
BE,AVG,Anvaing,Anvaing,WAL,RQ,1-3-----,,50.6817661,3.5617225,true
BE,AZM,Anzegem,Anzegem,VWV,RN,--3-----,,50.833333333333336,3.466666666666667,
BE,APL,Appels,Appels,VOV,RN,1-3-----,,51.03333333333333,4.066666666666666,
BE,APT,Appelterre-Eichem,Appelterre-Eichem,VOV,RL,123-----,,50.81666666666667,3.966666666666667,
BE,ABE,Arbre,Arbre,WHT,RN,--3-----,,50.6,3.8166666666666664,
BE,ACS,Archennes,Archennes,WBR,RL,-23-----,,50.75,4.666666666666667,
BE,ADO,Ardooie,Ardooie,VWV,RN,--3-----,,50.983333333333334,3.2,
BE,AEJ,Arendonk,Arendonk,VAN,RN,1-3-----,,51.31666666666667,5.083333333333333,
BE,AGT,Argenteau,Argenteau,WLG,RN,1-3-----,,50.7,5.7,
BE,ARL,Arlon,Arlon,WLX,RN,--3-----,,49.68333333333333,5.816666666666666,
BE,AQE,Arquennes,Arquennes,WHT,RN,--3-----,,50.56666666666667,4.266666666666667,
BE,ASS,As,As,VLI,RN,--3-----,,51.016666666666666,5.583333333333333,
BE,ASE,Aspelare,Aspelare,VOV,RN,--3-----,,50.833333333333336,3.95,
BE,ASP,Asper,Asper,VOV,RN,1-3-----,,50.916666666666664,3.65,
BE,AES,Asse,Asse,VBR,RN,--3-----,,50.916666666666664,4.2,
BE,ABR,Assebroek,Assebroek,VWV,RN,--3-----,,51.2,3.2666666666666666,
BE,ANE,Assenede,Assenede,VOV,RN,--3-----,,51.233333333333334,3.75,
BE,ASN,Assesse,Assesse,WNA,RN,--3-----,,50.36666666666667,5.016666666666667,
BE,AST,Astene,Astene,VOV,RL,1-3-----,,50.983333333333334,3.55,
BE,ATH,Ath,Ath,WHT,RN,123-----,,50.61666666666667,3.7666666666666666,
BE,7PD,Athis,Athis,WHT,RL,1-3-----,,50.36666666666667,3.7666666666666666,
BE,AAT,Athus,Athus,WLX,RN,-23-----,,49.56666666666667,5.833333333333333,
BE,AHO,Attenhoven,Attenhoven,VBR,RN,--3-----,,50.766666666666666,5.1,
BE,ARO,Attenrode,Attenrode,VBR,RN,--3-----,,50.88333333333333,4.916666666666667,
BE,ATE,Attert,Attert,WLX,RN,--3-----,,49.766666666666666,5.783333333333333,
BE,ARE,Attre,Attre,WHT,RN,--3-----,,50.6,3.8333333333333335,
BE,AUG,Aubange,Aubange,WLX,RL,--3-----,,49.583333333333336,5.8,
BE,AUB,Aubechies,Aubechies,WHT,RN,--3-----,,50.56666666666667,3.6833333333333336,
BE,AUL,Aubel,Aubel,WLG,RN,--3-----,,50.7,5.85,
BE,AUY,Auby,Auby,WAL,RL,--3--6--,,49.81666666666667,5.166666666666667,
BE,ODE,Auderghem (Oudergem)/Brussel (Bruxelles),Auderghem (Oudergem)/Brussel (Bruxelles),BRU,RN,1-3-----,,50.81666666666667,4.433333333333334,
BE,ADI,Audregnies,Audregnies,WHT,RN,--3-----,,50.38333333333333,3.716666666666667,
BE,AVS,Auvelais,Auvelais,WNA,RN,1-3-----,,50.45,4.616666666666667,
BE,AVL,Avelgem,Avelgem,VWV,RN,1-3-----,,50.766666666666666,3.4333333333333336,
BE,ABO,Averbode,Averbode,VBR,RN,--3-----,,51.03333333333333,4.983333333333333,
BE,AWS,Awans,Awans,WLG,RN,--3-----,,50.666666666666664,5.466666666666667,
BE,W5R,Awirs,Awirs,WLG,RL,1-3-----,,50.6,5.4,
BE,AYW,Aywaille,Aywaille,WLG,RN,--3-----,,50.46666666666667,5.666666666666667,
BE,BAL,Baal,Baal,VBR,RN,--3-----,,51,4.75,
BE,BDE,Baardegem,Baardegem,VOV,RN,--3-----,,50.95,4.15,
BE,BHO,Baarle-Hertog,Baarle-Hertog,VAN,RN,--3-----,,51.45,4.933333333333334,
BE,BSR,Baasrode,Baasrode,VOV,RL,123----B,,51.03333333333333,4.166666666666667,
BE,BLN,Baelen,Baelen,WLG,RN,--3-----,,50.63333333333333,5.966666666666667,
BE,BAX,Baileux,Baileux,WHT,RN,--3-----,,50.03333333333333,4.383333333333334,
BE,BAI,Baillonville,Baillonville,WAL,RL,1----6--,,50.28333333333333,5.333333333333333,
BE,BYT,Baisy-Thy,Baisy-Thy,WBR,RL,--3-----,,50.583333333333336,4.466666666666667,
BE,BLE,Balen,Balen,VAN,RN,1-3-----,,51.166666666666664,5.15,
BE,BGK,Balgerhoek,Balgerhoek,VOV,RL,123-----,,51.2,3.5166666666666666,
BE,BND,Bande,Bande,WLX,RL,--3-----,,50.166666666666664,5.416666666666667,
BE,BNN,Banneux,Banneux,WLG,RL,--3-----,,50.53333333333333,5.733333333333333,
BE,BCN,Barchon,Barchon,WLG,RL,--3-----,,50.666666666666664,5.7,
BE,BRV,Baronville,Baronville,WNA,RL,--3-----,,50.13333333333333,4.95,
BE,BAY,Barry,Barry,WHT,RN,--3-----,,50.583333333333336,3.533333333333333,
BE,BES,Bas�cles,Basecles,WHT,RN,--3-----,,50.516666666666666,3.6333333333333333,
BE,BOA,Bas-Oha,Bas-Oha,WLG,RN,1-3-----,,50.516666666666666,5.183333333333334,
BE,BBX,Basse-Bodeux,Basse-Bodeux,WLG,RN,--3-----,,50.35,5.833333333333333,
BE,BTS,Bassenge (Bitsingen),Bassenge (Bitsingen),WLG,RN,--3-----,,50.766666666666666,5.6,
BE,BSV,Bassevelde,Bassevelde,VOV,RN,--3-----,,51.233333333333334,3.6833333333333336,
BE,BSY,Bassilly,Bassilly,WHT,RL,-23-----,,50.666666666666664,3.9333333333333336,
BE,BSG,Bastogne,Bastogne,WLX,RN,--3-----,,50,5.716666666666667,
BE,BWA,Bas-Warneton,Bas-Warneton,WHT,RN,--3-----,,50.75,2.95,
BE,BAT,Battel,Battel,VAN,RN,1-3-----,,51.05,4.45,
BE,BTC,Battice,Battice,WLG,RN,--3-----,,50.65,5.816666666666666,
BE,BDU,Baudour,Baudour,WHT,RN,1-3-----,,50.483333333333334,3.8166666666666664,
BE,BGI,Baugnies,Baugnies,WHT,RN,--3-----,,50.55,3.55,
BE,BAS,Baulers,Baulers,WBR,RL,-23-----,,50.61666666666667,4.35,
BE,BVG,Bavegem,Bavegem,VOV,RL,--3-----,,50.95,3.8666666666666667,
BE,BAV,Bavikhove,Bavikhove,VWV,RN,--3-----,,50.86666666666667,3.3,
BE,BAZ,Bazel,Bazel,VOV,RN,1-3-----,,51.15,4.3,
BE,BFY,Beaufays,Beaufays,WLG,RN,--3-----,,50.56666666666667,5.633333333333333,
