country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
BF,ABD,Aribinda,Aribinda,,AI,---4----,XAR,14.217,-0.883,true
BF,ARL,Arly,Arly,,AI,---4----,,11.5970001,1.483,true
BF,BNR,Banfora,Banfora,,AI,---4----,,10.642703,-4.752639,true
BF,BER,B�r�gadougou,Beregadougou,,RL,-23-----,,10.766666666666667,-4.75,
BF,BOY,Bobo-Dioulasso,Bobo-Dioulasso,HOU,AI,---4----,,11.2,-4.3,
BF,BOG,Bogand�,Bogande,,AI,---4----,XBG,12.983333333333333,-0.13333333333333333,
BF,BRO,Boromo,Boromo,BAL,RL,--3-----,,11.75,-2.9333333333333336,
BF,BOU,Boulsa,Boulsa,,AI,---4----,XBO,12.6578008,-0.5683823641278711,true
BF,BUS,Bousse,Bousse,OUB,RL,--3-----,,12.65,-1.8833333333333333,
BF,DGU,D�dougou,Dedougou,,AI,---4----,,12.466666666666667,-3.466666666666667,
BF,DIP,Diapaga,Diapaga,,AI,---4----,,12.06016335,1.7845916203786905,true
BF,DBG,Di�bougou,Diebougou,,AI,---4----,XDE,10.966666666666667,-3.25,
BF,DJI,Djibo,Djibo,,AI,---4----,XDJ,14.1221595,-1.6280623,true
BF,DOR,Dori,Dori,,AI,---4----,,14.0214247,-0.06883593206327968,true
BF,FNG,Fada-Ngourma,Fada-Ngourma,,AI,---4----,,12.066666666666666,0.35,
BF,GAO,Gaoua,Gaoua,,AI,---4----,XGA,10.383453750000001,-3.1655709590246213,true
BF,GOG,Gorom-Gorom,Gorom-Gorom,,AI,---4----,XGG,14.45440065,-0.21865065174213652,true
BF,HOU,Hound�,Hounde,TUI,RL,--3-----,,11.5,-3.5166666666666666,
BF,KAN,Kantchari,Kantchari,,AI,---4----,XKA,12.4634877,1.491965749475803,true
BF,KAY,Kaya,Kaya,,AI,---4----,XKY,13.0774092,-1.1002443,true
BF,KOS,Kossodo,Kossodo,,RL,--3-----,,12.416666666666666,-1.4666666666666668,
BF,KOU,Koudougou,Koudougou,,RL,-23-----,,12.233333333333333,-2.3666666666666667,
BF,KOR,Kourouma,Kourouma,,RL,--3-----,,11.616666666666667,-4.8,
BF,LEO,L�o,Leo,,AI,---4----,XLU,11.1,-2.1,
BF,MAN,Mana,Mana,BAL,RL,--3-----,,11.866666666666667,-3.3666666666666667,
BF,NAT,Natougou,Natougou,TAP,RL,--3-----,,12.616666666666667,1.6833333333333333,
BF,NOU,Nouna,Nouna,,AI,---4----,XNU,12.7430407,-3.8613200000691004,true
BF,ORO,Orodara,Orodara,KEN,RL,--3-----,,10.983333333333333,-4.916666666666667,
BF,OUA,Ouagadougou,Ouagadougou,,AI,---45---,,12.350413150000001,-1.5124424971595523,true
BF,OUG,Ouahigouya,Ouahigouya,,AI,---4----,,13.580982,-2.417699,true
BF,PAM,Pama,Pama,,AI,---4----,XPA,11.2553848,0.6974345,true
BF,PEN,P�ni,Peni,HOU,RL,--3-----,,10.95,-4.483333333333333,
BF,PUP,Po,Po,,AI,---4----,,,,
BF,POU,Poura,Poura,,RL,--3-----,,10.65,-3.0833333333333335,
BF,SAP,Sapon�,Sapone,BAZ,RL,--3-----,,12.1,-1.55,
BF,SEB,Sebba,Sebba,,AI,---4----,XSE,13.4571544,0.5037673,true
BF,TMQ,Tambao,Tambao,,AI,---4----,,14.7902831,0.0380128,true
BF,TEM,Tema,Tema,PAS,RL,--3-----,,13.083333333333334,-1.7833333333333332,
BF,TEG,Tenkodogo,Tenkodogo,,AI,---4----,,11.7999974,-0.3705771,true
BF,TUQ,Tougan,Tougan,,AI,---4----,,13.0592618,-3.0765804,true
BF,WON,Wona (Ouona),Wona (Ouona),TUI,RL,--3-----,,11.966666666666667,-3.4166666666666665,
BF,YKP,Yako,Yako,PAS,RL,--3-----,,12.966666666666667,-2.2666666666666666,
BF,LIG,Yaramoko,Yaramoko,MOU,RL,--3-----,,11.8,-3.283333333333333,
BF,ZAB,Zabr�,Zabre,,AI,---4----,XZA,11.166666666666666,-0.6333333333333333,
BF,ZIG,Ziga,Ziga,,RL,--3-----,,12.616666666666667,-0.8166666666666667,
BF,OB2,Ziniar�,Ziniare,OUB,RL,1-3-----,,12.583333333333334,-1.3,
