country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
BG,AIO,Aitos,Aitos,02,RL,-----6--,,42.71666666666667,27.25,
BG,AKH,Akhtopol,Akhtopol,,RL,1-------,,42.1,27.95,
BG,ASA,Aksakovo,Aksakovo,03,RL,--3-----,,43.25,27.816666666666666,
BG,ATL,Altimir,Altimir,06,RL,--3-----,,43.53333333333333,23.816666666666666,
BG,API,Apriltsi,Apriltsi,,RL,--3-----,,42.31666666666667,24.283333333333335,
BG,ARD,Ardino,Ardino,21,RL,--3-----,,41.583333333333336,25.133333333333333,
BG,AND,Asenovgrad,Asenovgrad,,RL,--3-----,,42.0073633,24.8762702,true
BG,AYT,Aytos,Aytos,02,RL,--3-----,,42.7,27.25,
BG,BAL,Balchik,Balchik,,RL,1-------,,43.416666666666664,28.166666666666668,
BG,BVO,Banevo,Banevo,02,RL,--3-----,,42.63333333333333,27.4,
BG,BTE,Banite,Banite,21,RL,--3-----,,41.61666666666667,25.016666666666666,
BG,BAK,Bankya,Bankya,23,RQ,-----6--,,42.7,23.133333333333333,
BG,BAN,Bankya,Bankya,14,RQ,-----6--,,42.85,22.666666666666668,
BG,BAO,Bansko,Bansko,23,RL,-23-----,,41.833333333333336,23.5,
BG,BBA,Bata,Bata,02,RL,-----6--,,42.733333333333334,27.5,
BG,BAT,Batak,Batak,13,RL,-----6--,,41.95,24.216666666666665,
BG,BLE,Belene,Belene,15,RL,-----6--,,43.65,25.116666666666667,
BG,BEL,Belitsa,Belitsa,,RL,--3-----,,41.95,23.55,
BG,BBK,Belogradchik,Belogradchik,05,RL,--3-----,,43.61666666666667,22.683333333333334,
BG,BDK,Belogradchik,Belogradchik,05,RL,--3-----,,43.61666666666667,22.683333333333334,
BG,BEV,Beloslav,Beloslav,03,RL,--3-----,,43.18333333333333,27.7,
BG,BPK,Belovo,Belovo,13,RL,--3-----,,42.21666666666667,24.016666666666666,
BG,BYK,Belyakovets,Belyakovets,04,RL,--3-----,,43.1,25.583333333333332,
BG,BEN,Benkovski,Benkovski,16,RL,--3-----,,42.21666666666667,24.65,
BG,BRK,Berkovitza,Berkovitza,,RQ,-23-----,,,,
BG,VBS,Bjala Slatina,Bjala Slatina,06,RL,--3--6--,,43.4697446,23.9450995,true
BG,BLN,Blagoevgrad,Blagoevgrad,,RL,--3-----,,42.016666666666666,23.1,
BG,BRV,Borovo,Borovo,,RL,--3-----,,43.5,25.8,
BG,BRF,Botevgrad,Botevgrad,,RL,--3-----,,42.9078544,23.7929451,true
BG,BOZ,Bozhurishte,Bozhurishte,22,RL,--3-----,,42.75,23.2,
BG,VTG,Bratsigovo,Bratsigovo,13,RL,--3-----,,42.016666666666666,24.366666666666667,
BG,BRE,Bregovo,Bregovo,,QQ,--3-----,,44.1518851,22.6386293,true
BG,BRS,Brestak,Brestak,03,RL,--3-----,,43.45,27.533333333333335,
BG,BTV,Brestovets,Brestovets,,RL,--3-----,,43.35,24.6,
BG,BRZ,Breznik,Breznik,02,RQ,--3-----,,42.741656,22.906972,true
BG,BDB,Bulgarevo,Bulgarevo,08,RL,--3-----,,43.4,28.416666666666668,
