country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon
BH,AAL,A'ali,A'ali,15,RL,--3-----,,26.15,50.516666666666666
BH,ADA,Adliya,Adliya,,RL,-----6--,,26.216666666666665,50.583333333333336
BH,ALA,Al Hajar,Al Hajar,,RL,-----6--,,26.2,50.5
BH,AHD,Al Hidd,Al Hidd,15,AA,1-3--67-,,26.233333333333334,50.65
BH,AMA,Al Ma'amir,Al Ma'amir,,RL,-----6--,,26.133333333333333,50.6
BH,AMH,Al Manamah,Al Manamah,13,RL,--3--6--,,26.233333333333334,50.56666666666667
BH,GBQ,Al Muharraq,Al Muharraq,15,AA,1-------,,26.25,50.6
BH,BAH,Bahrain International Airport,Bahrain International Airport,15,AI,---45---,,26.266666666666666,50.63333333333333
BH,TOW,Hamad Town,Hamad Town,,RL,-----6--,,26.1,50.5
BH,ISA,ISA Air Base,ISA Air Base,14,RL,---4----,,25.916666666666668,50.583333333333336
BH,JAL,Jidd 'Ali,Jidd 'Ali,,RL,-----6--,,26.166666666666668,50.55
BH,JDF,Jidhafs,Jidhafs,17,RL,--3-----,,26.216666666666665,20.533333333333335
BH,KBS,Khalifa Bin Salman Port,Khalifa Bin Salman Port,15,AA,1-------,,26.2,50.61666666666667
BH,KFC,King Fahed Causeway,King Fahed Causeway,17,AA,-------B,,26.183333333333334,50.31666666666667
BH,MTH,Madinat Hamad,Madinat Hamad,,RL,-----6--,,26.1,50.5
BH,MIN,Mina Sulman Port,Mina Sulman Port,13,AA,1-------,,26.2,50.61666666666667
BH,QAL,Qalali,Qalali,15,RL,-----6--,,26.266666666666666,50.483333333333334
BH,RAJ,Ras Abu Jarjur,Ras Abu Jarjur,14,RL,--3-----,,26.066666666666666,50.61666666666667
BH,RIF,Riffa,Riffa,15,RL,--3-----,,26.116666666666667,50.55
BH,SAN,Sanad,Sanad,15,RL,-----6--,,26.15,50.56666666666667
BH,SIT,Sitrah,Sitrah,16,AA,1-------,,26.133333333333333,50.61666666666667
BH,TUB,Tubli,Tubli,,RL,-----6--,,26.183333333333334,50.53333333333333
BH,UAH,Umm al Hassam,Umm al Hassam,,RL,-----6--,,26.2,50.583333333333336
