country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
BI,BBZ,Bubanza,Bubanza,BB,RL,--3-----,,-3.0833333333333335,29.383333333333333,
BI,BJM,Bujumbura,Bujumbura,,AI,---45---,,-3.3638125,29.3675028,true
BI,BRR,Bururi,Bururi,BR,RL,--3-----,,-3.95,29.616666666666667,
BI,CKZ,Cankuzo,Cankuzo,CA,RL,--3-----,,-3.216666666666667,30.55,
BI,CBK,Cibitoke,Cibitoke,BM,RL,1-3-----,,-3.3333333333333335,29.366666666666667,
BI,GID,Gitega,Gitega,,AI,---4----,,-3.41787695,29.912829749986052,true
BI,KKB,Karuzi,Karuzi,KR,RL,--3-----,,-3.1,30.15,
BI,KYZ,Kayanza,Kayanza,KY,RL,--3-----,,-2.9166666666666665,29.616666666666667,
BI,KRE,Kirundo,Kirundo,,AI,---4----,,-2.5455261,30.098141,true
BI,MMB,Makamba,Makamba,MA,RL,--3-----,,-4.133333333333334,29.8,
BI,MUR,Muramvya,Muramvya,MU,RL,--3-----,,-3.2666666666666666,29.616666666666667,
BI,MYG,Muyinga,Muyinga,MY,RL,--3-----,,-2.8333333333333335,30.333333333333332,
BI,MWM,Mwaro,Mwaro,MU,RL,--3-----,,-3.5166666666666666,29.7,
BI,NGZ,Ngozi,Ngozi,NG,RL,--3-----,,-2.9,29.816666666666666,
BI,RUM,Rumonge,Rumonge,RM,RL,--3-----,,-3.966666666666667,29.433333333333334,
BI,RUT,Rutana,Rutana,RT,RL,--3-----,,-3.9166666666666665,30,
BI,RUY,Ruyigi,Ruyigi,RY,RL,--3-----,,-3.466666666666667,30.233333333333334,
