country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
BJ,AMV,Abomey-Calavi,Abomey-Calavi,AQ,RL,--3-----,,6.45,2.35,
BJ,AGT,Agbanta,Agbanta,,RL,--3-----,,6.616666666666667,2.45,
BJ,BOH,Bohicon,Bohicon,,RL,-23-----,,7.2,2.066666666666667,
BJ,COO,Cotonou,Cotonou,,AI,1--45---,,6.3577513,2.385905079697595,true
BJ,DDJ,Djidja,Djidja,ZO,RL,--3-----,,7.333333333333333,1.9333333333333333,
BJ,DJA,Djougou,Djougou,,AI,---4----,,9.6922065,1.636236,true
BJ,GLA,Glazou�,Glazoue,,RL,-23-----,,7.966666666666667,2.3,
BJ,KDC,Kandi,Kandi,,AI,---4----,,11.1447651,2.9400172445229504,true
BJ,LKS,Lokossa,Lokossa,MO,RL,--3-----,,6.633333333333333,1.7166666666666668,
BJ,NAE,Natitingou,Natitingou,,AI,---4----,,10.3051511,1.3808554,true
BJ,DA3,Ndali,Ndali,BO,RL,--3-----,,9.85,2.716666666666667,
BJ,OIH,Ouidah,Ouidah,AQ,RL,--3-----,,6.366666666666666,2.0833333333333335,
BJ,PKO,Parakou,Parakou,,AI,---4----,,9.3576899,2.6096799,true
BJ,PTN,Porto-Novo,Porto-Novo,OU,RL,123-----,,6.483333333333333,2.6166666666666667,
BJ,SVF,Sav�,Save,,AI,---4----,,8.033333333333333,2.4833333333333334,
BJ,SEM,Seme Terminal,Seme Terminal,,RQ,1-------,,6.96492,2.05223,true
BJ,TAN,Tangui�ta,Tanguieta,,RL,--3-----,,10.616666666666667,1.2666666666666666,
