country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
BM,SEV,Devonshire,Devonshire,,RL,1-------,,32.3,-64.75,
BM,FPT,Freeport,Freeport,,QQ,1-------,,,,
BM,BDA,Hamilton,Hamilton,,AI,1--45---,,32.2942679,-64.7853167,true
BM,HBI,Harbour Island,Harbour Island,,RL,1-------,,25.5,-76.63333333333334,
BM,KWF,Kings Wharf,Kings Wharf,,RQ,1-3-----,,,,
BM,PA5,Paget Parish,Paget Parish,,RL,--3-----,,32.28333333333333,-64.76666666666667,
BM,5PE,Pembroke,Pembroke,,RL,--3-----,,32.3,-64.76666666666667,
BM,SGE,Saint George,Saint George,,RL,1-------,,32.38333333333333,-64.68333333333334,
BM,SAN,Sandys,Sandys,,RL,1-------,,32.3,-64.86666666666666,
BM,SOU,Southampton,Southampton,,RL,1-------,,32.25,-64.85,
BM,WA7,Warwick,Warwick,,RL,--3-----,,32.266666666666666,-64.8,
