country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
BO,ACH,Achacachi,Achacachi,L,RL,--3-----,,-16.05,-68.68333333333334,
BO,ACL,Achocalla,Achocalla,L,RL,--3-----,,-16.583333333333332,-68.16666666666667,
BO,AQL,Aiquile,Aiquile,C,RL,-----6--,,-18.166666666666668,-65.16666666666667,
BO,ALC,Alcal�,Alcala,H,RL,--3-----,,-19.366666666666667,-64.41666666666667,
BO,ANC,Ancoraimes,Ancoraimes,L,RL,--3-----,,-15.9,-68.96666666666667,
BO,APB,Apolo,Apolo,L,AI,--34----,,-14.716666666666667,-68.41666666666667,
BO,ARC,Arica,Arica,N,RL,--3-----,,-9.766666666666667,-65.88333333333334,
BO,ASC,Ascensi�n,Ascension,S,AI,--34----,,-15.7,-63.083333333333336,
BO,AUC,Aucapata,Aucapata,L,RL,--3-----,,-15.366666666666667,-68.65,
BO,ABA,Avaroa,Avaroa,P,RL,-2------,,-21.333333333333332,-68.35,
BO,AYT,Ayata,Ayata,L,RL,--3-----,,-15.35,-68.75,
BO,AYO,Ayo Ayo,Ayo Ayo,L,AC,--3-----,,-17.083333333333332,-68,
BO,AZY,Azurduy,Azurduy,H,RL,--3-----,,-20.1,-64.41666666666667,
BO,BAT,Batallas,Batallas,L,AC,--3-----,,-16.333333333333332,-68.5,
BO,BVL,Baures,Baures,B,AI,--34----,,-13.583333333333334,-63.583333333333336,
BO,BEF,Bella Flor,Bella Flor,N,RL,--3-----,,-11.1,-67.63333333333334,
BO,BJO,Bermejo,Bermejo,T,AI,--34----,,-22.65,-64.36666666666666,
BO,BPB,Bolpebra,Bolpebra,N,RL,--3-----,,-10.933333333333334,-69.58333333333333,
BO,CJT,Cajuata,Cajuata,L,AC,--3-----,,-16.816666666666666,-67.25,
BO,CAO,Calacoto,Calacoto,L,RL,--3-----,,-17.3,-68.65,
BO,CCM,Calacoto,Calacoto,L,RL,--3-----,,-16.533333333333335,-68.1,
BO,CCO,Calacoto,Calacoto,L,RL,--3-----,,-17.283333333333335,-67.8,
BO,CAL,Calamarca,Calamarca,L,AC,--3-----,,-16.9,-68.1,
BO,CMR,Camargo,Camargo,H,RL,--3-----,,-20.65,-65.21666666666667,
BO,CAM,Camiri,Camiri,S,AI,--34----,,-20.1,-63.53333333333333,
BO,CNO,Ca�ada Oruro,Canada Oruro,T,RL,-------B,,-21.666666666666668,-62.45,
BO,CAQ,Caquiaviri,Caquiaviri,L,RL,--3-----,,-17.016666666666666,-68.61666666666666,
BO,CRN,Caranavi,Caranavi,L,AC,--3-----,,-15.816666666666666,-67.55,
BO,CAI,Carapari,Carapari,T,RL,--3-----,,-21.666666666666668,-65.21666666666667,
BO,CAR,Carrasco,Carrasco,,RL,--3-----,,-15.666666666666666,-67.55,
BO,CTC,Catacora,Catacora,L,AC,--3-----,,-16.283333333333335,-68.48333333333333,
BO,CHR,Chacarilla,Chacarilla,L,AC,--3-----,,-17.566666666666666,-68.21666666666667,
BO,CHA,Chara�a,Charana,L,RL,--3-----,,-17.6,-69.46666666666667,
BO,CHU,Chulumani,Chulumani,L,AC,--3-----,,-16.4,-67.51666666666667,
BO,CHM,Chuma,Chuma,L,RL,--3-----,,-15.483333333333333,-68.9,
BO,CIJ,Cobija,Cobija,N,AI,--34----,,-11.033333333333333,-68.73333333333333,
BO,CBB,Cochabamba,Cochabamba,C,AI,--345---,,-17.383333333333333,-66.15,
BO,CLL,Collana,Collana,L,AC,--3-----,,-16.9,-68.28333333333333,
BO,CLN,Collpani,Collpani,P,RL,--3-----,,-20.916666666666668,-67.01666666666667,
