country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon
BR,ADG,Abadia de Goi�s,Abadia de Goias,GO,AA,--3-----,,-16.75,-49.43333333333333
BR,ADU,Abadia dos Dourados,Abadia dos Dourados,MG,AA,--3-----,,-18.483333333333334,-47.38333333333333
BR,AII,Abadi�nia,Abadiania,GO,AA,--3-----,,-16.166666666666668,-48.71666666666667
BR,ABT,Abaet�,Abaete,MG,AA,--3-----,,-19.15,-45.43333333333333
BR,ATB,Abaetetuba,Abaetetuba,PA,AA,--3-----,,-1.7166666666666668,-48.88333333333333
BR,AAY,Abaiara,Abaiara,CE,AA,--3-----,,-7.35,-39.03333333333333
BR,AYR,Aba�ra,Abaira,BA,AA,--3-----,,-13.25,-41.65
BR,ABR,Abar�,Abare,BA,AA,--3-----,,-8.716666666666667,-39.1
BR,AYA,Abati�,Abatia,PR,AA,--3-----,,-23.3,-50.3
BR,ABB,Abdon Batista,Abdon Batista,SC,AA,--3-----,,-27.6,-51.016666666666666
BR,AFD,Abel Figueiredo,Abel Figueiredo,PA,AA,--3-----,,-4.95,-48.38333333333333
BR,ADL,Abelardo Luz,Abelardo Luz,SC,AA,--3-----,,-26.55,-52.333333333333336
BR,ACM,Abre Campo,Abre Campo,MG,AA,--3-----,,-20.3,-42.46666666666667
BR,ALM,Abreu e Lima,Abreu e Lima,PE,AA,--3-----,,-7.9,-34.88333333333333
BR,ABD,Abreul�ndia,Abreulandia,TO,AA,--3-----,,-9.616666666666667,-49.15
BR,AKK,Acaiaca,Acaiaca,MG,AA,--3-----,,-20.35,-43.13333333333333
BR,ACL,A�ail�ndia,Acailandia,MA,AA,-23-----,,-4.95,-47.5
BR,AJB,Acajutiba,Acajutiba,BA,AA,--3-----,,-11.65,-38.016666666666666
BR,AAR,Acar�,Acara,PA,AA,1-3-----,,-1.95,-48.2
BR,ACE,Acarape,Acarape,CE,AA,--3-----,,-4.216666666666667,-38.7
BR,ACA,Acara�,Acarau,CE,AA,--3-----,,-2.8833333333333333,-40.11666666666667
BR,ACR,Acari,Acari,RN,AA,--3-----,,-6.433333333333334,-36.63333333333333
BR,AKA,Acau�,Acaua,PI,AA,--3-----,,-8.216666666666667,-41.083333333333336
BR,AEU,Acegu�,Acegua,RS,AA,--3--6--,,-31.85,-54.15
BR,AOA,Acopiara,Acopiara,CE,AA,--3-----,,-6.083333333333333,-39.45
BR,AZL,Acorizal,Acorizal,MT,AA,--3-----,,-15.183333333333334,-56.36666666666667
BR,ALI,Acrel�ndia,Acrelandia,AC,AA,--3-----,,-10.066666666666666,-67.05
BR,ACN,Acre�na,Acreuna,GO,AA,--3-----,,-17.383333333333333,-50.36666666666667
BR,ACU,A�u,Acu,RN,AA,--34----,,-5.566666666666666,-36.916666666666664
BR,ACX,A�u Pt / S�o Jo�o da Barra,Acu Pt / Sao Joao da Barra,RJ,AA,1-------,,-21.816666666666666,-41.016666666666666
BR,AUC,A�ucena,Acucena,MG,AA,--3-----,,-19.066666666666666,-42.53333333333333
BR,AMT,Adamantina,Adamantina,SP,AA,--34----,,-21.683333333333334,-51.06666666666667
BR,DLN,Adel�ndia,Adelandia,GO,AA,--3-----,,-16.4,-50.15
BR,ADF,Adolfo,Adolfo,SP,AA,--3-----,,-21.216666666666665,-49.63333333333333
BR,APZ,Adrian�polis,Adrianopolis,PR,AA,--3-----,,-24.65,-48.983333333333334
BR,ASN,Adustina,Adustina,BA,AA,--3-----,,-10.516666666666667,-38.1
BR,ADI,Afogados da Ingazeira,Afogados da Ingazeira,PE,AA,--3-----,,-7.733333333333333,-37.63333333333333
BR,ABE,Afonso Bezerra,Afonso Bezerra,RN,AA,--3-----,,-5.483333333333333,-36.5
BR,AFC,Afonso Cl�udio,Afonso Claudio,ES,AA,--3-----,,-20.066666666666666,-41.11666666666667
BR,AFH,Afonso Cunha,Afonso Cunha,MA,AA,--3-----,,-4.133333333333334,-43.31666666666667
BR,AAO,Afr�nio,Afranio,PE,AA,--3-----,,-8.5,-41
BR,AFU,Afu�,Afua,PA,AA,1-3-----,,-0.15,-50.38333333333333
BR,AEA,Agrestina,Agrestina,PE,AA,--3-----,,-8.45,-35.93333333333333
BR,AGX,Agricol�ndia,Agricolandia,PI,AA,--3-----,,-5.783333333333333,-42.65
BR,ARO,Agrol�ndia,Agrolandia,SC,AA,--3-----,,-27.4,-49.81666666666667
BR,AMC,Agron�mica,Agronomica,SC,AA,--3-----,,-27.266666666666666,-49.71666666666667
BR,ANE,�gua Azul do Norte,Agua Azul do Norte,PA,AA,--3-----,,-6.8,-50.483333333333334
BR,ABO,�gua Boa,Agua Boa,MG,AA,--3-----,,-17.983333333333334,-42.38333333333333
BR,AGB,�gua Boa,Agua Boa,MT,AA,--34----,,-14.033333333333333,-52.15
BR,ABC,�gua Branca,Agua Branca,AL,AA,--3-----,,-9.266666666666667,-37.93333333333333
BR,ABK,�gua Branca,Agua Branca,PI,AA,--3-----,,-5.883333333333333,-42.63333333333333
BR,GBR,�gua Branca,Agua Branca,PB,AA,--3-----,,-7.5,-37.63333333333333
BR,AGC,�gua Clara,Agua Clara,MS,AA,--3-----,,-20.433333333333334,-52.86666666666667
BR,GWC,�gua Comprida,Agua Comprida,MG,AA,--3-----,,-20.05,-48.1
BR,DOC,�gua Doce,Agua Doce,SC,AA,--3-----,,-27,-51.55
BR,AGM,�gua Doce do Maranh�o,Agua Doce do Maranhao,MA,AA,--3-----,,-2.8333333333333335,-42.1
BR,AON,�gua Doce do Norte,Agua Doce do Norte,ES,AA,--3-----,,-18.533333333333335,-40.96666666666667
BR,AFA,�gua Fria,Agua Fria,BA,AA,--3-----,,-11.866666666666667,-38.766666666666666
BR,AFG,�gua Fria de Goi�s,Agua Fria de Goias,GO,AA,--3-----,,-14.983333333333333,-47.766666666666666
BR,GWL,�gua Limpa,Agua Limpa,GO,AA,--3-----,,-18.066666666666666,-48.75
BR,AUV,�gua Nova,Agua Nova,RN,AA,--3-----,,-6.2,-38.28333333333333
BR,APT,�gua Preta,Agua Preta,PE,AA,--3-----,,-8.7,-35.516666666666666
BR,GWS,�gua Santa,Agua Santa,RS,AA,--3-----,,-28.166666666666668,-52.03333333333333
BR,AGU,Agua�,Aguai,SP,AA,--3-----,,-22.05,-46.96666666666667
BR,NIL,Aguanil,Aguanil,MG,AA,--3-----,,-20.933333333333334,-45.38333333333333
BR,ABS,�guas Belas,Aguas Belas,PE,AA,--3-----,,-9.1,-37.11666666666667
BR,ASP,�guas da Prata,Aguas da Prata,SP,AA,--3-----,,-21.933333333333334,-46.71666666666667
BR,ACC,�guas de Chapec�,Aguas de Chapeco,SC,AA,--3-----,,-27.066666666666666,-52.983333333333334
BR,AGL,�guas de Lind�ia,Aguas de Lindoia,SP,AA,--3-----,,-22.466666666666665,-46.61666666666667
BR,ASB,�guas de Santa B�rbara,Aguas de Santa Barbara,SP,AA,--3-----,,-22.866666666666667,-49.233333333333334
BR,ASO,�guas de S�o Pedro,Aguas de Sao Pedro,SP,AA,--3-----,,-22.583333333333332,-47.88333333333333
BR,AFS,�guas Formosas,Aguas Formosas,MG,AA,--3-----,,-17.066666666666666,-40.93333333333333
BR,AFI,�guas Frias,Aguas Frias,SC,AA,--3-----,,-26.866666666666667,-52.85
BR,AGA,�guas Lindas de Goi�s,Aguas Lindas de Goias,GO,AA,--3-----,,-15.733333333333333,-48.28333333333333
BR,AMR,�guas Mornas,Aguas Mornas,SC,AA,--3-----,,-27.7,-48.833333333333336
BR,AVH,�guas Vermelhas,Aguas Vermelhas,MG,AA,--3-----,,-15.733333333333333,-41.45
BR,AGO,Agudo,Agudo,RS,AA,--3-----,,-29.633333333333333,-53.25
BR,AGD,Agudos,Agudos,SP,AA,--3-----,,-22.466666666666665,-48.983333333333334
BR,AUL,Agudos do Sul,Agudos do Sul,PR,AA,--3-----,,-25.983333333333334,-49.333333333333336
BR,AWB,�guia Branca,Aguia Branca,ES,AA,--3-----,,-18.983333333333334,-40.733333333333334
BR,AWI,Aguiar,Aguiar,PB,AA,--3-----,,-7.083333333333333,-38.166666666666664
BR,AIZ,Aguiarn�polis,Aguiarnopolis,TO,AA,--3-----,,-6.533333333333333,-47.46666666666667
BR,AMS,Aimor�s,Aimores,MG,AA,--3-----,,-19.483333333333334,-41.06666666666667
BR,AQU,Aiquara,Aiquara,BA,AA,--3-----,,-14.116666666666667,-39.88333333333333
BR,AIB,Aiuaba,Aiuaba,CE,AA,--3-----,,-6.55,-40.11666666666667
BR,UOC,Aiuruoca,Aiuruoca,MG,AA,--3-----,,-21.966666666666665,-44.6
BR,AJC,Ajuricaba,Ajuricaba,RS,AA,--3-----,,-28.233333333333334,-53.766666666666666
BR,ALW,Alagoa,Alagoa,MG,AA,--3-----,,-22.166666666666668,-44.63333333333333
BR,AGE,Alagoa Grande,Alagoa Grande,PB,AA,--3-----,,-7.033333333333333,-35.63333333333333
BR,ANV,Alagoa Nova,Alagoa Nova,PB,AA,--3-----,,-7.05,-35.75
BR,AAH,Alagoinha,Alagoinha,PB,AA,--3-----,,-6.933333333333334,-35.53333333333333
BR,AHA,Alagoinha,Alagoinha,PE,AA,--3-----,,-8.45,-36.766666666666666
BR,AGP,Alagoinha do Piau�,Alagoinha do Piaui,PI,AA,--3-----,,-7,-40.93333333333333
BR,AGS,Alagoinhas,Alagoinhas,BA,AA,--3-----,,-12.133333333333333,-38.416666666666664
BR,ALY,Alambari,Alambari,SP,AA,--3-----,,-23.55,-47.88333333333333
BR,ALB,Albertina,Albertina,MG,AA,--3-----,,-22.183333333333334,-46.6
BR,ACT,Alc�ntara,Alcantara,MA,AA,1-3-----,,-2.4,-44.416666666666664
BR,ALZ,Alc�ntaras,Alcantaras,CE,AA,--3-----,,-3.5833333333333335,-40.53333333333333
BR,AIW,Alcantil,Alcantil,PB,AA,--3-----,,-7.733333333333333,-36.05
BR,AYS,Alcin�polis,Alcinopolis,MS,AA,--3-----,,-18.316666666666666,-53.7
BR,ALC,Alcoba�a,Alcobaca,BA,AA,--3-----,,-17.516666666666666,-39.18333333333333
BR,AAT,Aldeias Altas,Aldeias Altas,MA,AA,--3-----,,-4.616666666666667,-43.46666666666667
BR,LEC,Alecrim,Alecrim,RS,AA,--3-----,,-27.65,-54.766666666666666
BR,ALG,Alegre,Alegre,ES,AA,--3-----,,-20.75,-41.53333333333333
BR,ALE,Alegrete,Alegrete,RS,AA,--3-----,,-29.766666666666666,-55.78333333333333
BR,AEP,Alegrete do Piau�,Alegrete do Piaui,PI,AA,--3-----,,-7.233333333333333,-40.85
BR,EGR,Alegria,Alegria,RS,AA,--3-----,,-27.833333333333332,-54.05
BR,APB,Al�m Para�ba,Alem Paraiba,MG,AA,--3-----,,-21.866666666666667,-42.68333333333333
BR,ALT,Alenquer,Alenquer,PA,AA,1-34----,,-1.95,-54.733333333333334
BR,AXA,Alexandria,Alexandria,RN,AA,--3-----,,-6.416666666666667,-38.016666666666666
BR,AXN,Alex�nia,Alexania,GO,AA,--3-----,,-16.083333333333332,-48.5
BR,ALF,Alfenas,Alfenas,MG,AA,--34----,,-21.416666666666668,-45.93333333333333
BR,AFE,Alfredo Chaves,Alfredo Chaves,ES,AA,--3-----,,-20.616666666666667,-40.75
BR,AFN,Alfredo Marcondes,Alfredo Marcondes,SP,AA,--3-----,,-21.95,-51.4
BR,AVE,Alfredo Vasconcelos,Alfredo Vasconcelos,MG,AA,--3-----,,-21.133333333333333,-43.766666666666666
BR,AWR,Alfredo Wagner,Alfredo Wagner,SC,AC,--3-----,,-27.7,-49.333333333333336
BR,AJR,Algod�o de Janda�ra,Algodao de Jandaira,PB,AA,--3-----,,-6.9,-36
BR,ALH,Alhandra,Alhandra,PB,AA,--3-----,,-7.416666666666667,-34.9
BR,AAC,Alian�a,Alianca,PE,AA,--3-----,,-7.6,-35.21666666666667
BR,ATK,Alian�a do Tocantins,Alianca do Tocantins,TO,AA,--3-----,,-11.3,-48.93333333333333
BR,ALD,Almadina,Almadina,BA,AA,--3-----,,-14.7,-39.63333333333333
BR,AAZ,Almas,Almas,TO,AA,--3-----,,-11.566666666666666,-47.166666666666664
BR,AMM,Almeirim,Almeirim,PA,AA,1-34----,,-1.5166666666666666,-52.56666666666667
BR,ALA,Almenara,Almenara,MG,AA,--34----,,-16.166666666666668,-40.68333333333333
BR,AAF,Almino Afonso,Almino Afonso,RN,AA,--3-----,,-6.15,-37.75
BR,ATE,Almirante Tamandar�,Almirante Tamandare,PR,AA,-23-----,,-25.3,-49.3
BR,LTM,Almirante Tamandar� do Sul,Almirante Tamandare do Sul,RS,AA,--3-----,,-28.1,-52.9
BR,ALO,Alo�ndia,Aloandia,GO,AA,--3-----,,-17.716666666666665,-49.46666666666667
BR,AET,Alpercata,Alpercata,MG,AA,--3-----,,-18.983333333333334,-41.983333333333334
BR,AWP,Alpestre,Alpestre,RS,AA,--3-----,,-27.233333333333334,-53.03333333333333
BR,ALP,Alpin�polis,Alpinopolis,MG,AA,--3-----,,-20.85,-46.38333333333333
BR,AFL,Alta Floresta,Alta Floresta,MT,AA,--34----,,-9.866666666666667,-56.083333333333336
BR,AFO,Alta Floresta D'Oeste,Alta Floresta D'Oeste,RO,AA,--3-----,,-11.933333333333334,-61.983333333333334
BR,LTR,Altair,Altair,SP,AA,--3-----,,-20.516666666666666,-49.05
BR,ATM,Altamira,Altamira,PA,AA,1-34----,,-3.2,-52.2
BR,AOM,Altamira do Maranh�o,Altamira do Maranhao,MA,AA,--3-----,,-4.15,-45.45
BR,LTP,Altamira do Paran�,Altamira do Parana,PR,AA,--3-----,,-24.8,-52.7
BR,ATX,Altaneira,Altaneira,CE,AA,--3-----,,-6.983333333333333,-39.733333333333334
BR,ATS,Alterosa,Alterosa,MG,AA,--3-----,,-21.25,-46.13333333333333
BR,AIO,Altinho,Altinho,PE,AA,--3-----,,-8.483333333333333,-36.05
BR,APO,Altin�polis,Altinopolis,SP,AA,--3-----,,-21.016666666666666,-47.36666666666667
BR,AAL,Alto Alegre,Alto Alegre,RR,AA,--3-----,,2.9833333333333334,-61.3
BR,AWE,Alto Alegre,Alto Alegre,SP,AA,--3-----,,-21.566666666666666,-50.15
BR,LTE,Alto Alegre,Alto Alegre,RS,AA,--3-----,,-28.766666666666666,-52.983333333333334
BR,AAM,Alto Alegre do Maranh�o,Alto Alegre do Maranhao,MA,AA,--3-----,,-4.2,-44.43333333333333
BR,AAP,Alto Alegre do Pindar�,Alto Alegre do Pindare,MA,AA,--3-----,,-3.65,-45.833333333333336
