country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
BS,ASD,"""Andros Town"," Andros Island""","""Andros Town"," Andros Island""",,1--4----,24.7,-77.76667,true
BS,ATC,"""Arthur's Town"," Cat Island""","""Arthur's Town"," Cat Island""",CI,--34----,24.6224779,-75.6754967,true
BS,BIM,Bimini,Bimini,,AI,---4----,,25.720065,-79.2744573,true
BS,BKC,Bock Cay,Bock Cay,EX,RL,1-------,,23.816666666666666,-76.16666666666667,
BS,CEL,Cape Eleuthera,Cape Eleuthera,SE,AI,1--4----,,24.816666666666666,-76.35,
BS,CXY,Cat Cays,Cat Cays,,AI,---4----,,25.55449055,-79.2753655146048,true
BS,CAT,Cat Island,Cat Island,,AI,---4----,,24.314824100000003,-75.45763803663925,true
BS,CCZ,"""Chub Cay"," Berry Islands""","""Chub Cay"," Berry Islands""",,1--4----,25.416515099999998,-77.87826580832996,true
BS,CLP,Clifton Point,Clifton Point,,RQ,1-------,,25.16667,-76.16667,true
BS,CBT,Cockburn Town,Cockburn Town,SS,RQ,1-------,,24.033333333333335,-74.51666666666667,
BS,COX,Congo Town,Congo Town,SA,AI,1--4----,,24.15,-77.53333333333333,
BS,CRI,Crooked Island,Crooked Island,,AI,1--4----,,,,
BS,LGI,Deadmans Cay,Deadmans Cay,LI,AI,---4----,,23.166666666666668,-75.08333333333333,
BS,DCT,Duncan Town,Duncan Town,,AI,---4----,,22.1818008,-75.7294998,true
BS,ELE,Eleuthera Island,Eleuthera Island,,RQ,1-------,,25.136,-76.15023,true
BS,FPO,"""Freeport"," Grand Bahama""","""Freeport"," Grand Bahama""",,1--4----,26.535681,-78.6953623,true
BS,GGT,"""George Town"," Great Exuma Island""","""George Town"," Great Exuma Island""",,1--4----,23.5065235,-75.7750229,true
BS,GOC,Gorda Cay,Gorda Cay,,RL,1-------,,26.083333333333332,-77.53333333333333,
BS,GHB,"""Governors Harbour"," Eleuthera""","""Governors Harbour"," Eleuthera""",,1--4----,26.54124,-77.0636,true
