country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon
BT,CCS,Chuchungsa,Chuchungsa,14,,--3--6--,,26.966666666666665,88.93333333333334
BT,GLU,Gelephu,Gelephu,31,,--34-6--,,26.85,90.48333333333333
BT,JOM,Jomotshangkha,Jomotshangkha,45,,--3--6--,,26.883333333333333,93.1
BT,LMZ,Lhamoizingkha,Lhamoizingkha,22,,--3--6--,,26.7,89.83333333333333
BT,NYP,Nyonpaling,Nyonpaling,14,,--3--6--,,26.816666666666666,89.21666666666667
BT,PBH,Paro,Paro,11,AI,--34----,,27.4,89.41666666666667
BT,PAS,Pasakha,Pasakha,12,,--3--6--,,26.833333333333332,89.41666666666667
BT,PZT,Pelzomthang (Nganglam),Pelzomthang (Nganglam),45,,--3--6--,,26.8,91.25
BT,PDL,Pendenling,Pendenling,14,,--3--6--,,26.8,89.18333333333334
BT,PHU,Phuentsholing,Phuentsholing,11,AI,--3-56--,,26.85,89.36666666666666
BT,PRL,Phuntsho Raptenling,Phuntsho Raptenling,45,,--3--6--,,26.783333333333335,91.53333333333333
BT,SJR,Samdrup Jongkhar,Samdrup Jongkhar,45,,--3--6--,,26.783333333333335,91.5
BT,SMR,Samrang�,Samrang�,45,,--3-----,,26.866666666666667,91.81666666666666
BT,SAM,Samtse,Samtse,14,,--3--6--,,26.883333333333333,89.95
BT,SAR,Sarpang,Sarpang,,,--3--6--,,26.85,90.26666666666667
BT,THI,Thimphu,Thimphu,15,RL,--3-5---,QJC,27.466666666666665,89.63333333333334
BT,YPT,Yangphelthang,Yangphelthang,14,,--3--6--,,26.933333333333334,89.21666666666667
