country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
BW,DUK,Dukwi,Dukwi,CE,RL,1----6--,,-20.583333333333332,26.533333333333335,
BW,FRW,Francistown,Francistown,NE,AI,-234-6--,,-21.166666666666668,27.516666666666666,
BW,GAB,Gaberones Camp,Gaberones Camp,,RL,-----6--,,-24.666666666666668,25.916666666666668,
BW,GBE,Gaborone,Gaborone,,AI,--3456--,,-24.666666666666668,25.916666666666668,
BW,GNZ,Ghanzi,Ghanzi,,RL,--34----,,-21.692921400000003,21.657717694643345,true
BW,HUK,Hukuntsi,Hukuntsi,,AI,---4----,,-23.9866621,21.759475601772028,true
BW,JWA,Jwaneng,Jwaneng,,AI,---4----,,-24.601186,24.691606512948887,true
BW,BBK,Kasane,Kasane,,AI,---4----,,-17.83045705,25.164367059707985,true
BW,KHW,Khwai River Lodge,Khwai River Lodge,,AI,---4----,,-19.14890205,23.78563626014109,true
BW,LET,Letlhakane,Letlhakane,,RL,--3-----,,-21.416666666666668,25.583333333333332,
BW,LOQ,Lobatse,Lobatse,,AI,---4----,,-25.2100604,25.6819594,true
BW,MAH,Mahalapye,Mahalapye,,RL,123-----,,-23.1,26.833333333333332,
BW,MUB,Maun,Maun,,AI,---4----,,-19.97141275,23.43219644534387,true
BW,MGS,Mogoditshane,Mogoditshane,KW,RL,--3-----,,-24.616666666666667,25.85,
BW,ORP,Orapa,Orapa,,AI,---4----,,-21.3361957,25.364964,true
BW,PAL,Palapye,Palapye,,RL,-23-----,,-22.566666666666666,27.133333333333333,
BW,RSA,Ramotswa,Ramotswa,,RL,-23-----,,-24.866666666666667,25.816666666666666,
BW,SVT,Savuti,Savuti,,AI,---4----,,-18.50142,24.13679,true
BW,PKW,Selebi-Phikwe,Selebi-Phikwe,,AI,---4----,,-21.9785377,27.8373825,true
BW,SER,Serowe,Serowe,,RL,--3-----,,-22.383333333333333,26.7,
BW,SWX,Shakawe,Shakawe,,AI,---4----,,-18.3732775,21.83613043859394,true
BW,SXN,Suapan,Suapan,,AI,---4----,,,,
BW,SUN,Sunnyside,Sunnyside,,RL,0-------,,-21.66667,22.05,true
BW,TBY,Tsabong,Tsabong,,AI,---4----,,-26.0345973,22.40331001441928,true
BW,TLD,Tuli Lodge,Tuli Lodge,,AI,---4----,,-19.14890205,23.78563626014109,true
