country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
BY,ASH,Ashmyany,Ashmyany,HR,AM,--3-----,,54.416666666666664,25.916666666666668,
BY,BNV,Baranovichi,Baranovichi,HR,RL,--3-----,,53.666666666666664,23.716666666666665,
BY,BAR,Barysaw,Barysaw,MI,RL,-23-----,,54.21666666666667,28.483333333333334,
BY,BLA,Belousha,Belousha,BR,AM,--3-----,,51.95,26.966666666666665,
BY,BER,Ber�za,Bereza,BR,RL,--3-----,,52.3,24.366666666666667,
BY,BZA,Ber�zovka,Berezovka,,RL,--3-----,,53.766666666666666,25.516666666666666,
BY,BOB,Bobruysk,Bobruysk,,RL,--3-----,,53.15,29.233333333333334,
BY,BMO,Bol'shiye Motykaly,Bol'shiye Motykaly,BR,RL,-23-----,,52.2,23.583333333333332,
BY,MBV,Borisov,Borisov,,RL,-----6--,,54.21666666666667,28.516666666666666,
BY,BOR,Borovlyany,Borovlyany,MI,RL,--3-----,,55.3,30.1,
BY,BQT,Brest,Brest,,AI,-23-----,,52.093751,23.6851851,true
BY,CHK,Chashniki,Chashniki,VI,AM,--3-----,,54.85,29.15,
BY,CHV,Chavusi,Chavusi,MA,RL,--3-----,,53.8,30.983333333333334,
BY,DEM,Demidov,Demidov,HO,RL,--3-----,,51.65,29.266666666666666,
BY,DRS,Dobrush,Dobrush,HO,RL,--3-----,,52.4,31.316666666666666,
BY,DRH,Drahichyn,Drahichyn,BR,RL,--3-----,,52.18333333333333,25.15,
BY,DZK,Dzerzhinsk,Dzerzhinsk,,RL,--3-----,,53.6832,27.138,true
BY,FAN,Fanipol,Fanipol,MI,RQ,--3-----,,53.68333333333333,27.2,
BY,GAT,Gatovo,Gatovo,,RL,-23-----,,53.78333333333333,27.616666666666667,
BY,GME,Gomel,Gomel,,AI,---4----,,52.4238936,31.0131698,true
BY,GRK,Gorodok,Gorodok,VI,RL,-23-----,,55.45,29.983333333333334,
BY,GNA,Grodna,Grodna,,AI,---4----,,53.63383215,23.736998970427663,true
BY,GDO,Grodno,Grodno,HR,RL,-23-----,,53.666666666666664,23.833333333333332,
BY,KHO,Khoyniki,Khoyniki,,RL,-23-----,,51.88333333333333,29.966666666666665,
