country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
BZ,BAR,Barranco,Barranco,,RL,1-------,,16,-88.91666666666667,
BZ,BZE,Belize City,Belize City,,AI,1--45---,,17.517373499999998,-88.19685780419061,true
BZ,TZA,Belize City Municipal Airport,Belize City Municipal Airport,BZ,RL,---4----,,17.533333333333335,-88.3,
BZ,BMP,Belmopan,Belmopan,,RL,--3-----,,17.266666666666666,-88.78333333333333,
BZ,BVJ,Benque Viejo,Benque Viejo,CZL,RL,-----6--,,18.266666666666666,-88.45,
BZ,BVC,Benque Viejo del Carmen,Benque Viejo del Carmen,CY,RL,--3-----,,17.066666666666666,-89.13333333333334,
BZ,BGK,Big Creek,Big Creek,SC,RL,1-34----,,16.516666666666666,-88.4,
BZ,CUK,Caye Caulker,Caye Caulker,BZ,RL,---4----,,17.75,-88.05,
BZ,CYC,Caye Chapel,Caye Chapel,BZ,RL,---4----,,17.7,-88.03333333333333,
BZ,COL,Colinto,Colinto,,QQ,1-------,,,,
BZ,CZH,Corozal,Corozal,,AI,---4----,,18.394332,-88.3886854,true
BZ,CRR,Crooked Tree,Crooked Tree,BZ,RL,--3-----,,17.766666666666666,-88.53333333333333,
BZ,DGA,Dangriga,Dangriga,,RL,1-3-----,,16.966666666666665,-88.21666666666667,
BZ,INB,Independence Apt,Independence Apt,TOL,RL,--34----,,17.533333333333335,-88.3,
BZ,MZE,Manatee Apt,Manatee Apt,,RL,--34----,,17.066666666666666,-89.58333333333333,
BZ,MDB,Melinda,Melinda,,AI,---4----,,16.99958755,-88.31688990404943,true
BZ,ORZ,Orange Walk,Orange Walk,,AI,---4----,,18.0804488,-88.5613615,true
BZ,PLJ,Placencia,Placencia,SC,RL,---4----,,16.516666666666666,-88.36666666666666,
BZ,PND,Punta Gorda,Punta Gorda,,AI,---4----,,16.10216105,-88.80849270059174,true
BZ,SQS,San Ignacio,San Ignacio,CY,RL,---4----,,17.15,-89.06666666666666,
BZ,SPR,San Pedro,San Pedro,,AI,---4----,,17.9141504,-87.9708621044903,true
BZ,STU,Santa Cruz,Santa Cruz,CZL,RL,---4----,,18.266666666666666,-88.45,
BZ,4SA,Santa Elena,Santa Elena,CY,RL,--3-----,,17.15,-89.05,
BZ,SJX,Sartaneja,Sartaneja,CZL,RL,---4----,,18.35,-88.11666666666666,
BZ,SVK,Silver Creek,Silver Creek,,AI,---4----,,16.2798479,-88.8901321,true
