country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
CA,HOS,100 Mile House (One Hundred Mile House),100 Mile House (One Hundred Mile House),BC,RL,-234----,,51.63333333333333,-121.28333333333333,
CA,MHS,150 Mile House,150 Mile House,BC,RL,--3-----,,52.11666666666667,-121.95,
CA,ABB,Abbotsford,Abbotsford,BC,RL,--3-----,YXX,49.0521162,-122.329479,true
CA,ABE,Abercrombie,Abercrombie,NS,RQ,--3-----,,45.63333333333333,-62.68333333333333,
CA,ABV,Abram-Village,Abram-Village,PE,RL,--3-----,,46.45,-64.08333333333333,
CA,AVY,Acadia Valley,Acadia Valley,AB,RL,-23--6--,,51.15,-110.2,
CA,AHN,Acheson,Acheson,AB,RL,-23--6--,,53.55,-113.78333333333333,
CA,ACT,Acton,Acton,ON,RL,--3-----,,43.63333333333333,-80.01666666666667,
CA,ACV,Acton Vale,Acton Vale,QC,RL,-23-----,,45.6,-72.55,
CA,DDD,Addison,Addison,ON,RL,--3-----,,44.7,-75.88333333333334,
CA,ALK,Adlavik,Adlavik,NL,AS,1-3-----,,54.916666666666664,-58.916666666666664,
CA,DST,Adstock,Adstock,QC,RQ,--3-----,,46.03333333333333,-71.06666666666666,
CA,ADV,Advocate Harbour,Advocate Harbour,NS,RL,--3-----,,45.333333333333336,-64.78333333333333,
CA,AGZ,Agassiz,Agassiz,BC,RL,-23-----,,49.233333333333334,-121.76666666666667,
CA,AGI,Agincourt,Agincourt,ON,RL,-23-----,,43.7853531,-79.2785494,true
CA,AGU,Aguathuna,Aguathuna,NL,RL,1-3-----,,48.55,-58.766666666666666,
CA,AAC,Ailsa Craig,Ailsa Craig,ON,RQ,--3-----,,43.13333333333333,-81.53333333333333,
CA,ARO,Air Ronge,Air Ronge,SK,RQ,--3-----,,55.06666666666667,-105.31666666666666,
CA,AIR,Airdrie,Airdrie,AB,RL,--3-----,,51.28333333333333,-114.01666666666667,
CA,AJX,Ajax,Ajax,ON,RQ,--3-----,,43.8505287,-79.0208814,true
CA,AKL,Aklavik,Aklavik,NT,RL,--3-----,,68.21666666666667,-135,
CA,AKV,Akulivik Apt,Akulivik Apt,QC,RL,--34----,,60.81666666666667,-78.13333333333334,
CA,ABN,Alban,Alban,ON,RQ,--3-----,,46.1,-80.61666666666666,
CA,AYY,Albany,Albany,PE,RQ,--3-----,,46.28333333333333,-63.65,
CA,ABG,Albert Bridge,Albert Bridge,NS,RL,--3-----,,46.016666666666666,-60.05,
CA,ATO,Alberton,Alberton,PE,RL,--3-----,,46.81666666666667,-64.05,
CA,LDF,Alder Flats,Alder Flats,AB,RL,--3-----,,52.916666666666664,-114.95,
CA,ADE,Aldergrove,Aldergrove,BC,RQ,--3----B,,49.05,-122.46666666666667,
CA,ASY,Aldersyde,Aldersyde,AB,RL,--3-----,,50.666666666666664,-113.86666666666666,
CA,AAL,Alert Bay,Alert Bay,BC,AI,1-------,YAL,50.5839094,-126.9277241,true
CA,ALD,Alexander,Alexander,MB,RL,--3-----,,49.81666666666667,-100.3,
CA,XFS,Alexandria,Alexandria,ON,RL,--3-----,,45.3,-74.63333333333334,
