country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
CD,ANG,Ango,Ango,,RL,--3-----,,4.016666666666667,25.866666666666667,
CD,ARU,Aru,Aru,OR,RL,--3-----,,2.8666666666666667,30.833333333333332,
CD,BNW,Banana,Banana,,RL,1-3-----,,6.016666666666667,12.4,
CD,FDU,Bandundu,Bandundu,,AI,---4----,,-3.3113069,17.38124252269217,true
CD,BSU,Basankusu,Basankusu,,AI,---4----,,1.2254494,19.788836,true
CD,BAN,Basongo,Basongo,,AI,---4----,,-4.3271684,20.3700234,true
CD,BNC,Beni,Beni,,AI,---4----,,0.57768945,29.468553001492968,true
CD,BNB,Boende,Boende,,AI,---4----,,-0.28664885,20.880266642165402,true
CD,BOA,Boma,Boma,,AI,1--4----,,-4.41825505,15.385534638920046,true
CD,BKY,Bukavu,Bukavu,,AI,---4----,,-4.1884205,28.9430335,true
CD,BMB,Bumba,Bumba,,AI,---4----,,2.18408715,22.477952690537215,true
CD,BUX,Bunia,Bunia,,AI,---4----,,1.5666587,30.217270869775717,true
CD,BZU,Buta,Buta,,AI,---4----,,2.7932581,24.7287054,true
CD,BUT,Butembo,Butembo,NK,RL,--3-----,,0.15,29.283333333333335,
CD,DIC,Dili,Dili,,AI,---4----,,3.44295,26.72749,true
CD,GDJ,Gandajika,Gandajika,,AI,---4----,,-6.7342539,23.9514378,true
CD,BDT,Gbadolite,Gbadolite,,AI,---4----,,4.2526503,20.97295184416201,true
CD,GMA,Gemena,Gemena,,AI,---4----,,3.2355095,19.77047305669,true
CD,GOM,Goma,Goma,,AI,---4----,,-1.65377185,29.180184978268763,true
CD,IDF,Idiofa,Idiofa,,AI,---4----,,-4.9706051,19.5786696,true
CD,IKL,Ikela,Ikela,,AI,---4----,,-1.0483874499999999,23.371833353672844,true
CD,PFR,Ilebo,Ilebo,,AI,---4----,,-1.235015,17.1372896,true
CD,INO,Inongo,Inongo,,AI,---4----,,-1.94713965,18.282769476435583,true
CD,IRP,Isiro,Isiro,,AI,---4----,,2.7742702,27.6208169,true
CD,KBO,Kabalo,Kabalo,,AI,---4----,,-6.0826257,26.9176713,true
CD,KBN,Kabinda,Kabinda,,AI,---4----,,-6.1368376,24.4862256,true
CD,FMI,Kalemie,Kalemie,,AI,---4----,,-5.8750503,29.249062409613696,true
CD,KLY,Kalima,Kalima,,AI,---4----,,-2.5544374,26.6257761,true
CD,KMN,Kamina,Kamina,,AI,---4----,,-8.7288751,24.992211405695244,true
CD,KGA,Kananga,Kananga,,AI,---4----,,-5.8951725,22.408589,true
CD,KNM,Kaniama,Kaniama,,AI,---4----,,-7.6011963,24.15721280575844,true
CD,KAP,Kapanga,Kapanga,,AI,---4----,,-8.390512,22.564861,true
CD,KEC,Kasenga,Kasenga,,AI,---4----,,-11.613614250000001,27.55814066931326,true
CD,KSI,Kasindi,Kasindi,NK,RL,--3-----,,0.5,29.683333333333334,
CD,KGN,Kasongo-Lunda,Kasongo-Lunda,,AI,---4----,,-6.466666666666667,16.816666666666666,
CD,KAS,Kasumbalesa,Kasumbalesa,KA,RL,----5---,,-12.183333333333334,27.783333333333335,
CD,KKW,Kikwit,Kikwit,,AI,---4----,,-5.03605725,18.7862857708413,true
CD,KIL,Kilwa,Kilwa,,AI,---4----,,-11.6688171,27.463999220676193,true
CD,KND,Kindu,Kindu,,AI,---4----,,-5.9289091,29.1921784,true
CD,FIH,Kinshasa,Kinshasa,,AI,1--45---,,-4.3267185,15.326891555214596,true
CD,KPU,Kipushi,Kipushi,,RL,-23-----,,-11.75,27.233333333333334,
CD,KRZ,Kiri,Kiri,,AI,---4----,,-1.49985675,18.928582377879223,true
CD,FKI,Kisangani,Kisangani,,AI,---4----,,0.5024464,25.2417755,true
CD,KWZ,Kolwezi,Kolwezi,,AI,---4----,,-10.7169952,25.4669918,true
CD,KOO,Kongolo,Kongolo,,AI,---4----,,-5.39325675,26.98669647670348,true
CD,KLI,Kota Koli,Kota Koli,,AI,---4----,,3.24842,19.03982,true
CD,LIE,Libenge,Libenge,,AI,---4----,,3.6236844,18.6389325,true
CD,LKS,Likasi,Likasi,KA,RL,-23-----,,-10.983333333333333,26.733333333333334,
CD,LIQ,Lisala,Lisala,,AI,---4----,,2.1687833,21.49467812803764,true
CD,LJA,Lodja,Lodja,,AI,---4----,,-3.5241628,23.5995098,true
CD,FBM,Lubumbashi,Lubumbashi,,AI,-2-45---,,-11.62828655,27.459003916295323,true
CD,LZA,Luiza,Luiza,,AI,---4----,,-7.1899687,22.392591295642976,true
