country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
CF,ALI,Alindao,Alindao,,AI,----5---,,5.0421303,21.2109342,true
CF,BAB,Baboua,Baboua,,AI,----5---,,5.8055823,14.8327321,true
CF,BMF,Bakouma,Bakouma,,AI,---4----,,5.6947471,22.801065,true
CF,BBY,Bambari,Bambari,,AI,---45---,,5.7680014,20.6755705,true
CF,BGU,Bangassou,Bangassou,,AI,---4----,,4.743526,22.8232963,true
CF,BGF,Bangui,Bangui,,AI,---45---,,4.395921700000001,18.523326128690794,true
CF,BAO,Baoro,Baoro,,AI,----5---,,5.694576,15.953318,true
CF,BTG,Batangafo,Batangafo,,AI,---45---,,7.3135135,18.30805554940291,true
CF,BBT,Berb�rati,Berberati,,AI,---4----,,4.266666666666667,15.783333333333333,
CF,IRO,Birao,Birao,,AI,---45---,,10.2961965,22.7809907,true
CF,BOC,Bocaranga,Bocaranga,,RL,----5---,,6.966666666666667,15.633333333333333,
CF,BOD,Boda,Boda,,AI,----5---,,4.3204601,17.469330051315975,true
CF,BOG,Bogoto,Bogoto,,RL,--3-----,,4.95,17.05,
CF,BSN,Bossangoa,Bossangoa,,AI,--345---,,6.49201355,17.429415146652275,true
CF,BEM,Bossemb�l�,Bossembele,,AI,---45---,,5.266666666666667,17.65,
CF,BOP,Bouar,Bouar,,AI,---45---,,5.9354018,15.5921894,true
CF,BCF,Bouca,Bouca,,AI,---4----,,6.5176072000000005,18.272677845156444,true
CF,BOZ,Bozoum,Bozoum,,AI,---45---,,6.3147379,16.3806392,true
CF,BIV,Bria,Bria,,AI,---45---,,6.52821355,21.989699475661496,true
CF,CRF,Carnot,Carnot,,AI,---45---,,4.9403766,15.8932589,true
CF,DEK,Dekoa,Dekoa,,AI,----5---,,6.3241784,19.075473,true
CF,GDI,Gordil,Gordil,,AI,---4----,,9.582080900000001,21.726039453556275,true
CF,GDA,Gounda,Gounda,,AI,---4----,,4.9768385,21.4119745,true
CF,GRI,Grimari,Grimari,,AI,----5---,,5.740166,20.0580918,true
CF,KAB,Kaga Bandoro,Kaga Bandoro,,AI,----5---,,6.9993145,19.182305,true
CF,KWD,Kawadjia,Kawadjia,,AI,---4----,,,,
CF,KEM,Kemb�,Kembe,,AI,----5---,,4.6110899,21.8803537,true
CF,KOL,Koumala,Koumala,,AI,---4----,,,,
CF,MKI,Mboki,Mboki,HM,AI,--345---,,5.316666666666666,25.966666666666665,
CF,MOB,Mobaye,Mobaye,,AI,----5---,,4.3254367,21.1778122,true
CF,MON,Mongoumba,Mongoumba,,AI,----5---,,3.6382754,18.5948982,true
CF,NDL,Nd�l�,Ndele,,AI,---45---,,8.4247438,20.635557191670586,true
CF,NOL,Nola,Nola,,AI,----5---,,3.5224201,16.0535833,true
CF,OBO,Obo,Obo,,AI,----5---,,5.3940869,26.4927242,true
CF,ODA,Ouadda,Ouadda,,AI,---4----,,8.0715808,22.3962224,true
CF,ODJ,Ouanda Djall�,Ouanda Djalle,,AI,---4----,,8.9,22.8,
CF,PAO,Paoua,Paoua,,AI,----5---,,7.2407,16.432496,true
CF,RFA,Rafai,Rafai,,AI,---4----,,4.990736500000001,23.928443621477832,true
CF,SIB,Sibut,Sibut,,AI,----5---,,5.7350828,19.0850538,true
CF,TOG,Togo,Togo,,RL,1234----,,5.5,21.716666666666665,
CF,AIG,Yalinga,Yalinga,,AI,---4----,,6.5212583,23.2606153,true
CF,IMO,Zemio,Zemio,,AI,---4----,,5.0376477,25.149374,true
