country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
CG,AZR,Azurite,Azurite,,RQ,------7-,,-5.633333333333333,10.983333333333333,
CG,BTB,Betou,Betou,,AI,---4----,,3.0595115,18.5141489,true
CG,BOE,Boundji,Boundji,,AI,---4----,,-1.0310395,15.3360089,true
CG,BZV,Brazzaville,Brazzaville,,AI,---45---,,-4.25101445,15.253855808034107,true
CG,DJM,Djambala,Djambala,,AI,---4----,,-2.515203,14.755771029863677,true
CG,DJE,Djeno Terminal,Djeno Terminal,,RQ,1-------,,-4.91972,11.9475,true
CG,DOL,Dolisie,Dolisie,9,RQ,-----6--,,-4.183333333333334,12.666666666666666,
CG,EPN,Ep�na,Epena,,AI,---4----,,1.35,17.45,
CG,EWO,Ewo,Ewo,,AI,---4----,,-0.8591409999999999,14.805484564521853,true
CG,GMM,Gamboma,Gamboma,,AI,---4----,,-1.8710301,15.8779917,true
CG,ION,Impfondo,Impfondo,,AI,---4----,,1.59018215,18.050921240957845,true
CG,KEE,K�ll�,Kelle,,AI,---4----,,-0.06666666666666667,14.5,
CG,KNJ,Kindamba,Kindamba,,AI,---4----,,-3.7497808,14.4902639,true
CG,LCO,Lague,Lague,,AI,---4----,,-2.45,14.533,true
CG,LKC,Lekana,Lekana,,AI,---4----,,-2.324269,14.590518,true
CG,DIS,Loubomo,Loubomo,,AI,---4----,,-4.20510725,12.658930515565826,true
CG,KMK,Makabana,Makabana,,AI,-2-4----,,-3.4816721,12.5956707,true
CG,MKJ,Makoua,Makoua,,AI,---4----,,-0.0199679,15.5803939,true
CG,MBI,Mbinda,Mbinda,,RL,-23-----,,-2.1,12.866666666666667,
CG,MOS,Mossaka,Mossaka,,RL,1-3-----,,-1.2166666666666668,16.8,
CG,MSX,Mossendjo,Mossendjo,,AI,---4----,,-2.9461641,12.699002,true
CG,MUY,Mouyondzi,Mouyondzi,,AI,---4----,,-3.9954765,13.9218925,true
CG,NKY,Nkayi,Nkayi,,AI,---4----,,-4.2220518,13.2858039,true
CG,NKO,N'Kossa Terminal,N'Kossa Terminal,,RQ,1-------,,-5.233333333333333,11.6,
CG,OKG,Okoyo,Okoyo,,AI,---4----,,-1.4475155,15.074157,true
CG,OUE,Ouesso,Ouesso,,AI,1--4----,,1.6198476,16.03868182086302,true
CG,FTX,Owando Apt,Owando Apt,,RQ,--34----,,-0.9666666666666667,16,
CG,OYO,Oyo,Oyo,,RL,1-3-----,,1,15.9,
CG,PNR,Pointe Noire,Pointe Noire,16,AI,1--45---,,-4.8,11.85,
CG,SIB,Sibiti,Sibiti,2,RL,---4----,,-3.6833333333333336,13.333333333333334,
CG,SOE,Souank�,Souanke,,AI,---4----,,2.0833333333333335,14.133333333333333,
CG,YOM,Yombo,Yombo,9,RL,1-------,,-2.9333333333333336,12.7,
CG,ANJ,Zanaga,Zanaga,,AI,---4----,,-2.8474064,13.8214267,true
