country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
CH,ARF,Aadorf,Aadorf,TG,RL,--3-----,,47.483333333333334,8.9,
CH,AAR,Aarau,Aarau,AG,RQ,--3-----,ZDA,47.3927146,8.0444448,true
CH,ABG,Aarberg,Aarberg,BE,RL,--3-----,,47.05,7.283333333333333,
CH,AAB,Aarburg,Aarburg,AG,RL,--3-----,,47.3,7.883333333333333,
CH,AWG,Aarwangen,Aarwangen,BE,RL,--3-----,,47.233333333333334,7.75,
CH,ABT,Abtwil,Abtwil,SG,RL,--3-----,,47.416666666666664,9.316666666666666,
CH,ACL,Aclens,Aclens,VD,RL,--3-----,,46.56666666666667,6.516666666666667,
CH,ACQ,Acquarossa,Acquarossa,TI,RL,--3-----,,46.45,8.95,
CH,ADL,Adelboden,Adelboden,BE,RL,--3-----,ZDB,46.483333333333334,7.566666666666666,
CH,ADI,Adligenswil,Adligenswil,LU,RL,--3-----,,47.06666666666667,8.366666666666667,
CH,ADW,Adliswil,Adliswil,ZH,RL,-23-----,,47.31666666666667,8.516666666666667,
CH,ABL,Aesch,Aesch,LU,RL,-23-----,,47.266666666666666,8.25,
CH,AES,Aesch,Aesch,BL,RL,--3-----,,47.46666666666667,7.6,
CH,AEH,Aesch bei Birmensdorf,Aesch bei Birmensdorf,ZH,RL,--3-----,,47.333333333333336,8.433333333333334,
CH,XRE,Aeugst am Albis,Aeugst am Albis,ZH,RL,1-3-----,,47.266666666666666,8.483333333333333,
CH,AFF,Affeltrangen,Affeltrangen,TG,RL,-23-----,,47.516666666666666,9.033333333333333,
CH,AFT,Affoltern am Albis,Affoltern am Albis,ZH,RL,--3-----,,47.28333333333333,8.433333333333334,
CH,AIE,Affoltern im Emmental,Affoltern im Emmental,BE,RL,-23-----,,47.06666666666667,7.733333333333333,
CH,AGO,Agno,Agno,TI,RQ,--3-----,,45.983333333333334,8.85,
CH,AIG,Aigle,Aigle,VD,RL,--3-----,ZDC,46.31666666666667,6.966666666666667,
CH,AIR,Airolo,Airolo,TI,RL,-23-----,,46.53333333333333,8.6,
CH,ALZ,Alberswil,Alberswil,LU,RL,-----6--,,47.15,8,
CH,AFH,Alchenflueh,Alchenflueh,BE,RQ,--3-----,,47.06666666666667,7.566666666666666,
CH,ALL,Allaman,Allaman,VD,RL,--3-----,,46.46666666666667,6.4,
CH,ALE,Alle,Alle,JU,RL,--3--6--,,47.43333333333333,7.133333333333334,
CH,ASW,Allschwil,Allschwil,BL,RL,--3-----,,47.53333333333333,7.533333333333333,
CH,APD,Alpnach Dorf,Alpnach Dorf,OW,RL,--3-----,,46.93333333333333,8.266666666666667,
CH,ATH,Alpthal,Alpthal,SZ,RL,-----6--,,47.06666666666667,8.7,
CH,ARB,Altdorf,Altdorf,,RQ,--3-----,,46.8820732,8.6413922,true
CH,ALT,Altendorf,Altendorf,SZ,RL,--3-----,,47.18333333333333,8.833333333333334,
CH,ATR,Altenrhein,Altenrhein,SG,RL,-234----,ACH,47.483333333333334,9.55,
CH,AHF,Altishofen,Altishofen,LU,RL,--3-----,,47.2,7.966666666666667,
CH,ATN,Altnau,Altnau,TG,RL,--3-----,,47.11666666666667,9.25,
CH,ASN,Altst�tten,Altstatten,SG,RL,--3-----,,47.38333333333333,9.533333333333333,
CH,BEG,Amlikon-Bissegg,Amlikon-Bissegg,TG,RL,--3-----,,47.55,9.033333333333333,
CH,AWL,Amriswil,Amriswil,TG,RL,-23-----,,47.53333333333333,9.3,
CH,LFI,Andelfingen,Andelfingen,ZH,RQ,-----6--,,47.583333333333336,8.683333333333334,
CH,AND,Andwil,Andwil,SG,RL,--3-----,,47.43333333333333,9.266666666666667,
CH,AGE,Anieres,Anieres,GE,RL,--3--6--,,46.28333333333333,6.216666666666667,
CH,ANW,Anwil,Anwil,BL,RL,--3-----,,47.45,7.933333333333334,
CH,APP,Appenzell,Appenzell,AI,RL,--3-----,ZAP,47.333333333333336,9.4,
CH,APL,Apples,Apples,VD,RL,-23-----,,46.55,6.433333333333334,
CH,3JK,Arbaz,Arbaz,VS,RL,--3-----,,46.28333333333333,7.383333333333334,
CH,ABD,Arbedo,Arbedo,TI,RL,--3-----,,46.2,9.05,
CH,ZDD,Arbon,Arbon,TG,RL,--3-----,,47.5,9.416666666666666,
CH,ARC,Arch,Arch,BE,RL,--3-----,,47.15,7.416666666666667,
CH,AOC,Arconciel,Arconciel,FR,RL,--3-----,,46.75,7.116666666666666,
CH,ADO,Ardon,Ardon,VS,RL,-23-----,,46.21666666666667,7.25,
CH,ADF,Arisdorf,Arisdorf,BL,RL,--3-----,,47.516666666666666,7.766666666666667,
CH,ATU,Aristau,Aristau,AG,RL,--3-----,,47.28333333333333,8.366666666666667,
CH,ASH,Arlesheim,Arlesheim,BL,RQ,--3-----,,47.483333333333334,7.616666666666667,
CH,AGG,Arnegg,Arnegg,SG,RL,--3-----,,47.43333333333333,9.25,
CH,ARL,Arolla,Arolla,VS,RL,--3-----,,46.03333333333333,7.483333333333333,
CH,ARS,Arosa,Arosa,GR,RL,--3-----,ZDE,46.78333333333333,9.666666666666666,
CH,ARH,Arth,Arth,SZ,RL,-23--6--,,47.06666666666667,8.516666666666667,
CH,AVO,Arvigo,Arvigo,GR,RL,--3-----,,46.3,9.116666666666667,
CH,ARZ,Arzier,Arzier,VD,RL,--3-----,,46.46666666666667,6.2,
CH,AZO,Arzo,Arzo,TI,RL,--3-----,,45.88333333333333,8.933333333333334,
CH,ASC,Ascona,Ascona,TI,RL,-234----,ACO,46.15,8.766666666666667,
CH,ASS,Assens,Assens,VD,RQ,--3-----,,46.61666666666667,6.616666666666667,
CH,AT2,Athenaz,Athenaz,GE,RL,--3-----,,46.15,5.983333333333333,
CH,TTK,Attikon,Attikon,ZH,RQ,-----6--,,47.88333333333333,-9.316666666666666,
CH,AUS,Au,Au,SG,RL,-23----B,,47.43333333333333,9.616666666666667,
CH,AUT,Au,Au,ZH,RL,--3-----,,47.233333333333334,8.633333333333333,
CH,AUU,Au,Au,TG,RL,--3-----,,47.38333333333333,8.95,
CH,ABO,Aubonne,Aubonne,VD,RQ,--3-----,,46.483333333333334,6.4,
CH,AGT,Augst,Augst,BL,RL,--3-----,,47.516666666666666,7.7,
CH,AUL,Auslikon,Auslikon,ZH,RL,--3-----,,47.333333333333336,8.8,
CH,AVI,Auvernier,Auvernier,NE,RL,--3-----,,46.96666666666667,6.866666666666667,
CH,A8T,Avegno,Avegno,TI,RL,--3-----,,46.2,8.733333333333333,
CH,AVE,Avenches,Avenches,VD,RL,-23-----,,46.88333333333333,7.05,
CH,AVR,Avry,Avry,FR,RL,-----6--,,46.78333333333333,7.066666666666666,
CH,AYE,Ayent,Ayent,VS,RL,--3-----,,46.28333333333333,7.416666666666667,
CH,BAR,Baar,Baar,ZG,RQ,--3-----,,47.1951976,8.5253985,true
CH,BAH,Bach,Bach,SZ,RL,--3-----,,47.2,8.733333333333333,
CH,BAB,Bachenb�lach,Bachenbulach,ZH,RL,--3-----,,47.5,8.533333333333333,
CH,BRZ,Bad Ragaz,Bad Ragaz,SG,RL,123-----,,47,9.5,
CH,BZZ,Bad Zurzach,Bad Zurzach,AG,RL,-----6--,,47.583333333333336,8.283333333333333,
CH,BAD,Baden,Baden,AG,RL,--3-----,ZDG,47.46666666666667,8.3,
CH,BLA,Balerna,Balerna,TI,RL,-23-----,,45.85,9,
CH,BAL,Balgach,Balgach,SG,RQ,--3-----,,47.4068832,9.6062727,true
CH,BLI,Ballaigues,Ballaigues,VD,RL,--3-----,,46.733333333333334,6.416666666666667,
CH,BLS,Ballens,Ballens,VD,RL,--3-----,,46.55,6.366666666666666,
CH,BA8,Ballwil,Ballwil,LU,RL,1-3-----,,47.15,8.316666666666666,
CH,BST,Balsthal,Balsthal,SO,RL,--3-----,,47.3,7.683333333333334,
CH,BWI,Balterswil,Balterswil,TG,RL,--3--6--,,47.45,8.933333333333334,
CH,BTS,Baltschieder,Baltschieder,VS,RL,--3-----,,46.3,7.866666666666667,
CH,BWL,Bannwil,Bannwil,BE,RQ,--3-----,,47.233333333333334,7.716666666666667,
