country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
CI,OGO,Abengourou,Abengourou,,AI,---4----,,6.7269042,-3.4968431,true
CI,ABJ,Abidjan,Abidjan,AB,AI,1--45---,,5.333333333333333,-4.016666666666667,
CI,ABO,Aboisso,Aboisso,,RQ,---4----,,5.466666666666667,-3.2,
CI,ADZ,Adzop�,Adzope,,RL,--3-----,,6.1,-3.85,
CI,AGB,Agboville,Agboville,,RL,-23-----,,5.933333333333334,-4.216666666666667,
CI,AFI,Amalfi,Amalfi,,RQ,---4----,,,,
CI,ASS,Assinie-Mafia,Assinie-Mafia,,RL,1-3-----,,5.116666666666666,-3.283333333333333,
CI,BAO,Baobab Terminal,Baobab Terminal,,RL,1-3-----,,4.95,-4.55,
CI,BGV,Bingerville,Bingerville,01,RL,--3-----,,5.35,-3.9,
CI,BDK,Bondoukou,Bondoukou,,AI,---4----,,8.0151654,-2.763268015586016,true
CI,BGG,Bongouanou,Bongouanou,,RQ,---4----,,6.65,-4.2,
CI,BON,Bonoua,Bonoua,,RL,--3-----,,5.266666666666667,-3.6,
CI,BRZ,Borotou,Borotou,,RQ,---4----,,8.733333333333333,-7.483333333333333,
CI,BYK,Bouak�,Bouake,,AI,---4----,,7.6906058,-5.0298408,true
CI,BQO,Bouna,Bouna,,RQ,---4----,,9.266666666666667,-3,
CI,BXI,Boundiali,Boundiali,,RQ,---4----,,9.516666666666667,-6.483333333333333,
CI,BUU,Buyo,Buyo,,RQ,---4----,,6.266666666666667,-7.05,
CI,COD,Cocody,Cocody,,RL,-----6--,,5.35,-4,
CI,DAB,Dabou,Dabou,,RL,1-3-----,,5.316666666666666,-4.366666666666666,
CI,DJO,Daloa,Daloa,,AI,---4----,,6.8766904,-6.4516096,true
CI,DNC,Danane,Danane,,RQ,---4----,,7.25,-8.15,
CI,DIM,Dimbokro,Dimbokro,,RL,---4----,,6.65,-4.666666666666667,
CI,DIV,Divo,Divo,,RL,---4----,,5.833333333333333,-5.35,
CI,DJB,Djibi,Djibi,01,RL,--3-----,,5.45,-3.9833333333333334,
CI,ESP,Espoir,Espoir,,RQ,1-------,,5.066666666666666,-4.383333333333334,
CI,FEK,Ferkess�dougou,Ferkessedougou,,AI,---45---,,9.6,-5.2,
CI,FRE,Fresco,Fresco,,RL,1-3-----,,5.083333333333333,-5.566666666666666,
CI,GGN,Gagnoa,Gagnoa,,AI,--34----,,6.133333333333334,-5.933333333333334,
CI,GBA,Gbabam,Gbabam,,RL,1-------,,5.466666666666667,-5.583333333333333,
CI,GLU,Grand Lahou,Grand Lahou,,RL,1-3-----,,5.133333333333334,-5.016666666666667,
CI,BBV,Grand-B�r�by,Grand-Bereby,09,RL,---4----,,4.666666666666667,-7.066666666666666,
CI,GUI,Guiemb�,Guiembe,SV,RL,-23-----,,9.233333333333333,-5.716666666666667,
CI,GGO,Guiglo,Guiglo,,AI,--34----,,6.533333333333333,-7.483333333333333,
CI,JAC,Jacqueville,Jacqueville,,RL,1-------,,5.2,-4.416666666666667,
CI,KTC,Katiola,Katiola,,RL,---4----,,9.65,-7.616666666666667,
CI,HGO,Korhogo,Korhogo,,AI,---4----,,9.4574719,-5.6342471,true
CI,KOS,Kosagi,Kosagi,,RL,1-------,,8.216666666666667,-8.1,
CI,KOU,Koumassi,Koumassi,01,RL,--3-----,,5.283333333333333,-3.966666666666667,
CI,LKT,Lakota,Lakota,,RL,---4----,,5.85,-5.683333333333334,
CI,MJC,Man,Man,,AI,---4----,,7.4090813,-7.5501702,true
CI,MOK,Mankono,Mankono,,RQ,---4----,,8.016666666666667,-6.15,
CI,XMB,M'Bahiakro,M'Bahiakro,,RL,---4----,,7.45,-4.333333333333333,
CI,NKL,Nakala,Nakala,,RL,--3-----,,8.466666666666667,-4.266666666666667,
CI,KEO,Odienn�,Odienne,,AI,---4----,,9.5,-7.566666666666666,
CI,OFI,Ouango Fitni,Ouango Fitni,,RQ,---4----,,9.6,-4.016666666666667,
CI,PBT,Port-Bou�t,Port-Bouet,,RL,1-------,,5.25,-3.966666666666667,
CI,SPY,San-P�dro,San-Pedro,09,AI,1-34----,,4.733333333333333,-6.616666666666667,
CI,ZSS,Sassandra,Sassandra,,AI,1--4----,,5.8026217,-6.6559839,true
CI,SEQ,Seguela,Seguela,,RQ,---4----,,7.963739500000001,-6.643595778852452,true
CI,SGL,S�gu�la,Seguela,,RL,--3-----,,7.95,-6.666666666666667,
CI,SFR,Sinfra,Sinfra,,RL,--3-----,,6.616666666666667,-5.916666666666667,
CI,TBX,Taabo,Taabo,,RL,---4----,,6.216666666666667,-5.116666666666666,
CI,TXU,Tabou,Tabou,,AI,---4----,,4.4378095,-7.3627281,true
CI,TIA,Tiassal�,Tiassale,,RL,--3-----,,5.883333333333333,-4.816666666666666,
CI,TGX,Tingrela,Tingrela,,RL,---4----,,10.483333333333333,-6.4,
CI,TOZ,Touba,Touba,,RQ,---4----,,8.266666666666667,-7.666666666666667,
CI,VRD,Vridi,Vridi,10,RL,-----6--,,5.25,-3.9833333333333334,
CI,ASK,Yamoussoukro,Yamoussoukro,,AI,---4----,,6.8200066,-5.2776034,true
CI,YGN,Yopougon,Yopougon,01,RL,--3-----,,5.333333333333333,-4.066666666666666,
CI,YOA,Yopougon-Attie,Yopougon-Attie,16,RL,--3-----,,5.35,-4.066666666666666,
CI,ZUE,Zuenoula,Zuenoula,,RL,---4----,,7.416666666666667,-6.033333333333333,
