country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
CK,AIT,Aitutaki,Aitutaki,,AI,1--45---,,-18.8364468,-159.76131004763312,true
CK,ARU,Arutunga,Arutunga,,RQ,1-------,,,,
CK,AIU,Atiu,Atiu,,AI,1--4----,,-19.968020600000003,-158.11826701000555,true
CK,AVA,Avarua,Avarua,,RL,--3-----,,-21.183333333333334,-159.76666666666668,
CK,MGS,Mangaia,Mangaia,,AI,1--4----,,-21.8959891,-157.90646913645608,true
CK,MHX,Manihiki Island,Manihiki Island,,RL,---4----,,-10.366666666666667,-161,
CK,MUK,Mauke Island,Mauke Island,,AI,---4----,,-20.1365556,-157.34467164750728,true
CK,MOI,Mitiaro Island,Mitiaro Island,,AI,1--4----,,-19.84221065,-157.7046704915573,true
CK,PYE,Penrhyn Island,Penrhyn Island,,RL,---4----,,-9.016666666666667,-158.03333333333333,
CK,PZK,Puka Puka Island,Puka Puka Island,,RL,---4----,,58.05,26.233333333333334,
CK,RAR,Rarotonga,Rarotonga,,AI,1--45---,,-21.201722349999997,-159.80567804613287,true
