country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
CL,ACH,Achao,Achao,LL,RN,1-------,,-42.45,-73.51666666666667,
CL,ALG,Algarrobo,Algarrobo,VS,RN,--3-----,,-33.36666666666667,-71.66666666666667,
CL,ALH,Alhu�,Alhue,RM,RN,--3-----,,-34.03333333333333,-71.1,
CL,ABB,Alto B�o B�o,Alto Bio Bio,BI,RN,--3-----,,-38.71666666666667,-71.13333333333334,
CL,ADC,Alto del Carmen,Alto del Carmen,AT,RN,--3-----,,-28.766666666666666,-70.5,
CL,AHP,Alto Hospicio,Alto Hospicio,TA,RL,--3-----,,-20.25,-70.11666666666666,
CL,WAP,Alto Palena Apt,Alto Palena Apt,AI,RL,--34----,,-43.63333333333333,-71.81666666666666,
CL,M9Z,Ancoa,Ancoa,ML,RL,--3-----,,-35.916666666666664,-71.43333333333334,
CL,ZUD,Ancud,Ancud,LL,AI,1-34----,,-41.85,-73.83333333333333,
CL,AND,Andacollo,Andacollo,CO,RN,--3-----,,-30.216666666666665,-71.08333333333333,
CL,ANG,Angol,Angol,AR,RL,-23-----,,-37.8,-72.71666666666667,
CL,ANF,Antofagasta,Antofagasta,AN,AI,1--4----,,-23.633333333333333,-70.38333333333334,
CL,ANT,Antuco,Antuco,BI,RN,--3-----,,-37.333333333333336,-71.68333333333334,
CL,ARA,Arauco,Arauco,BI,RN,1-3-----,,-37.25,-73.31666666666666,
CL,ARI,Arica,Arica,AP,AI,1-34----,,-18.483333333333334,-70.31666666666666,
CL,AYA,Ayacara,Ayacara,LL,RN,1-------,,-42.3,-72.78333333333333,
CL,BLR,Bahia Laredo,Bahia Laredo,MA,RL,1-3-----,,-52.96666666666667,-70.8,
CL,BAG,Bah�a San Gregorio,Bahia San Gregorio,MA,AI,1-------,,-52.61666666666667,-70.13333333333334,
CL,BAL,Balmaceda,Balmaceda,AN,AM,--3-----,,-25.066666666666666,-69.73333333333333,
CL,BBA,Balmaceda,Balmaceda,AI,AI,--34----,,-45.9,-71.68333333333334,
CL,BAQ,Baquedano,Baquedano,AN,RL,--3-----,,-23.333333333333332,-69.85,
CL,BAR,Barquito,Barquito,AT,RL,1-------,,-26.35,-70.63333333333334,
CL,BUI,Buin,Buin,RM,RL,--3-----,,-33.733333333333334,-70.75,
CL,BUL,Bulnes,Bulnes,BI,RN,--3-----,,-36.733333333333334,-72.3,
CL,CBD,Cabildo,Cabildo,VS,RN,--3-----,,-32.416666666666664,-71.13333333333334,
CL,CHR,Cabo de Hornos,Cabo de Hornos,MA,RN,1-------,,-55.96666666666667,-67.2,
CL,CNX,Cabo Negro,Cabo Negro,MA,AI,1-------,,-52.96666666666667,-70.85,
CL,CAB,Cabrero,Cabrero,BI,RL,-23-----,,-37.03333333333333,-72.4,
CL,CJC,Calama,Calama,AN,AI,-234----,,-22.45,-68.91666666666667,
CL,CBC,Calbuco,Calbuco,LL,RL,1-3-----,,-41.75,-73.13333333333334,
CL,CLD,Caldera,Caldera,AT,AI,1-------,,-27.033333333333335,-70.8,
CL,CAA,Calderilla,Calderilla,AT,RN,123-----,,-27.083333333333332,-70.85,
CL,CDT,Calera de Tango,Calera de Tango,RM,RN,--3-----,,-33.61666666666667,-70.8,
CL,CLR,Caleta Clarencia,Caleta Clarencia,MA,AI,1-------,,-52.88333333333333,-70.1,
CL,COL,Caleta Coloso,Caleta Coloso,AN,RL,1-------,,-23.75,-70.46666666666667,
CL,CAL,Caleta Patillos,Caleta Patillos,,RQ,1-------,,-20.75,-70.2,
CL,CLL,Calle Larga,Calle Larga,VS,RN,--3-----,,-32.85,-70.63333333333334,
CL,CAM,Camarones,Camarones,AP,RN,--3-----,,-19.016666666666666,-69.86666666666666,
CL,CMA,Cami�a,Camina,TA,RN,--3-----,,-19.3,-69.41666666666667,
CL,BBH,Campamento Barahona,Campamento Barahona,LI,RL,-----6--,,-34.1,-70.51666666666667,
CL,CMP,Campanario,Campanario,BI,RL,-----6--,,-37.11666666666667,-72.18333333333334,
CL,CAN,Canela,Canela,CO,RN,--3-----,,-31.4,-71.45,
CL,CTE,Ca�ete,Canete,BI,RN,--3-----,,-37.8,-73.4,
CL,CAR,Carahue,Carahue,AR,RN,-23-----,,-38.7,-73.16666666666667,
CL,CRH,Carahue,Carahue,LL,RN,1-3-----,,-43,-73.55,
CL,CGN,Cartagena,Cartagena,VS,RN,--3-----,,-33.55,-71.6,
CL,CAS,Casablanca,Casablanca,VS,RL,--3-----,,-33.31666666666667,-71.4,
CL,WCA,Castro,Castro,LL,AI,1-34----,,-42.46666666666667,-73.76666666666667,
CL,CAT,Catemu,Catemu,VS,RN,--3-----,,-32.63333333333333,-71.03333333333333,
CL,CAU,Cauquenes,Cauquenes,ML,RN,--3-----,,-35.96666666666667,-72.35,
CL,CER,Cerrillos,Cerrillos,RM,RL,--3-----,,-33.483333333333334,-70.71666666666667,
CL,CNV,Cerro Navia,Cerro Navia,RM,RN,--3-----,,-33.416666666666664,-70.71666666666667,
CL,SMB,Cerro Sombrero,Cerro Sombrero,MA,AI,--34----,,-52.766666666666666,-69.3,
CL,CHB,Chacabuco,Chacabuco,AI,AI,1-------,,-45.483333333333334,-72.81666666666666,
CL,CCA,Chacao,Chacao,LL,RN,1-3-----,,-41.833333333333336,-73.53333333333333,
CL,CHG,Chagres,Chagres,VS,RL,--3-----,,-32.8,-70.96666666666667,
CL,WCH,Chait�n,Chaiten,LL,AI,1--4----,,-42.916666666666664,-72.7,
CL,CNR,Cha�aral,Chanaral,AT,AI,1234----,,-26.35,-70.61666666666666,
CL,CHA,Chanco,Chanco,ML,RN,--3-----,,-35.733333333333334,-72.53333333333333,
CL,B7X,Charrua,Charrua,BI,RL,--3-----,,-37.1,-72.28333333333333,
CL,CHE,Ch�pica,Chepica,LI,RN,--3-----,,-34.733333333333334,-71.28333333333333,
CL,CCO,Chicureo,Chicureo,RM,RL,--3-----,,-33.28333333333333,-70.63333333333334,
CL,CHI,Chiguayante,Chiguayante,BI,RN,123-----,,-36.916666666666664,-73.01666666666667,
CL,CCH,Chile Chico,Chile Chico,AI,AI,--3-----,,-46.55,-71.73333333333333,
