country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
CM,BFX,Bafoussam,Bafoussam,,AI,--34----,,5.4758844,10.4217852,true
CM,BLC,Bali,Bali,,AI,---4----,,5.8952918,10.0339671,true
CM,BPC,Bamenda,Bamenda,,RQ,---4----,,5.933333333333334,10.166666666666666,
CM,OUR,Batouri,Batouri,,AI,---4----,,4.4738974,14.3622338,true
CM,BEL,B�labo,Belabo,ES,RL,-23-----,,4.933333333333334,13.3,
CM,BTA,Bertoua,Bertoua,,RQ,---4----,,4.583333333333333,13.683333333333334,
CM,BNB,Bonab�ri,Bonaberi,LT,RL,--3-----,,4.083333333333333,9.65,
CM,BUA,Buea,Buea,,RL,--3-----,,4.1567895,9.2315915,true
CM,CMO,Campo,Campo,,RQ,0-------,,2.31584625,9.836667156135245,true
CM,DLA,Douala,Douala,,AI,1--45---,,4.01295545,9.716148871730141,true
CM,DSC,Dschang,Dschang,,AI,---4----,,5.4469923,10.053309,true
CM,EBW,Ebolowa,Ebolowa,,RQ,---4----,,2.919384,11.1516632,true
CM,EBT,Ebom� Terminal,Ebome Terminal,,RL,-23-----,,2.8,9.816666666666666,
CM,EDA,Ed�a,Edea,,RL,-23-----,,3.7666666666666666,10.116666666666667,
CM,EKO,Ekok,Ekok,SW,RL,----5---,,5.8,8.883333333333333,
CM,FOM,Foumban,Foumban,,RQ,---4----,,5.716666666666667,10.916666666666666,
CM,GOU,Garoua,Garoua,NO,AI,1-34----,,9.3,13.4,
CM,GRB,Garoua Boula�,Garoua Boulai,ES,AI,--3-5---,,5.883333333333333,14.55,
CM,KLE,Kaele,Kaele,,RQ,---4----,,10.116666666666667,14.433333333333334,
CM,KOL,Kole Terminal,Kole Terminal,,RQ,1-------,,,,
CM,KSI,Kouss�ri,Kousseri,EN,AI,----5---,,12.066666666666666,15.016666666666667,
CM,KOB,Koutaba,Koutaba,,AI,---4----,,5.6375227500000005,10.751242928227342,true
CM,KBI,Kribi,Kribi,,AI,1--4----,,2.9434098,9.9126989,true
CM,KUM,Kumba,Kumba,SW,RL,1----6--,,4.633333333333333,9.433333333333334,
CM,KYE,Kye-Ossi,Kye-Ossi,SU,AI,----5---,,2.25,11.25,
CM,LIM,Limbe,Limbe,,RL,123-----,,4.016666666666667,9.216666666666667,
CM,LIT,Limboh Terminal,Limboh Terminal,,RQ,1-------,,,,
CM,MMF,Mamfe,Mamfe,,AI,---4----,,5.7049093,9.3063685,true
CM,MVR,Maroua,Maroua,,AI,---4----,,10.6033083,14.3281625,true
CM,MSG,Massongo Terminal,Massongo Terminal,,RL,------7-,,4.216666666666667,8.783333333333333,
CM,MBA,Mbalmayo,Mbalmayo,CE,RL,--3-----,,3.5166666666666666,11.5,
CM,MGA,Meiganga,Meiganga,AD,AM,--3-----,,6.516666666666667,14.3,
CM,MOR,Mora,Mora,EN,AI,----5---,,11.033333333333333,14.133333333333333,
CM,MOU,Moudi Terminal,Moudi Terminal,,RL,1-3-----,,4.116666666666666,8.483333333333333,
CM,NDP,Ndop,Ndop,NW,RL,--3-----,,6,10.416666666666666,
CM,NGE,Ngaound�r�,Ngaoundere,AD,RL,-23-----,,7.316666666666666,13.583333333333334,
CM,NKS,Nkongsamba,Nkongsamba,,RL,-234----,,4.933333333333334,9.933333333333334,
CM,TKC,Tiko,Tiko,,AI,1--4----,,4.0900417000000004,9.36040578895086,true
CM,VIC,Victoria,Victoria,SW,RQ,--3-----,,4,9.183333333333334,
CM,GXX,Yagoua,Yagoua,,RQ,---4----,,10.35,15.233333333333333,
CM,YAO,Yaound�,Yaounde,CE,AI,---45---,NSI,3.8666666666666667,11.516666666666667,
