country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
CN,ARS,Aershan,Aershan,NM,AS,--3-----,,48.97966,116.8564,true
CN,AHK,Aheitubieke,Aheitubieke,XJ,AS,--3-----,,,,
CN,AID,Aidian,Aidian,GX,AS,--3-----,,21.816666666666666,107.01666666666667,
CN,AKU,Aksu,Aksu,XJ,RL,---4----,,38.666666666666664,75.66666666666667,
CN,AKL,Alatawshankou,Alatawshankou,XJ,AS,-23---7-,,45.18333333333333,82.43333333333334,
CN,AAT,Altay,Altay,XJ,RL,-234----,,47.86666666666667,88.11666666666666,
CN,ANJ,Anji,Anji,ZJ,AS,--3--6--,,30.633333333333333,119.66666666666667,
CN,AKA,Ankang,Ankang,SN,RL,-234----,,32.75565235,108.88129678211641,true
CN,ANN,Anning,Anning,YN,RL,-23-----,,24.9,102.48333333333333,
CN,ANP,Anping,Anping,LN,RL,-2------,,41.15,123.08333333333333,
CN,APP,Anpu,Anpu,GD,RL,1-------,,21.383333333333333,109.83333333333333,
CN,AQG,Anqing,Anqing,AH,AS,123-----,,30.516666666666666,117.03333333333333,
CN,ANQ,Anqiu,Anqiu,SD,RL,1-3-----,,36.416666666666664,119.18333333333334,
CN,ASN,Anshan,Anshan,LN,AS,-2------,,41.11666666666667,123,
CN,AOG,Anshan Teng'ao Apt,Anshan Teng'ao Apt,LN,RL,---4-6--,,41.166666666666664,123.03333333333333,
CN,ANS,Anshun,Anshun,GZ,RL,-23-----,,26.25,105.93333333333334,
CN,ANT,Anting,Anting,SH,RL,1----6--,,31.3,121.15,
CN,ANX,"""Anxi","Quanzhou""","""Anxi","Quanzhou""",FJ,-23--6--,25.0582843,118.1817065,true
CN,AYS,Anyang,Anyang,HA,AS,-----6--,,36.1023552,114.33633,true
CN,AJG,Aojiang Pt,Aojiang Pt,ZJ,AS,1-------,,27.583333333333332,120.45,
CN,ASW,Aoshanwei,Aoshanwei,SD,RQ,1----6--,,36.35,120.66666666666667,
CN,ART,Arhaxat,Arhaxat,NM,AS,--3-----,,,,
CN,ASM,Asjman,Asjman,11,RQ,--3-----,,,,
CN,BCO,Bacao,Bacao,GZ,RL,1-------,,25.466666666666665,105.78333333333333,
CN,BDG,Badong,Badong,HB,RL,1-------,,31.033333333333335,110.38333333333334,
CN,BGG,Bagong,Bagong,GZ,RL,--3-----,,26.966666666666665,108.66666666666667,
CN,BAH,Bahe,Bahe,HB,RL,1-------,,29.8617461,93.6647622,true
CN,BCG,Baiceng,Baiceng,GZ,RL,1-------,,25.433333333333334,105.8,
CN,BAI,Baicheng,Baicheng,JL,RL,-23-----,,46.6,122.83333333333333,
CN,BLO,Bailuo,Bailuo,HB,RL,1-------,,29.5501316,113.2003309,true
CN,BMJ,Baimajing,Baimajing,HI,RL,1-3-----,,19.7,109.21666666666667,
CN,IMA,Baimao,Baimao,SD,RL,1-------,,35.016666666666666,118.6,
CN,BSE,Baise,Baise,GX,RL,1-------,,23.9053605,106.6148824,true
CN,BSH,Baishan,Baishan,JL,RL,-23--6--,,46.1,128.08333333333334,
CN,BSI,Baishi,Baishi,HL,RL,1-------,,29.6832246,108.5625815,true
CN,BYG,Baiyang,Baiyang,HB,RL,1-------,,30.433333333333334,111.51666666666667,
CN,BYU,Baiyun,Baiyun,GD,RL,--3-----,,25.25,114.06666666666666,
CN,BKT,Baketu,Baketu,XJ,AS,--3-----,,,,
CN,BLI,Bali,Bali,HB,RL,1-------,,36.0055935,103.8214043,true
CN,BPX,Bangda,Bangda,XZ,RL,---4----,,30.55,97.11666666666666,
CN,BON,Bao'an,Bao'an,GD,RL,--3-----,,24.916666666666668,112.38333333333334,
CN,BDZ,Baoding,Baoding,HE,AS,-----6--,,38.85,115.5,
CN,BOJ,Baoji,Baoji,SN,AS,-----6--,,34.36666666666667,107.15,
CN,BQI,Baoqing,Baoqing,HL,RL,-----6--,,46.31666666666667,132.2,
CN,BAN,Baoshan,Baoshan,YN,AS,--3-----,,25.116666666666667,99.15,
CN,BSD,Baoshan Pt,Baoshan Pt,SH,AS,1-------,,31.416666666666668,121.48333333333333,
CN,BOT,Baotou,Baotou,NM,AS,-----6--,,40.65,109.81666666666666,
CN,BYI,Baoying,Baoying,32,RL,--3-----,,33.21666666666667,119.3,
CN,BSP,Basuo Pt,Basuo Pt,HI,AS,1-------,,19,108.61666666666666,
CN,BAU,Baxu,Baxu,JS,RL,1-------,,30.93612,96.33243,true
CN,BYA,Bayan,Bayan,HL,RL,1-------,,46.083333333333336,127.4,
CN,BYO,Bayan Obo,Bayan Obo,NM,RL,-2------,,41.766666666666666,109.96666666666667,
CN,RLK,Bayannur,Bayannur,NM,AA,--34-6--,,40.733333333333334,107.36666666666666,
CN,BSX,Bayin,Bayin,NM,RL,-23-----,,36.55,104.2,
CN,BYQ,Bayuquan,Bayuquan,LN,AS,1-------,,40.2241925,122.1152742,true
CN,BAZ,Bazhou,Bazhou,13,RL,--3-----,,39.1,116.38333333333334,
CN,BIC,Beicun,Beicun,GD,AS,1-------,,34.32032,111.5515,true
CN,BHY,Beihai,Beihai,GX,AS,-234----,,21.533333333333335,109.28333333333333,
CN,BIH,Beihai Pt,Beihai Pt,GX,AS,1-------,,21.466666666666665,109.11666666666666,
CN,BIJ,Beijiao,Beijiao,GD,AS,1-------,,22.916666666666668,113.2,
CN,BJO,Beijiao,Beijiao,FJ,RL,--3-----,,26.35,119.91666666666667,
CN,BJS,Beijing,Beijing,BJ,AS,-23456--,,39.916666666666664,116.4,
CN,BJZ,Beijing Railway Station,Beijing Railway Station,BJ,AS,-2------,,,,
CN,PEK,Beijing Shoudu International Apt,Beijing Shoudu International Apt,BJ,AS,---4----,,39.937967,116.417592,true
CN,BJD,Beijingdong Railway Station,Beijingdong Railway Station,BJ,AS,-2------,,,,
CN,BJX,Beijingxi Railway Station,Beijingxi Railway Station,BJ,AS,-2------,,,,
CN,BLU,Beiliu,Beiliu,SX,RL,--3-----,,35.483333333333334,112.55,
CN,BEI,Beilun,Beilun,ZJ,RQ,1-3-----,,29.933333333333334,121.88333333333334,
CN,BLG,Beilun Pt,Beilun Pt,ZJ,AS,1-------,,29.91917,121.83778,true
CN,SXB,Beitan,Beitan,GD,AS,1-------,,21.366666666666667,110.25,
CN,BIY,Beiyao,Beiyao,GD,RL,1-------,,34.6967254,112.4911297,true
CN,BZN,Beizhen,Beizhen,21,RL,-----6--,,41.43333333333333,121.71666666666667,
CN,BBU,Bengbu,Bengbu,AH,AS,-----6--,,32.93333333333333,117.35,
CN,BXS,Benxi,Benxi,LN,AS,-----6--,,41.2921601,123.7593948,true
CN,PHB,Bijia,Bijia,GD,AS,1-------,,22.616666666666667,114.85,
CN,BCA,Binchuan,Binchuan,YN,RL,--3-----,,25.816666666666666,100.56666666666666,
CN,BHX,Binhai,Binhai,JS,AS,1-------,,33.71666666666667,119.61666666666666,
CN,BYN,Binyang,Binyang,FJ,RL,123-----,,27.25,120.33333333333333,
CN,BIN,Binzhou,Binzhou,SD,RL,--3-----,,37.3821206,117.9647262,true
CN,BOA,Boao,Boao,HI,RL,1-------,,19.15993,110.58128,true
CN,BOB,Bobai,Bobai,45,RL,--3-----,,22.266666666666666,109.96666666666667,
CN,DBX,Bohe,Bohe,GD,AS,1-------,,21.516666666666666,111,
CN,BOO,Boluo,Boluo,GD,RL,-23-----,,23.166666666666668,114.26666666666667,
CN,BOS,Bose,Bose,45,RL,--3-----,,23.883333333333333,106.6,
CN,BXI,Boxing,Boxing,37,RL,--3-----,,37.13333333333333,118.08333333333333,
CN,BZG,Bozhong,Bozhong,TJ,AS,1-----7-,,38.45,118.43333333333334,
CN,BOZ,Bozhou,Bozhou,34,RL,--3-----,,33.86666666666667,115.76666666666667,
CN,BHE,Buhe,Buhe,HB,RL,1-------,,30.287567,112.229788,true
CN,BUJ,Buji,Buji,GD,RL,-23-----,,22.6111846,114.1240384,true
CN,BUR,Burang,Burang,XZ,AS,--3-----,,30.2962003,81.1747758,true
CN,BRJ,Burqin,Burqin,XJ,RL,--3-----,,47.71666666666667,86.88333333333334,
CN,CYB,Caiyuanba,Caiyuanba,CQ,RL,--3-----,,,,
CN,CGN,Cangnan,Cangnan,ZJ,RQ,--3-----,,27.5,120.38333333333334,
