country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
CO,AAS,Acac�as,Acacias,MET,RL,-----6--,,3.9833333333333334,-73.75,
CO,ACD,Acandi,Acandi,ANT,RQ,---4----,,8.533333333333333,-77.23333333333333,
CO,ARF,Acaricuara,Acaricuara,VAU,RL,---4----,,0.7,-70.23333333333333,
CO,AGD,Agrado,Agrado,,RQ,--3-----,,2.25,-75.93333333333334,
CO,AGC,Aguachica,Aguachica,CES,RL,--3-----,,8.3,-73.61666666666666,
CO,ACL,Aguaclara,Aguaclara,NAR,RQ,---4----,,1.7166666666666668,-78.78333333333333,
CO,AGU,Aguadas,Aguadas,CAL,RL,--3-----,,5.6,-75.45,
CO,ABL,Aguasblancas,Aguasblancas,CES,RL,--3-----,,10.216666666666667,-73.48333333333333,
CO,AFI,Amalfi,Amalfi,ANT,RL,---4----,,6.916666666666667,-75.06666666666666,
CO,AND,Andalucia,Andalucia,,RQ,--3-----,,5.216666666666667,-74.11666666666666,
CO,ADN,Andes,Andes,ANT,RQ,---4----,,5.65,-75.86666666666666,
CO,AQA,Antioquia,Antioquia,ANT,RQ,-----6--,,6.55,-75.81666666666666,
CO,APO,Apartado,Apartado,,AI,---4----,,7.8849011,-76.6227461,true
CO,LAP,Apartad�,Apartado,ANT,RL,--3-----,,7.883333333333333,-76.63333333333334,
CO,API,Apiay,Apiay,MET,RL,---4----,,4.083333333333333,-73.56666666666666,
CO,ARA,Aracataca,Aracataca,MAG,RL,--3-----,,10.583333333333334,-74.18333333333334,
CO,ACR,Araracuara,Araracuara,MET,RQ,---4----,,4.166666666666667,-72.96666666666667,
CO,AUC,Arauca,Arauca,,AI,---4----,,7.06803755,-70.73450090889622,true
CO,ARQ,Arauquita,Arauquita,ARA,RQ,---4----,,7.016666666666667,-71.43333333333334,
CO,ARO,Arboletas,Arboletas,ANT,RQ,---4----,,8.833333333333334,-76.41666666666667,
CO,ARE,Arenal,Arenal,BOL,RL,--3-----,,8.466666666666667,-73.95,
CO,ACM,Arica,Arica,,RL,1-3-----,,-2.1166666666666667,-71.73333333333333,
CO,ARI,Ariguani,Ariguani,CES,RL,--3-----,,10.25,-74,
CO,ARJ,Arjona,Arjona,CES,RL,--3-----,,9.533333333333333,-73.9,
CO,AXM,Armenia,Armenia,,AI,---4----,,4.536307,-75.6723751,true
CO,AGY,Armero Guayabal,Armero Guayabal,TOL,AM,--3-----,,5.033333333333333,-74.88333333333334,
CO,ASR,Astrea,Astrea,,RQ,--3-----,,9.5,-73.96666666666667,
CO,AYC,Ayacucho,Ayacucho,,RQ,---4----,,8.6021333,-73.6131384,true
CO,AYA,Ayapel,Ayapel,,RQ,--3-----,,8.316666666666666,-75.13333333333334,
CO,BHF,Bah�a Cupica,Bahia Cupica,CHO,RL,---4----,,6.55,-77.33333333333333,
CO,BSC,Bahia Solano,Bahia Solano,CHO,RQ,---4----,,6.233333333333333,-77.41666666666667,
CO,BAL,Balboa,Balboa,CAU,RL,1-------,,2.033333333333333,-77.21666666666667,
CO,BAR,Baranoa,Baranoa,ATL,RL,--3-----,,10.783333333333333,-74.91666666666667,
CO,BAA,Barbosa,Barbosa,ANT,RL,--3-----,,6.433333333333334,-75.31666666666666,
CO,BAC,Barranca de Upia,Barranca de Upia,CAS,RQ,---4----,,4.583333333333333,-72.96666666666667,
CO,EJA,Barrancabermeja,Barrancabermeja,,AI,1--4----,,7.0673313,-73.8525627,true
CO,BRR,Barrancas,Barrancas,LAG,RL,--3-----,,10.95,-72.78333333333333,
CO,NBB,Barrancominas,Barrancominas,GUA,RL,---4----,,3.3333333333333335,-70.33333333333333,
CO,BAQ,Barranquilla,Barranquilla,,AI,1--45---,,10.9938599,-74.7926118,true
CO,BAY,Bayunca,Bayunca,BOL,RL,--3-----,,10.533333333333333,-75.4,
CO,BEC,Becerril,Becerril,CES,RL,--3-----,,9.7,-73.28333333333333,
CO,BLO,Bello,Bello,ANT,RL,--3-----,,6.333333333333333,-75.55,
CO,BER,Berrugas,Berrugas,SUC,RL,--3-----,,9.7,-75.61666666666666,
CO,BET,Betania,Betania,,RQ,--3-----,,5.75,-75.98333333333333,
CO,BCC,Boca Chica,Boca Chica,CAS,RQ,-----6--,,4.85,-72.43333,true
CO,BOG,Bogot�,Bogota,CUN,AI,-2345---,,4.6,-74.08333333333333,
CO,BOS,Bosconia,Bosconia,CES,RL,--3-----,,9.966666666666667,-73.88333333333334,
CO,BGA,Bucaramanga,Bucaramanga,,AI,---4----,,7.1255169,-73.1182624,true
CO,BUE,Buena Vista,Buena Vista,COR,RL,--3-----,,8.216666666666667,-75.48333333333333,
CO,BUN,Buenaventura,Buenaventura,,AI,1--4----,,3.8199327,-76.99059020849998,true
CO,BUG,Buga,Buga,,RQ,--3-----,,2.183333333333333,-77.88333333333334,
