country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
CR,ABG,Abangares,Abangares,G,RL,1----6--,,10.283333333333333,-84.95,
CR,ABA,Abangaritos,Abangaritos,P,RQ,--3-----,,10.116666666666667,-85.01666666666667,
CR,AGU,Aguas Zarcas,Aguas Zarcas,L,RL,--3--6--,,9.9,-83.13333333333334,
CR,AZA,Aguas Zarcas,Aguas Zarcas,A,RL,--3--6--,,10.383333333333333,-84.35,
CR,AJU,Alajuela,Alajuela,A,RL,-23-----,,10.016666666666667,-84.21666666666667,
CR,ALI,Alajuelita,Alajuelita,SJ,RQ,--3-----,,9.9,-84.1,
CR,ATM,Altamira,Altamira,A,RL,--3--6--,,10.466666666666667,-84.35,
CR,AJZ,Aranjuez,Aranjuez,P,RQ,--3-----,,10.066666666666666,-84.78333333333333,
CR,ATE,Atenas,Atenas,A,RQ,--3-----,,9.983333333333333,-84.38333333333334,
CR,BAG,Bagaces,Bagaces,G,RL,--3--6--,,10.533333333333333,-85.25,
CR,BBD,Barbudal,Barbudal,G,RL,--3-----,,10.216666666666667,-85.11666666666666,
CR,BCL,Barra del Colorado,Barra del Colorado,L,RL,---4----,,10.766666666666667,-83.58333333333333,
CR,BAR,Barranca,Barranca,P,RL,-23--6--,,9.983333333333333,-84.71666666666667,
CR,BNC,Barranca,Barranca,A,RL,--3--6--,,10.166666666666666,-84.36666666666666,
CR,BRL,Barrial,Barrial,H,RL,--3--6--,,9.983333333333333,-84.13333333333334,
CR,BAV,Barva,Barva,H,RQ,-----6--,,10.166666666666666,-85.33333333333333,
CR,BAT,Batan,Batan,L,RQ,1-------,,10.0860421,-83.3417503,true
CR,BEB,Bebedero,Bebedero,G,RQ,--3-----,,10.366666666666667,-85.18333333333334,
CR,BLN,Bel�n,Belen,G,RL,--3-----,,10.4,-85.6,
CR,BVT,Bella Vista,Bella Vista,A,RL,--3-----,,10.2,-84.43333333333334,
CR,BIJ,Bijagual,Bijagual,P,RL,--3-----,,9.433333333333334,-84.05,
CR,BAL,Boca Arenal,Boca Arenal,A,RQ,-----6--,,10.533333333333333,-84.48333333333333,
CR,BBA,Boca Barranca,Boca Barranca,P,RL,--3-----,,9.966666666666667,-84.73333333333333,
CR,BRI,Bri Bri,Bri Bri,L,RL,--3-----,,9.633333333333333,-82.83333333333333,
CR,BAI,Buenos Aires,Buenos Aires,,RQ,---4----,,8.866666666666667,-83.5,
CR,BSA,Buenos Aires,Buenos Aires,A,RL,--3-----,,10.666666666666666,-84.85,
CR,BFL,B�ffalo,Buffalo,L,RL,-----6--,,10.016666666666667,-83.16666666666667,
CR,CAB,Cabo Blanco,Cabo Blanco,P,RL,1-3--6--,,9.933333333333334,-85,
CR,CBU,Cabuya Cobano,Cabuya Cobano,P,RL,--3-----,,9.6,-85.1,
CR,CCI,Cach�,Cachi,C,RL,--3-----,,9.833333333333334,-83.8,
CR,CHT,Cahuita,Cahuita,L,RL,--3-----,,9.733333333333333,-82.85,
CR,CAI,Caimital,Caimital,G,RL,1-3--6--,,10.066666666666666,-85.46666666666667,
CR,CAL,Caldera,Caldera,P,RL,123-----,,9.95,-84.71666666666667,
CR,CAE,Calle Blancos,Calle Blancos,SJ,RQ,-----6--,,9.95,-84.06666666666666,
CR,CSC,Canas,Canas,,RQ,---4----,,10.4296202,-85.0932802,true
CR,CAS,Ca�as,Canas,G,RL,--3-----,,10.416666666666666,-85.1,
CR,CJL,Canjel,Canjel,G,RL,--3-----,,9.983333333333333,-85.2,
CR,CNG,Ca�o Negro,Cano Negro,A,RL,--3-----,,10.516666666666667,-84.41666666666667,
CR,CAN,Canoas,Canoas,P,RL,--3-----,,8.533333333333333,-82.83333333333333,
CR,CAP,Capul�n,Capulin,P,RL,--3-----,,9.816666666666666,-84.58333333333333,
CR,CIA,Cariari,Cariari,,RQ,--3--6--,,10.216666666666667,-82,
CR,CBL,Cariblanco,Cariblanco,A,AM,--3-----,,10.266666666666667,-84.18333333333334,
CR,RIK,Carrillo,Carrillo,G,RL,---4----,,9.866666666666667,-85.48333333333333,
CR,CAZ,Carrizal,Carrizal,P,RL,--3-----,,9.983333333333333,-84.73333333333333,
CR,CAR,Cartago,Cartago,C,RL,-23-----,,9.866666666666667,-83.91666666666667,
CR,CJS,Cascajal,Cascajal,A,RL,--3-----,,9.9,-84.63333333333334,
CR,CZR,Cerro Cortez,Cerro Cortez,A,RL,--3-----,,10.333333333333334,-84.36666666666666,
CR,CCC,Cervantes,Cervantes,C,RL,-----6--,,9.883333333333333,-83.8,
CR,CHA,Chachagua,Chachagua,A,RL,--3-----,,10.4,-84.61666666666666,
