country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
CU,ANT,Antilla,Antilla,,RL,-23-----,,20.833333333333332,-75.85,
CU,BHO,Bah�a Honda,Bahia Honda,,RL,1-------,,22.9,-83.16666666666667,
CU,BAN,Banes,Banes,,RL,123-----,,20.966666666666665,-75.71666666666667,
CU,BCA,Baracoa,Baracoa,,AI,1--4----,,20.3661953,-74.50679209705146,true
CU,BYM,Bayamo,Bayamo,,AI,---4----,,20.3963873,-76.62034717454168,true
CU,BOG,Boca Grande,Boca Grande,,RL,1-------,,21.583333333333332,-78.66666666666667,
CU,BOQ,Boqueron,Boqueron,,RL,-23-----,,22.166666666666668,-79.01666666666667,
CU,BUF,Bufadero,Bufadero,,RL,123-----,,21.566666666666666,-77.23333333333333,
CU,CAB,Caba�as,Cabanas,,RL,1-------,,22.983333333333334,-82.91666666666667,
CU,CAI,Caibari�n,Caibarien,,RL,1-------,,22.516666666666666,-79.46666666666667,
CU,CMW,Camag�ey,Camaguey,,AI,1--4----,,21.383333333333333,-77.91666666666667,
CU,CAR,C�rdenas,Cardenas,,RL,123-----,,23.033333333333335,-81.2,
CU,CAS,Casilda,Casilda,,RL,1-3-----,,21.766666666666666,-80,
CU,CCC,Cayo Coco,Cayo Coco,,RL,---4----,,22.5,-78.5,
CU,CYO,Cayo Largo del Sur,Cayo Largo del Sur,,RQ,---4----,,21.616666666666667,-81.55,
CU,CEI,Ceiba Hueca,Ceiba Hueca,,RL,1-3-----,,20.216666666666665,-77.33333333333333,
CU,CFG,Cienfuegos,Cienfuegos,,AI,1--4----,,22.149137449999998,-80.41445054713684,true
CU,QCO,Colon,Colon,,RL,1-34----,,22.71091,-80.9215887,true
CU,GIB,Gibara,Gibara,,RL,123--6--,,21.1,-76.13333333333334,
CU,GUB,Guantanamo Bay,Guantanamo Bay,,RQ,1-3-----,,20.1431797,-75.2034783,true
CU,NBW,Guantanamo Nas Apt,Guantanamo Nas Apt,,AI,---4----,,20.14444,-75.20917,true
CU,GYB,Guayabal,Guayabal,,AI,1-------,,22.9252721,-82.6184618,true
CU,HOG,Holguin,Holguin,,AI,---4----,,20.7878278,-76.32076563085234,true
CU,IDS,Isabela de Sagua,Isabela de Sagua,,RQ,1-------,,22.9408332,-80.0107908,true
