country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
CV,ASS,Assomada,Assomada,CA,RL,--3-----,,15.1,-23.683333333333334,
CV,BVC,Boa Vista,Boa Vista,,RQ,---4----,,2.8333333333333335,-60.68333333333333,
CV,BVR,Brava,Brava,,RL,---4----,,-31.666666666666668,-56.583333333333336,
CV,SID,Ilha do Sal,Ilha do Sal,SL,AI,---4----,,16.75,-22.916666666666668,
CV,MMO,Maio,Maio,,AI,---4----,,15.22721825,-23.156301397162373,true
CV,MIN,Mindelo,Mindelo,SV,RL,1-3-----,,16.883333333333333,-25,
CV,MTI,Mosteiros,Mosteiros,,AI,---4----,,15.0347257,-24.3277421,true
CV,PAL,Palmeira,Palmeira,,RQ,0-------,,16.7584756,-22.9811102,true
CV,PLM,Pedra de Lume,Pedra de Lume,,RQ,0-------,,16.7630679,-22.8928716,true
CV,GRA,Porto Grande,Porto Grande,SV,RL,1-------,,16.866666666666667,-25,
CV,POI,Porto Inglez,Porto Inglez,MA,RL,--3-----,,15.133333333333333,-23.216666666666665,
CV,PON,Porto Novo,Porto Novo,,RQ,0-------,,17.0193423,-25.0641922,true
CV,POP,Porto Preguica,Porto Preguica,,RQ,0-------,,15.03333,-24.33333,true
CV,RAI,Praia,Praia,,AI,1--4----,,14.9412846,-23.48478206133027,true
CV,SAR,Sal Rei,Sal Rei,,RQ,0-------,,16.1759748,-22.9169771,true
CV,SAM,Santa Maria,Santa Maria,,RQ,0-------,,16.5986926,-22.9050314,true
CV,4SM,Santiago,Santiago,MA,RL,--3-----,,15.133333333333333,-23.533333333333335,
CV,NTO,Santo Antao,Santo Antao,,RQ,---4----,,,,
CV,SFL,Sao Filipe,Sao Filipe,SF,AI,---4----,,14.9,-24.516666666666666,
CV,SNE,Sao Nicolau,Sao Nicolau,,AI,---4----,,,,
CV,VXE,Sao Vicente,Sao Vicente,,AI,1--45---,,16.8345053,-25.055170870134756,true
CV,TAR,Tarrafal,Tarrafal,,RQ,0-------,,15.2784159,-23.752294,true
