country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon
CW,BUB,Bullenbaai,Bullenbaai,,RL,1-------,,12.166666666666666,-69
CW,CRB,Caracas Baai,Caracas Baai,,AI,1-------,,12.066666666666666,-68.85
CW,CUR,Cura�ao,Curacao,,AI,1--45---,,12.166666666666666,-69
CW,DGT,Dominguito,Dominguito,,RL,-----6--,,12.1,-68.9
CW,EMM,Emmastad,Emmastad,,RL,--3-----,,12.133333333333333,-68.91666666666667
CW,FUI,Fuikbaai,Fuikbaai,,AI,1-------,,12.05,-68.81666666666666
CW,GBG,Grote Berg,Grote Berg,,RL,-----6--,,12.183333333333334,-68.98333333333333
CW,OTB,Otrobanda,Otrobanda,,RL,--3-----,,12.133333333333333,-68.95
CW,PUN,Punda,Punda,,RL,--3-----,,12.1,-68.91666666666667
CW,STR,Santa Rosa,Santa Rosa,,RL,--3-----,,12.116666666666667,-68.88333333333334
CW,SMB,Sint Michielsbaai,Sint Michielsbaai,,RL,1-------,,12.15,-68.98333333333333
CW,SFF,Suffisant Dorp,Suffisant Dorp,,RL,-----6--,,12.15,-68.91666666666667
CW,WIL,Willemstad,Willemstad,,AI,1-------,,12.1,-68.91666666666667
CW,ZEE,Zeelandia,Zeelandia,,RL,-----6--,,12.116666666666667,-68.9
