country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon
CY,AKT,Akrotiri,Akrotiri,02,AA,1--4----,,34.6,32.95
CY,ANM,Ayia Napa,Ayia Napa,04,AA,1-3-----,,34.983333333333334,34
CY,DHK,Dhekelia,Dhekelia,03,AA,1-3-----,,34.983333333333334,33.75
CY,EPK,Episkopi,Episkopi,02,AA,---4----,,34.666666666666664,32.9
CY,FMG,Famagusta,Famagusta,04,AA,1-3-----,,35.1,33.95
CY,KAR,Karavostasi,Karavostasi,01,AA,1-------,,35.13333333333333,32.833333333333336
CY,KYR,Kyrenia,Kyrenia,06,AA,1-------,,35.333333333333336,33.333333333333336
CY,LCA,Larnaca,Larnaca,03,AA,1--45---,,34.916666666666664,33.61666666666667
CY,LAT,Latchi,Latchi,05,AA,1-3-----,,35.03333333333333,32.4
CY,LMS,Limassol,Limassol,02,AA,1-3-5---,,34.68333333333333,33.05
CY,MOI,Moni,Moni,02,AA,1-3-----,,34.733333333333334,33.2
CY,NIC,Nicosia,Nicosia,01,AA,1---5---,,35.166666666666664,33.36666666666667
CY,PFO,Paphos,Paphos,05,AA,1--4----,,34.766666666666666,32.416666666666664
CY,VAS,Vasilikos,Vasilikos,03,AA,1-------,,34.71666666666667,33.31666666666667
CY,ZYY,Zyyi,Zyyi,03,AA,1-------,,34.733333333333334,33.333333333333336
