country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
DK,AAF,Aalbaek,Aalbaek,81,RL,-----6--,,57.583333333333336,10.4,
DK,AAL,Aalborg,Aalborg,,AF,12345---,,57.094452950000004,9.85549096981994,true
DK,ROR,Aalborg Portland Cementfabrikk,Aalborg Portland Cementfabrikk,,RQ,1-------,,57.034773,9.902536,true
DK,AEY,Aalestrup,Aalestrup,,AF,-23-----,,56.6952989,9.4930029,true
DK,AAR,Aarhus,Aarhus,82,AF,12345---,,56.15,10.216666666666667,
DK,AAE,Aarre,Aarre,83,RL,-----6--,,55.56666666666667,8.666666666666666,
DK,AZS,Aars,Aars,,AF,--3-----,,56.8033777,9.5168986,true
DK,AAP,Aarup,Aarup,,AF,-23-----,,55.3763248,10.0510648,true
DK,AAB,�benr�,Abenra,83,AF,1-3-----,XNR,55.03333333333333,9.433333333333334,
DK,AYB,�bybro,Abybro,,RL,--3-----,,57.15,9.75,
DK,KK4,�bybro,Abybro,81,RL,1-3-----,,57.15,9.75,
DK,AHJ,�byh�j/�rhus,Abyhoj/Arhus,,RL,-23-----,,56.13333333333333,10.166666666666666,
DK,ARK,�r�sk�bing,Aroskobing,,RQ,1-------,,,,
DK,AED,Agedrup,Agedrup,83,RL,--3-----,,55.416666666666664,10.5,
DK,AGD,Agerb�k,Agerbak,83,RL,--3-----,,55.6,8.8,
DK,AGR,Agerskov,Agerskov,82,RL,--3-----,,56.416666666666664,9.316666666666666,
DK,AGO,Agers�,Agerso,,AI,1-------,,55.2174327,11.184306651304228,true
DK,AGH,Agger Havn,Agger Havn,,AF,1-3-----,,56.77656375,8.255179170345752,true
DK,ASH,Aggersund,Aggersund,,RQ,1-------,,57.0043224,9.2799491,true
DK,AK3,�kirkeby,Akirkeby,84,RL,1-3-----,,55.06666666666667,14.933333333333334,
DK,ABT,Albertslund,Albertslund,,RQ,0-------,,55.6586018,12.3562849,true
DK,ABK,�leb�k,Alebak,81,RL,--3-----,,57.016666666666666,10.266666666666667,
DK,ALL,Allerod,Allerod,84,RL,--3-----,,55.86666666666667,12.383333333333333,
DK,ALV,Allerslev,Allerslev,85,RL,--3-----,,55.083333333333336,12.05,
DK,ASP,Allestrup,Allestrup,,RL,--3-----,,56.45,10.4,
DK,ALN,Alling�bro,Allingabro,,RQ,--3-----,,56.4643421,10.336854,true
DK,AGE,Allinge,Allinge,,RL,1-3-----,,55.266666666666666,14.8,
DK,ALM,Almind,Almind,82,RL,--3-----,,56.36666666666667,9.4,
DK,ALS,�lsg�rde,Alsgarde,84,RL,-23-----,,56.083333333333336,12.55,
DK,ANH,Anholt,Anholt,,AI,1-------,,56.71282975,11.562026006688171,true
DK,ANB,Ans by,Ans by,,RQ,--3-----,,54.67854,11.95546,true
DK,ANS,Ansager,Ansager,,RQ,--3-----,,55.7049419,8.7526017,true
DK,ADN,Arden,Arden,,RL,--3-----,,56.7678869,9.8568821,true
