country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
DO,AZU,Azua,Azua,02,RL,1-3--6--,,18.45,-70.73333333333333,
DO,BAN,Ban�,Bani,,RL,1-3-----,,18.283333333333335,-70.33333333333333,
DO,BRX,Barahona,Barahona,,AI,1--4----,,18.2101889,-71.1012325,true
DO,BQL,Barcequillo,Barcequillo,21,RL,1-------,,18.433333333333334,-70.03333333333333,
DO,BAV,Bavaro,Bavaro,18,RL,1-------,,-18.716666666666665,-68.45,
DO,BCC,Boca Chica,Boca Chica,,AI,1-------,,18.45369,-69.6111219,true
DO,BNO,Bonao,Bonao,28,RL,-----6--,,18.933333333333334,-70.4,
DO,CBJ,Cabo Rojo,Cabo Rojo,,AI,1--4----,,17.928795700000002,-71.64183982629034,true
DO,CDC,Casa de Campo,Casa de Campo,12,RL,1-------,,18.4,-68.9,
DO,CAI,Catalina Island,Catalina Island,12,RL,1-------,,18.366666666666667,-69,
DO,CAU,Caucedo,Caucedo,01,RL,1-3--6--,,18.416666666666668,-69.63333333333334,
DO,CAL,Cayo Levantado,Cayo Levantado,20,RL,1-------,,19.2,-69.31666666666666,
DO,LVC,Constanza,Constanza,13,RL,-----6--,,18.916666666666668,-70.75,
DO,CTI,Cotu�,Cotui,24,RL,--3-----,,19.05,-70.15,
DO,DAJ,Dajab�n,Dajabon,,RL,--3-----,,19.55,-71.7,
DO,EPS,El Portillo/Samana,El Portillo/Samana,20,RL,---4----,,19.333333333333332,-69.5,
DO,EPI,Ensanche Piantini,Ensanche Piantini,32,RL,--3-----,,18.466666666666665,-69.95,
DO,ESP,Esperanza,Esperanza,,RQ,------7-,,18.566666666666666,-71.51666666666667,
DO,GAZ,Gaspar Hernandez,Gaspar Hernandez,09,RL,--3-----,,-19.616666666666667,-70.28333333333333,
DO,GYB,Guayub�n,Guayubin,15,RL,-2------,,-19.616666666666667,-71.31666666666666,
DO,GRA,Guerra,Guerra,01,RL,-----6--,,18.55,-69.7,
DO,GRB,Gurabo,Gurabo,25,RL,--3-----,,-19.333333333333332,-70.78333333333333,
DO,INA,Haina,Haina,,RL,1-------,,18.416666666666668,-69.98333333333333,
DO,SDD,Hainamosa,Hainamosa,32,RL,-----6--,,18.516666666666666,-69.83333333333333,
DO,HDY,Hato del Yaque,Hato del Yaque,,RQ,-----6--,,19.466666666666665,-70.76666666666667,
DO,HMR,Hato Mayor del Rey,Hato Mayor del Rey,30,AM,--3-----,,-18.766666666666666,-69.25,
DO,HAN,Hato Nuevo,Hato Nuevo,29,RL,--3-----,,18.783333333333335,-69.71666666666667,
DO,JQB,Higuero,Higuero,01,RL,---4----,,18.566666666666666,-69.98333333333333,
DO,HIG,Hig�ey,Higuey,21,RL,1-------,,18.45,-70.26666666666667,
DO,JBC,Jarabacoa,Jarabacoa,13,RL,-----6--,,19.116666666666667,-70.63333333333334,
DO,JIM,Jiman�,Jimani,,RL,--3-----,,18.483333333333334,-71.85,
DO,JDL,Juan Dolio,Juan Dolio,,RL,-----6--,,18.416666666666668,-69.41666666666667,
DO,LRM,La Romana,La Romana,,AI,1-------,,18.4272786,-68.9734597,true
DO,LAV,La Vega,La Vega,,RL,------7-,,19.216666666666665,-70.51666666666667,
DO,LCS,Las Calderas,Las Calderas,17,RL,-----6--,,18.216666666666665,-70.5,
DO,SLT,Las Terrenas,Las Terrenas,20,RL,--3-----,,19.316666666666666,-69.53333333333333,
DO,LCY,Licey,Licey,25,RQ,-----6--,,19.45,-70.63333333333334,
DO,LAL,Los Alcarrizos,Los Alcarrizos,,RL,------7-,,18.516666666666666,-70.16666666666667,
DO,LGY,Los Guayabos,Los Guayabos,17,RL,--3-----,,18.6,-70.51666666666667,
DO,LPD,Los Prados,Los Prados,32,RL,--3-----,,18.466666666666665,-69.95,
DO,LUP,Luperon,Luperon,18,RL,-----6--,,19.9,-70.95,
DO,MAN,Manzanillo,Manzanillo,,RL,123-----,,19.7,-71.75,
DO,MAO,Mao,Mao,27,RL,-----6--,,19.566666666666666,-71.83333333333333,
DO,MTZ,Matanza,Matanza,25,RL,--3-----,,19.4,-70.66666666666667,
DO,MCA,Moca,Moca,,RQ,-----6--,,19.383333333333333,-70.51666666666667,
DO,MPT,Monte Plata,Monte Plata,29,RL,--3-----,,18.8,-69.78333333333333,
DO,NAG,Nagua,Nagua,,RQ,-----6--,,19.383333333333333,-69.83333333333333,
DO,NEI,Neiba,Neiba,03,RL,-23-----,,18.483333333333334,-71.41666666666667,
DO,NGA,Nigua,Nigua,,RQ,-----6--,,18.366666666666667,-70.05,
DO,OCO,Ocoa Bay,Ocoa Bay,,RL,1-------,,18.616666666666667,-71.08333333333333,
DO,PLB,Palabe,Palabe,01,RL,--3-----,,18.483333333333334,-70.06666666666666,
DO,PDR,Pedernales,Pedernales,,AI,1-------,,18.090791799999998,-71.55952470731373,true
DO,PDB,Pedro Brand,Pedro Brand,01,RL,-----6--,,18.533333333333335,-70.1,
DO,PIA,Piedra Blanca,Piedra Blanca,28,RL,--3-----,,-18.833333333333332,-70.3,
DO,PIL,Piloto,Piloto,15,RQ,-----6--,,19.6,-71.2,
DO,PIM,Pimentel,Pimentel,,RL,-23--6--,,19.183333333333334,-70.1,
DO,PUD,Puerto Duarte,Puerto Duarte,,RQ,0-------,,19.79344,-70.6884,true
DO,PUO,Puerto Libertador,Puerto Libertador,,QQ,1-------,,19.79344,-70.6884,true
DO,PAL,Puerto Palenque,Puerto Palenque,,RL,1-3-----,,18.233333333333334,-70.15,
DO,POP,Puerto Plata,Puerto Plata,,AI,1-------,,19.7891616,-70.6926181,true
DO,PVA,Puerto Viejo de Azua,Puerto Viejo de Azua,,RL,1-------,,18.333333333333332,-70.83333333333333,
DO,PCN,Punta Cana,Punta Cana,22,RL,--3-----,,18.8,-71.56666666666666,
DO,PUJ,Punta Cana Apt,Punta Cana Apt,,RL,--34----,,18.566666666666666,-68.35,
DO,HAI,Rio Haina,Rio Haina,,QQ,1-------,,18.7029782,-70.2046644,true
DO,SNX,Sabana de la Mar,Sabana de la Mar,,AI,1--4----,,19.066666666666666,-69.38333333333334,
DO,SAL,Salcedo,Salcedo,,RQ,--3-----,,19.416666666666668,-70.38333333333334,
DO,AZS,Samana International Apt,Samana International Apt,20,RL,---4----,,19.266666666666666,-69.73333333333333,
DO,SCL,San Carlos,San Carlos,,RL,-----6--,,18.483333333333334,-69.9,
DO,SCR,San Cristobal,San Cristobal,,RQ,--3-----,,18.4174531,-70.1103346,true
DO,SFP,San Felipe,San Felipe,01,RL,--3-----,,18.583333333333332,-69.91666666666667,
DO,MCR,San Fernando de Monte Cristi,San Fernando de Monte Cristi,,RL,--3-----,,19.85,-71.65,
DO,SFN,San Francisco de Macor�s,San Francisco de Macoris,,RL,1-------,,19.3,-70.25,
DO,SIS,San Ignacio Sabaneta,San Ignacio Sabaneta,,RQ,--3-----,,19.466666666666665,-71.33333333333333,
DO,SIO,San Isidro,San Isidro,01,RL,-----6--,,18.533333333333335,-69.76666666666667,
DO,SJO,San Jos� de Ocoa,San Jose de Ocoa,17,RL,--3-----,,18.55,-70.5,
DO,SJM,San Juan de la Maguana,San Juan de la Maguana,,RL,--3-----,,18.8,-71.21666666666667,
DO,SPM,San Pedro de Macor�s,San Pedro de Macoris,,AI,1-------,,18.45,-69.3,
DO,SNZ,S�nchez,Sanchez,,RL,123-----,,19.233333333333334,-69.61666666666666,
DO,SAM,Santa B�rbara de Saman�,Santa Barbara de Samana,,RL,--3-----,,19.2,-69.31666666666666,
DO,STI,Santiago de los Caballeros,Santiago de los Caballeros,,RL,1-3-----,,19.4503932,-70.6909047,true
DO,SDQ,Santo Domingo,Santo Domingo,01,AI,1-345---,,18.466666666666665,-69.9,
DO,SSU,Sos�a,Sosua,18,RL,--3-----,,19.75,-70.51666666666667,
DO,TDR,Tamboril,Tamboril,25,RL,--3-----,,19.483333333333334,-70.6,
DO,VAL,Villa Altagracia,Villa Altagracia,21,RL,1-3-----,,18.666666666666668,-70.16666666666667,
DO,VGZ,Villa Gonzalez,Villa Gonzalez,25,RQ,-----6--,,19.533333333333335,-70.78333333333333,
DO,VML,Villa Mella,Villa Mella,01,RL,-----6--,,18.55,-69.9,
DO,VVA,Villa V�squez,Villa Vasquez,15,RL,--3-----,,19.75,-71.45,
