country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
DZ,AZR,Adrar,Adrar,01,RQ,---4----,,27.866666666666667,-0.2833333333333333,
DZ,QBP,Ain Beida,Ain Beida,04,RL,--3-----,,31.933333333333334,6.583333333333333,
DZ,A8L,Ain Benian,Ain Benian,42,RL,--3-----,,36.8,2.9166666666666665,
DZ,AIN,'A�n Benian,'Ain Benian,42,RL,-----6--,,36.8,2.9166666666666665,
DZ,ADA,A�n Defla,Ain Defla,44,RL,--3-----,,36.266666666666666,1.9666666666666668,
DZ,BUJ,Ain Eddis Apt/Bou Saada,Ain Eddis Apt/Bou Saada,28,RL,---4----,,35.31666666666667,4.35,
DZ,QEH,'Ain El Hadjar,'Ain El Hadjar,,RL,--3-----,,34.766666666666666,1.5,
DZ,QIM,Ain M'Lila,Ain M'Lila,04,RL,--3-----,,36.03333333333333,6.566666666666666,
DZ,ATY,Ain Taya,Ain Taya,16,RQ,-----6--,,36.78333333333333,3.283333333333333,
DZ,TCT,Ain Temouchent,Ain Temouchent,,RL,--3-----,,35.28333333333333,-1.1333333333333333,
DZ,ATT,Ain Touta,Ain Touta,05,RL,--3-----,,35.36666666666667,5.883333333333333,
DZ,AZO,A�n Zaouia,Ain Zaouia,15,RL,--3-----,,36.53333333333333,3.8833333333333333,
DZ,ALG,Alger (Algiers),Alger (Algiers),16,AI,123456--,,36.75,3.05,
DZ,AAE,Annaba (ex Bone),Annaba (ex Bone),,AI,1--4----,,36.9,7.76667,true
DZ,AZW,Arzew,Arzew,,RL,123-----,,35.86666666666667,-0.31666666666666665,
DZ,ZZA,Azazga,Azazga,15,RL,--3-----,,36.75,4.366666666666666,
DZ,EZZ,Bab Ezzouar,Bab Ezzouar,16,RL,--3-----,,36.71666666666667,3.183333333333333,
DZ,BRK,Baraki,Baraki,42,RL,--3-----,,36.666666666666664,3.0833333333333335,
DZ,ZZB,Barika,Barika,05,RL,--3-----,,35.38333333333333,5.383333333333334,
DZ,BLJ,Batna,Batna,05,RQ,---4----,,35.55,6.166666666666667,
DZ,CBH,Bechar,Bechar,08,RQ,---4----,,31.616666666666667,-2.216666666666667,
DZ,BJA,Bejaia (ex Bougie),Bejaia (ex Bougie),,AI,1--4----,,36.712929450000004,5.073722154534753,true
DZ,BMR,Beni Mered,Beni Mered,,RL,-----6--,,36.516666666666666,2.85,
DZ,BSF,Benisaf,Benisaf,,RL,1-------,,35.28333333333333,-1.3833333333333333,
DZ,ZBI,Berriane,Berriane,,RL,---4----,,32.833333333333336,3.7666666666666666,
DZ,BHA,Bethioua,Bethioua,31,RL,1-------,,35.8,-0.26666666666666666,
DZ,BTA,Bethoula,Bethoula,,AI,1-------,,,,
DZ,QBT,Bettioua,Bettioua,31,RL,--3-----,,35.8,-0.25,
DZ,D2H,Bir Mourad Rais,Bir Mourad Rais,16,RL,--3-----,,36.733333333333334,3.033333333333333,
DZ,BIM,Bir Mourad Ra�s,Bir Mourad Rais,42,RL,--3-----,,36.733333333333334,3.033333333333333,
DZ,G2H,Birkhadem,Birkhadem,16,RL,--3-----,,36.71666666666667,3.05,
DZ,BIR,Birtouta,Birtouta,42,RL,--3-----,,36.65,3,
DZ,BSK,Biskra,Biskra,,RQ,---4----,,34.85,5.733333333333333,
DZ,BLD,Blida,Blida,09,RL,-----6--,,36.46666666666667,2.8166666666666664,
DZ,BMW,Bordj Badj Mokthar,Bordj Badj Mokthar,,RQ,---4----,,,,
DZ,BOR,Bordj Bou Arreridj,Bordj Bou Arreridj,34,RL,-23--6--,,36.06666666666667,4.766666666666667,
DZ,BEK,Bordj El Kiffan,Bordj El Kiffan,16,RL,--3-----,,36.733333333333334,3.183333333333333,
DZ,BOM,Bordj Mena�el,Bordj Menaiel,,RL,-23-----,,36.733333333333334,3.7,
DZ,ZAB,Bou Kadir,Bou Kadir,02,RL,--3-----,,36.06666666666667,1.1166666666666667,
DZ,QFD,Boufarik,Boufarik,09,RL,--3-----,,36.55,2.8666666666666667,
DZ,BNN,Bouinan,Bouinan,09,RL,--3-----,,36.516666666666666,2.9833333333333334,
DZ,BIU,Bouinane,Bouinane,09,RQ,1-3-----,,,,
DZ,QBZ,Bouira,Bouira,,RL,--3-----,,36.38333333333333,3.9,
DZ,BOU,Boumerdas,Boumerdas,35,RL,--3-----,,36.766666666666666,3.466666666666667,
DZ,CAN,Canastel,Canastel,31,RL,--3-----,,35.75,-0.55,
DZ,CEA,Cheghoum-el-Aid,Cheghoum-el-Aid,43,RL,--3-----,,36.15,6.15,
DZ,F4U,Cheraga,Cheraga,16,RL,--3-----,,36.766666666666666,2.95,
DZ,CHE,Cherchell,Cherchell,,RL,1-3-----,,36.6,2.2,
DZ,CTN,Chetouane,Chetouane,13,RL,--3-----,,34.916666666666664,-1.2833333333333332,
DZ,CHF,Chiffa,Chiffa,09,RL,-----6--,,36.45,2.7333333333333334,
DZ,CLF,Chlef,Chlef,02,RL,--3--6--,,36.15,1.3333333333333333,
DZ,COL,Collo,Collo,,RL,1-3-----,,37.016666666666666,6.55,
DZ,CZL,Constantine,Constantine,,AI,---4----,,36.2750469,6.622427769599055,true
DZ,DEB,Dar el Be�da,Dar el Beida,16,RL,--3-----,,36.7,3.2,
DZ,DEL,Dellys,Dellys,,RL,1-3-----,,36.916666666666664,3.8833333333333333,
DZ,DJG,Djanet,Djanet,33,RQ,---4----,,24.55,9.466666666666667,
DZ,QDJ,Djelfa,Djelfa,17,RL,--3-----,,34.666666666666664,3.25,
DZ,DJE,Djen-Djen,Djen-Djen,,AI,1-------,,36.8239022,5.890793590678418,true
DZ,DEM,Draa el Mizan,Draa el Mizan,,RL,--3-----,,36.53333333333333,3.8166666666666664,
DZ,DRA,Draria,Draria,42,RL,--3-----,,36.733333333333334,3,
DZ,QAS,Ech Cheliff,Ech Cheliff,,RL,--3-----,,36.21666666666667,1.3333333333333333,
DZ,EBH,El Bayadh,El Bayadh,32,RL,---4----,,33.68333333333333,1,
DZ,ZAE,El Eulma,El Eulma,19,RL,--3-----,,36.15,5.683333333333334,
DZ,ELG,El Golea,El Golea,,RQ,---4----,,30.58652465,2.864439937733728,true
DZ,ELH,El Hamiz,El Hamiz,16,RL,-----6--,,36.733333333333334,3.2333333333333334,
DZ,QLK,El Kala,El Kala,36,RL,--3-----,,36.75,8.433333333333334,
DZ,ORX,El Kerma,El Kerma,31,RL,--3-----,,35.6,-0.5666666666666667,
DZ,EMD,El Madania,El Madania,16,RL,--3-----,,36.75,3.066666666666667,
DZ,EMR,El Merdja,El Merdja,34,RL,-----6--,,36,4.366666666666666,
DZ,ELM,El Milia,El Milia,25,RL,--3-----,,36.36666666666667,6.583333333333333,
DZ,EMU,El Mouradia,El Mouradia,16,RL,-----6--,,36.75,3.05,
DZ,ELU,El Qued,El Qued,39,RQ,---4----,,33.31666666666667,6.866666666666667,
DZ,SEN,Es Senia,Es Senia,31,RL,-----6--,,35.65,-0.6333333333333333,
