country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
EC,ATF,Ambato,Ambato,,RL,--34----,,-1.2422413,-78.6287594,true
EC,ARE,Arenillas,Arenillas,O,RL,--3-----,,-3.55,-80.06666666666666,
EC,ATI,Atuntaqui,Atuntaqui,I,RL,--3-----,,0.3333333333333333,-78.21666666666667,
EC,BBA,Baba,Baba,R,RL,--3-----,,-1.7833333333333332,-79.66666666666667,
EC,BYO,Babahoyo,Babahoyo,R,RQ,--3-----,,-1.8009022,-79.5338214,true
EC,BHA,Bah�a de Car�quez,Bahia de Caraquez,M,AI,1--4----,,-0.55,-80.5,
EC,EBL,Balao,Balao,,AI,1-------,,-2.9110735,-79.8165679,true
EC,BAL,Balzar,Balzar,G,RL,--3-----,,-1.3666666666666667,-79.9,
EC,BAS,Banos,Banos,T,RL,--3-----,,-1.4,-78.41666666666667,
EC,BLI,Bartolome Island,Bartolome Island,W,RQ,1-------,,-0.2833333333333333,-90.55,
EC,EQB,Bucay,Bucay,G,RL,-----6--,,-2.6833333333333336,-79.66666666666667,
EC,BUF,Buena Fe,Buena Fe,R,RL,--3-----,,-0.9,-79.48333333333333,
EC,CAT,Caleta Tagus,Caleta Tagus,W,RL,1-------,,-0.25,-91.36666666666666,
EC,CNT,Canuto,Canuto,M,RL,--3-----,,-0.8,-80.11666666666666,
EC,CTM,Catarama,Catarama,R,RL,--3-----,,-1.5833333333333335,-79.46666666666667,
EC,CAY,Cayambe,Cayambe,P,RL,--3-----,,0.5,-78.13333333333334,
EC,CRT,Cerecita,Cerecita,G,RL,--3-----,,-2.35,-80.28333333333333,
EC,CHM,Chambo,Chambo,H,RL,-----6--,,1.7333333333333334,-78.58333333333333,
EC,CHA,Chanduy,Chanduy,G,RL,--3-----,,-2.4166666666666665,-80.66666666666667,
EC,EQC,Chone,Chone,M,RL,-----6--,,-0.6833333333333333,-80.1,
EC,CHG,Chong�n,Chongon,G,RL,--3--6--,,-2.2333333333333334,-80.06666666666666,
EC,CLE,Clementina,Clementina,R,AM,--3-----,,-1.7833333333333332,-79.46666666666667,
EC,OCC,Coca,Coca,N,RQ,1-34-6--,,-0.48333333333333334,-76.96666666666667,
EC,CMM,Coronel Marcelino Mariduena,Coronel Marcelino Mariduena,G,RL,--3-----,,-2.2,-79.41666666666667,
EC,CTI,Cotacachi,Cotacachi,I,RL,-----6--,,0.3,-78.26666666666667,
EC,CUE,Cuenca,Cuenca,A,AI,--34----,,-2.8833333333333333,-78.98333333333333,
EC,CHI,Cumand�,Cumanda,H,RL,--3-----,,-2.2,-79.13333333333334,
EC,CUA,Cumbaya,Cumbaya,P,RL,--3-----,,-0.2,-78.43333333333334,
