country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
EE,AAR,Aaravete,Aaravete,52,RL,--3-----,,59.13333333333333,25.75,
EE,AEB,Aasm�e,Aasmae,37,RL,-----6--,,59.233333333333334,24.5,
EE,AAV,Aaviku,Aaviku,37,RL,--3-----,,59.3354971,24.900587343150676,true
EE,ABJ,Abaja Sadam,Abaja Sadam,74,AA,1-------,,58.36666666666667,22.016666666666666,
EE,APL,Abja-Paluoja,Abja-Paluoja,84,RL,--3-----,,58.11666666666667,25.383333333333333,
EE,ABR,Abruka,Abruka,74,AA,1-------,,58.166666666666664,22.533333333333335,
EE,ADV,Admirali V�ikesadam,Admirali Vaikesadam,68,AA,1-------,,58.53333333333333,23.683333333333334,
EE,AEN,Aegna,Aegna,37,AA,1-------,,59.56666666666667,24.75,
EE,AHJ,Ahja,Ahja,64,RL,--3-----,,58.2,27.066666666666666,
EE,AHO,Ahoi J�esadam,Ahoi Joesadam,74,AA,1-------,,58.21666666666667,22.366666666666667,
EE,ALJ,Alaj�e,Alajoe,45,AA,0-------,,59.016666666666666,27.433333333333334,
EE,AKS,Alaj�e Kalasadam,Alajoe Kalasadam,45,AA,1-------,,59,27.433333333333334,
EE,AEC,Alatskivi,Alatskivi,79,RL,-----6--,,58.583333333333336,27.133333333333333,
EE,ALU,Alliku,Alliku,37,AA,-23-----,,59.35,24.55,
EE,AMB,Ambla,Ambla,52,RL,--3-----,,59.18333333333333,25.833333333333332,
EE,ANT,Antsla,Antsla,87,RL,--3-----,,57.833333333333336,26.516666666666666,
EE,ARD,Ardu,Ardu,37,RL,--3-----,,59.1,25.366666666666667,
EE,ARK,Arkna,Arkna,45,RL,--3-----,,59.56666666666667,26.366666666666667,
EE,ARU,Aruk�la,Arukula,37,RQ,--3-----,,59.18333333333333,24.466666666666665,
EE,ASE,Aseri,Aseri,45,RL,1-3-----,,59.45,26.866666666666667,
EE,ASV,Aseri V�ikesadam,Aseri Vaikesadam,60,AA,1-------,,59.45,26.866666666666667,
EE,ATL,Atla,Atla,74,AA,1-------,,58.3,21.9,
EE,AUD,Audru,Audru,68,RL,--3-----,,58.4,24.366666666666667,
EE,BEK,Bekkeri,Bekkeri,37,AA,1------B,,59.45,24.65,
EE,DIR,Dirhami,Dirhami,56,AA,1------B,,59.21666666666667,23.5,
EE,DOB,Doberani,Doberani,68,AA,0-------,,58.38333333333333,24.366666666666667,
EE,EBA,Ebavere,Ebavere,59,RQ,--3-----,,59.11666666666667,26.233333333333334,
EE,EIS,Eisma,Eisma,60,RL,1-------,,59.56666666666667,26.3,
EE,ELV,Elva,Elva,79,RL,--3-----,,58.233333333333334,26.416666666666668,
EE,ERV,Ervu,Ervu,79,RL,-----6--,,58.217450549999995,26.23084454277188,true
EE,HNE,Haabneeme,Haabneeme,37,RL,--3-----,,59.516666666666666,24.8,
EE,HAA,Haapsalu,Haapsalu,56,RL,123-----,,58.93333333333333,23.533333333333335,
EE,HVV,Haapsalu Veskiviigi,Haapsalu Veskiviigi,56,AA,1-------,,58.96666666666667,23.533333333333335,
EE,HLD,Haldi,Haldi,39,AA,1-------,,58.8,22.45,
EE,HLA,Halinga,Halinga,68,RL,--3-----,,58.583333333333336,24.533333333333335,
EE,HJA,Haljala,Haljala,60,RL,--3-----,,59.416666666666664,26.266666666666666,
EE,HAK,H�nike,Hanike,,RL,-----6--,,57.842046350000004,26.7585274371078,true
EE,HAN,Hanila,Hanila,56,RL,--3-----,,58.6,23.55,
EE,HRA,Hara Sadam,Hara Sadam,56,AA,1-------,,59.083333333333336,23.533333333333335,
EE,HRS,Hara Sadam,Hara Sadam,37,AA,1-------,,59.583333333333336,25.616666666666667,
EE,HRJ,Harju,Harju,39,RL,--3-----,,58.733333333333334,22.633333333333333,
EE,HAR,Harku,Harku,,RQ,--3-----,,59.38333333333333,24.566666666666666,
EE,HLT,Heltermaa,Heltermaa,39,AA,1------B,,58.86666666666667,23.05,
EE,HII,Hiiessaare,Hiiessaare,39,AA,1-------,,59,22.85,
EE,HUN,Hundipea,Hundipea,37,AA,1-------,,59.46666666666667,24.716666666666665,
EE,IMA,Imavere,Imavere,52,RL,--3-----,,58.733333333333334,25.783333333333335,
EE,JGP,Jaagupi,Jaagupi,68,AA,1-------,,58.03333333333333,24.466666666666665,
EE,JAA,Jaanikese,Jaanikese,81,RL,--3-----,,57.8,26.05,
EE,JAP,Japsi Kalasadam,Japsi Kalasadam,68,AA,1-------,,58.38333333333333,24.483333333333334,
EE,JJA,J�rva-Jaani,Jarva-Jaani,,RQ,--3-----,,59.03333333333333,25.883333333333333,
EE,JAR,J�rvakandi,Jarvakandi,71,RL,--3-----,,58.766666666666666,24.816666666666666,
EE,JEP,J�e Paadisadam,Joe Paadisadam,79,AA,1-------,,58.36666666666667,26.733333333333334,
EE,JKR,J�ek��ru,Joekaaru,45,AA,1-------,,58.983333333333334,27.183333333333334,
EE,JOL,Joelahtme,Joelahtme,37,RQ,--3-----,,59.43333333333333,25.133333333333333,
EE,JOE,J�esuu,Joesuu,37,RL,--3-----,,59.46666666666667,25.15,
EE,JGA,J�geva,Jogeva,50,RL,-23-----,,58.75,26.383333333333333,
EE,JVI,J�hvi,Johvi,45,RL,-23-----,,59.35,27.416666666666668,
EE,JHT,Juheta,Juheta,68,AA,1-------,,58.38333333333333,24.283333333333335,
EE,JUR,J�ri,Juri,37,RL,--3-----,,59.35,24.883333333333333,
EE,KVI,Kaavi Paadisadam,Kaavi Paadisadam,74,AA,1-------,,57.983333333333334,22.2,
EE,KAB,Kaberneeme,Kaberneeme,37,RQ,--3-----,,59.5,25.25,
EE,KBN,Kaberneeme Sadam,Kaberneeme Sadam,37,AA,1-------,,59.516666666666666,25.283333333333335,
EE,KAD,Kadrina,Kadrina,50,RL,--3-----,,58.7,27.066666666666666,
EE,KDA,Kadrina,Kadrina,60,RL,-23-----,,59.333333333333336,26.133333333333333,
EE,KIA,K�ina,Kaina,39,RL,--3-----,,58.81666666666667,22.783333333333335,
EE,KAK,Kakum�e,Kakumae,37,AA,1-------,,59.45,24.6,
EE,KAL,Kalana,Kalana,39,AA,1-------,,58.916666666666664,22.05,
EE,KAS,Kalasadam,Kalasadam,37,AA,1-------,,59.45,24.75,
EE,KLD,Kaldu,Kaldu,74,AA,1-------,,58.45,23.266666666666666,
EE,KJK,Kalevi Jahtklubi,Kalevi Jahtklubi,37,AA,1-------,,59.46666666666667,24.833333333333332,
EE,KLE,Kallaste,Kallaste,74,AA,1-3-----,,58.65,23.266666666666666,
EE,KLL,Kallaste,Kallaste,79,AA,1-3-----,,58.65,27.15,
EE,KLR,Kallaste Rannasadam,Kallaste Rannasadam,79,AA,1-------,,58.666666666666664,27.166666666666668,
EE,KAM,Kalmak�la Sadam,Kalmakula Sadam,45,AA,1-------,,58.88333333333333,26.966666666666665,
EE,KLV,Kalvi,Kalvi,60,RL,--3-----,,59.483333333333334,26.8,
EE,KMM,Kammeri,Kammeri,79,RL,--3-----,,58.166666666666664,26.633333333333333,
EE,KAN,Kandik�la,Kandikula,79,RL,--3-----,,58.38333333333333,26.65,
EE,KNP,Kanepi,Kanepi,XJ,RQ,--3-----,,57.96666666666667,26.75,
EE,KDL,K�rdla,Kardla,39,AI,1--4----,,59,22.75,
EE,KPA,Karepa Sadam,Karepa Sadam,60,AA,1-------,,59.55,26.416666666666668,
EE,KAE,Karksi,Karksi,84,RL,--3-----,,58.11666666666667,25.583333333333332,
EE,KAP,Karlova Paadisadam,Karlova Paadisadam,79,RL,1-------,,58.36666666666667,26.75,
EE,KSA,K�rsa,Karsa,74,AA,1-------,,58.25,22.733333333333334,
EE,KKS,Kassari Sadam,Kassari Sadam,39,AA,1-------,,58.766666666666666,22.833333333333332,
EE,KSN,Kastna,Kastna,68,AA,1-------,,58.333333333333336,23.916666666666668,
EE,KSP,Kaunispe,Kaunispe,74,AA,1-------,,58.05,22.066666666666666,
EE,KDU,Kavandu,Kavandu,79,RL,--3-----,,58.2,26.633333333333333,
EE,KVR,Kavaru,Kavaru,68,AA,1-------,,58.266666666666666,24.166666666666668,
EE,KEE,Keeni,Keeni,81,RL,-23-----,,57.95,26.283333333333335,
EE,KEH,Kehra,Kehra,37,RL,-23-----,,59.333333333333336,25.333333333333332,
EE,KEI,Keila,Keila,37,RL,-23-----,,59.3,24.416666666666668,
EE,KLN,Kelnase,Kelnase,37,AA,1-------,,59.63333333333333,25.016666666666666,
EE,KEL,Kelvingi,Kelvingi,37,AA,1-------,,59.55,24.833333333333332,
EE,KEJ,Kesse-Jaani,Kesse-Jaani,74,AA,1-------,,58.63333333333333,23.45,
EE,KHN,Kihnu,Kihnu,68,AA,1-------,,58.13333333333333,24.016666666666666,
EE,KII,Kiideva,Kiideva,56,RL,1-------,,58.766666666666666,23.533333333333335,
EE,KIU,Kiiu,Kiiu,37,RL,--3-----,,59.43333333333333,25.366666666666667,
EE,IDA,Kivi�li,Kivioli,45,RL,--3-----,,59.35,26.966666666666665,
EE,KOB,Kobela,Kobela,87,AA,--3-----,,57.833333333333336,26.466666666666665,
EE,KRU,Koeru,Koeru,51,RL,-----6--,,58.96490195,26.02619621788986,true
EE,KGV,Koguva,Koguva,74,AA,1-------,,58.6,23.066666666666666,
EE,KHA,Kohila,Kohila,71,RL,-23-----,,59.166666666666664,24.75,
EE,KJE,Kohtla-J�rve,Kohtla-Jarve,45,RL,--3-----,,59.4,27.266666666666666,
EE,KOI,Koigi,Koigi,52,RL,--3-----,,58.833333333333336,25.75,
EE,KGS,K�iguste,Koiguste,74,AA,1-------,,58.36666666666667,22.966666666666665,
EE,KJI,Kolga-Jaani,Kolga-Jaani,84,RL,--3-----,,58.516666666666666,25.933333333333334,
EE,KLK,Koljunuki,Koljunuki,37,AA,1-------,,59.5,25.083333333333332,
EE,KOL,Kolkja,Kolkja,79,RL,1-------,,58.55,27.216666666666665,
EE,KOM,Komsi,Komsi,59,RL,-----6--,,58.6332401,23.63007340565018,true
EE,KRK,Koork�la,Koorkula,81,AA,--3-----,,57.93333333333333,25.866666666666667,
EE,KRG,K�rgessaare,Korgessaare,39,AA,1-------,,58.96666666666667,22.466666666666665,
EE,KSE,Kose,Kose,37,RL,-----6--,,57.81278,27.03694,true
EE,KDR,Kudruk�la Sadam,Kudrukula Sadam,45,AA,1-------,,59.45,29.083333333333332,
EE,KUI,Kuivastu,Kuivastu,74,AA,1------B,,58.56666666666667,23.383333333333333,
EE,KUL,Kulaaseme,Kulaaseme,79,RQ,--3-----,,58.28333333333333,26.383333333333333,
EE,KND,Kunda,Kunda,60,AA,1------B,,59.516666666666666,26.533333333333335,
EE,KNG,Kungla,Kungla,74,AA,1-------,,58.35,22.95,
