country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
EG,TRC,10th of Ramadan City,10th of Ramadan City,,RL,--3--6--,,30.3,31.75,
EG,SOC,6th October,6th October,GZ,RL,--3--6--,,29.816666666666666,31.05,
EG,AGN,Abu Ghosoun,Abu Ghosoun,,AA,1-3-----,,24.45,35.2,
EG,AKI,Abu Kir,Abu Kir,,RQ,1-------,,31.3203016,30.0641979,true
EG,AUE,Abu Rudeis,Abu Rudeis,,AI,1--4----,,30.56977,32.1146,true
EG,ABS,Abu Simbel,Abu Simbel,,AI,---4----,,22.3722279,31.613004177780176,true
EG,AZA,Abu Zenimah,Abu Zenimah,JS,RL,1-------,,29.05,33.1,
EG,AIS,Ain Sukhna,Ain Sukhna,,RQ,1-------,,29.1219626,25.4321749,true
EG,ADA,Al Adabiyah,Al Adabiyah,,RL,123-----,,29.866666666666667,32.46666666666667,
EG,DBB,Al Alamein International Apt/Daaba City,Al Alamein International Apt/Daaba City,MT,RL,---4----,,30.916666666666668,28.45,
EG,ABE,Al Bahr El Ahmer,Al Bahr El Ahmer,,RQ,-----6--,,31.28573,31.40725,true
EG,YYU,Al Fayyum,Al Fayyum,,RQ,--3-----,,29.3,30.833333333333332,
EG,AHM,Al Haram,Al Haram,GZ,RL,-----6--,,29.45,31.166666666666668,
EG,AGZ,Al Jizah (Giza),Al Jizah (Giza),GZ,RL,--3-----,,30,31.216666666666665,
EG,ALM,Al Mansurah,Al Mansurah,DK,RL,-23-----,,31.033333333333335,31.366666666666667,
EG,QEM,Al Manzilah,Al Manzilah,DK,RL,--3-----,,31.15,31.933333333333334,
EG,MIN,Al Minya,Al Minya,GZ,RQ,-----6--,,29.733333333333334,31.283333333333335,
EG,AMA,Al Monofiya,Al Monofiya,,RQ,-----6--,,31.03637,31.38069,true
EG,ELK,Al Qantarah El Sharqiyya,Al Qantarah El Sharqiyya,SIN,RL,--3-----,,30.85,32.3,
EG,AQU,Al Qusayr,Al Qusayr,BA,RL,1-3-----,,26.1,34.28333333333333,
EG,AWE,Al Wadi El Gedeed,Al Wadi El Gedeed,,RQ,-----6--,,30.97063,31.1669,true
EG,ALA,Almazah,Almazah,C,RL,--3-----,,30.083333333333332,31.35,
EG,6HB,An Nubariyah,An Nubariyah,BH,RL,--3-----,,30.65,30.066666666666666,
EG,EEG,An Nukhaylah,An Nukhaylah,AST,RQ,0-------,,27.016666666666666,31.35,
