country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
ES,AXO,A Baiuca,A Baiuca,,RL,1-3-----,,43.3,-8.5,
ES,A2C,A Ca�iza,A Caniza,PO,AA,-----6--,,42.2,-8.466666666666667,
ES,UAR,A Guarda,A Guarda,PO,RQ,--3-----,,41.9,-8.866666666666667,
ES,AM2,A Merca,A Merca,OR,RL,--3-----,,42.21666666666667,-7.9,
ES,APR,A Pobra de Trives,A Pobra de Trives,,RL,--3-----,,42.31666666666667,-7.3,
ES,APV,A Pontenova,A Pontenova,LU,RL,--3-----,,43.35,-7.183333333333334,
ES,RVD,A Rua de Valdeorras,A Rua de Valdeorras,OR,RL,--3-----,,42.4,-7.1,
ES,PTI,A Rua Petin,A Rua Petin,OR,RQ,--3-----,,42.36666666666667,-7.116666666666666,
ES,AT8,A Teixeira,A Teixeira,OR,RL,--3-----,,42.38333333333333,-7.466666666666667,
ES,A2Z,A Zamorana,A Zamorana,OR,AA,--3-----,,42.3,-7.8,
ES,JAB,Abadiano Celayeta,Abadiano Celayeta,BI,RL,-----6--,,43.15,-2.6,
ES,ABA,Abadiano-Zelaieta,Abadiano-Zelaieta,BI,RL,-23-----,,43.15,-2.6,
ES,ABL,�balos,Abalos,,RL,--3-----,,42.56666666666667,-2.7,
ES,AJA,Abanilla,Abanilla,,RQ,--3-----,,38.2058263,-1.0392384,true
ES,AN9,Abanqueiro,Abanqueiro,C,RL,--3-----,,42.65,-8.883333333333333,
ES,ABH,Abanto,Abanto,,RQ,1-------,,43.31666666666667,-4.5,
ES,ZZA,Abanto y Ci�rvana-Abanto Zierbena,Abanto y Ciervana-Abanto Zierbena,BI,RL,--3-----,,43.3,-4.316666666666666,
ES,AEB,Abar�n,Abaran,,RL,--3-----,,38.2,-1.4,
ES,NVV,Abartzuza,Abartzuza,NA,AA,-----6--,,42.71666666666667,-2.0166666666666666,
ES,GON,Abegondo,Abegondo,C,RL,--3-----,,43.21666666666667,-8.283333333333333,
ES,ABJ,Abejar,Abejar,SO,RL,--3-----,,41.8,-2.7666666666666666,
ES,DY7,Abeleda,Abeleda,OR,RL,--3-----,,42.4,-7.45,
ES,AIB,Aben�jar,Abenojar,CR,RL,--3-----,,38.88333333333333,-4.35,
ES,A3N,Aberin,Aberin,NA,RL,--3-----,,42.61666666666667,-2,
ES,NZ3,Ablitas,Ablitas,NA,RL,--3-----,,41.96666666666667,-1.6333333333333333,
ES,AB9,Abono,Abono,O,RL,--3-----,,43.56666666666667,-5.716666666666667,
ES,ABE,Abrera,Abrera,B,RL,--3-----,,41.516666666666666,1.8833333333333333,
ES,ABR,Abronigal,Abronigal,,RQ,0-------,,40.7579976,-3.8177236,true
ES,CEB,Acebo,Acebo,CC,RQ,--3-----,,40.2,-6.716666666666667,
ES,ANX,Acerinox,Acerinox,,RQ,0-------,,,,
ES,ACH,Aceuchal,Aceuchal,BA,RQ,1-------,,38.6479821,-6.486997,true
ES,ACU,Acula,Acula,GR,RQ,--3-----,,37.083333333333336,-3.8,
ES,UES,Adahuesca,Adahuesca,HU,RL,--3-----,,42.15,-0.16666666666666666,
ES,A8C,Adamuz,Adamuz,CO,RL,--3-----,,38.03333333333333,-4.516666666666667,
ES,AEJ,Adeje,Adeje,TF,RL,--3-----,,28.116666666666667,-16.716666666666665,
ES,MUZ,Ademuz,Ademuz,V,RQ,--3-----,,40.06666666666667,-1.2833333333333332,
ES,VV5,Ador,Ador,V,AA,-----6--,,38.916666666666664,-0.21666666666666667,
ES,ADR,Adra,Adra,,RL,1-3-----,,36.75,-3.0166666666666666,
ES,AD8,Adrada de Aza,Adrada de Aza,BU,RL,--3-----,,41.6,-3.8166666666666664,
ES,ADU,Aduna,Aduna,SS,RL,-23--6--,,43.266666666666666,-2.05,
ES,ATZ,Adzaneta de Albaida,Adzaneta de Albaida,V,RQ,--3-----,,38.833333333333336,-0.48333333333333334,
ES,AGA,Agaete,Agaete,GC,AA,1-------,,28.116666666666667,-15.7,
ES,ACO,Agoncillo,Agoncillo,,RQ,--3-----,,42.4451704,-2.2913654,true
ES,AGO,Agost,Agost,V,RL,--3-----,,38.43333333333333,-0.6333333333333333,
ES,AGR,Agramunt,Agramunt,L,RL,--3-----,,41.78333333333333,1.0833333333333333,
ES,GRE,Agreda,Agreda,SO,RQ,--3-----,,41.85,-1.9333333333333333,
ES,AES,Agres,Agres,V,RQ,--3-----,,38.766666666666666,-0.5,
ES,AAG,Agua Amarga,Agua Amarga,,RL,--3-----,,36.9398769,-1.9340288,true
ES,AGE,Aguadulce,Aguadulce,AL,RQ,-----6--,,36.81666666666667,-2.5666666666666664,
ES,ARD,Aguarda,Aguarda,,RL,--3--6--,,43.28333333333333,-7.3,
ES,AUR,Aguar�n,Aguaron,Z,RL,--3-----,,41.333333333333336,-1.2666666666666666,
ES,UDO,Agudo,Agudo,CR,RQ,--3-----,,38.983333333333334,-4.866666666666667,
ES,ACM,Aguilar de Camp�o,Aguilar de Campoo,P,RL,--3-----,,42.8,-4.25,
ES,ADF,Aguilar de la Frontera,Aguilar de la Frontera,,RL,--3-----,,37.516666666666666,-4.65,
ES,A6U,Aguilar del Rio Alhama,Aguilar del Rio Alhama,LO,RL,-----6--,,41.95,-2,
ES,AGU,Aguilas,Aguilas,,RL,1-------,,37.4,-1.5833333333333335,
ES,AGS,Ag�imes,Aguimes,GC,RL,--3-----,,27.9,-15.45,
ES,AGI,Aguinaga,Aguinaga,,RL,--3-----,,43.21666666666667,-2.3166666666666664,
ES,AGT,Agullent,Agullent,,RQ,0-------,,38.8233412,-0.5473745,true
ES,QAG,Agurain,Agurain,VI,RL,--3--6--,,42.85,2.3833333333333333,
ES,AHL,Ahigal,Ahigal,CC,RQ,--3-----,,40.18333333333333,-6.183333333333334,
ES,AHJ,Ah�n,Ahin,,RL,--3-----,,39.9,-0.3333333333333333,
ES,AI8,Aia,Aia,SS,RL,--3-----,,43.233333333333334,-2.1333333333333333,
ES,AMF,Aielo de Malferit,Aielo de Malferit,V,RL,--3-----,,38.86666666666667,-35.516666666666666,
ES,AAR,Aiguafreda,Aiguafreda,,RL,-23-----,,41.766666666666666,2.25,
ES,A63,Aiguamurcia,Aiguamurcia,T,AA,--3--6--,,41.333333333333336,1.3666666666666667,
ES,AVA,Aiguaviva,Aiguaviva,GI,RL,--3-----,,41.93333333333333,2.7666666666666666,
ES,ROO,Ainsa,Ainsa,HU,RL,--3-----,,42.4,0.15,
ES,AZN,Ainz�n,Ainzon,Z,RL,--3-----,,41.81666666666667,-1.5166666666666666,
ES,AZB,Aizarnaz�bal,Aizarnazabal,,RL,--3-----,,43.266666666666666,-2.2333333333333334,
ES,AII,Aizo�in,Aizoain,NA,RL,--3-----,,42.85,-1.6333333333333333,
ES,AJV,Ajalvir,Ajalvir,M,RL,--3-----,,40.53333333333333,-3.4833333333333334,
ES,AJM,Ajamil,Ajamil,LO,RL,--3-----,,42.166666666666664,-2.4833333333333334,
ES,JAO,Ajo,Ajo,S,RQ,--3-----,,43.483333333333334,-3.6166666666666667,
ES,AJF,Ajofrin,Ajofrin,TO,RQ,--3-----,,39.75,-3.9833333333333334,
ES,AIP,Alacuas,Alacuas,,RQ,0-------,,39.4572928,-0.46098,true
ES,AQS,Alacu�s,Alacuas,,RL,--3-----,,39.45,-0.45,
ES,AJO,Alaejos,Alaejos,VA,RQ,--3-----,,41.31666666666667,-5.216666666666667,
ES,AAN,Alag�n,Alagon,,RL,--3-----,,41.766666666666666,-1.1166666666666667,
ES,GTO,Alagon del Caudillo,Alagon del Caudillo,CC,RQ,--3-----,,39.983333333333334,-6.266666666666667,
ES,APD,Alalpardo,Alalpardo,M,AA,--3-----,,40.63333333333333,-3.466666666666667,
ES,AM3,Alameda,Alameda,MA,RL,--3-----,,37.2,-4.65,
ES,AL8,Alameda de Cervera,Alameda de Cervera,CR,RL,--3-----,,39.45,-3.216666666666667,
ES,ADS,Alameda de La Sagra,Alameda de La Sagra,TO,RQ,1-------,,40.013303,-3.7968786,true
ES,NAG,Alange,Alange,BA,RL,--3-----,,38.78333333333333,-6.25,
ES,RLA,Alar del Rey,Alar del Rey,P,RQ,--3-----,,42.666666666666664,-4.3,
ES,AFN,Alarc�n,Alarcon,,RL,--3-----,,39.55,-2.0833333333333335,
ES,ORL,Alaro,Alaro,PM,RQ,-----6--,,39.7,2.783333333333333,
ES,AVQ,Alava,Alava,O,RQ,--3--6--,,43.36666666666667,-6.2,
ES,ALY,Alayor,Alayor,PM,RQ,--3-----,,39.93333333333333,4.133333333333334,
ES,TQI,Alba De Tormes,Alba De Tormes,SA,RL,--3-----,,40.81666666666667,-5.516666666666667,
ES,ATM,Alba Tormes,Alba Tormes,SA,RQ,--3-----,,40.81666666666667,-5.516666666666667,
ES,ALB,Albacete,Albacete,AB,RL,-23-----,,38.983333333333334,-1.8666666666666667,
ES,AGL,Albages,Albages,L,RL,--3-----,,41.45,0.75,
ES,AHF,Albaida,Albaida,,RQ,--3-----,,38.838669,-0.5181895,true
ES,AA2,Albaida del Aljarafe,Albaida del Aljarafe,SE,AA,--3-----,,37.43333333333333,-6.166666666666667,
ES,AJB,Albal,Albal,,RQ,0-------,,39.3956438,-0.4150821,true
ES,AAL,Albala,Albala,CC,RQ,--3-----,,39.25,-6.183333333333334,
ES,AEI,Albalat de la Ribera,Albalat de la Ribera,,RL,--3-----,,39.2,-0.38333333333333336,
ES,AJT,Albalat de Segart,Albalat de Segart,,RL,--3-----,,39.7,-0.3333333333333333,
ES,AJL,Albalat dels Sorells,Albalat dels Sorells,,RL,--3-----,,39.53333333333333,-0.35,
ES,ACD,Albalate de Cinca,Albalate de Cinca,HU,RL,--3-----,,41.733333333333334,0.15,
ES,ADO,Albalate del Arzobispo,Albalate del Arzobispo,TE,RL,--3-----,,41.11666666666667,-0.5166666666666667,
ES,ALH,Albanchez,Albanchez,AL,RQ,--3-----,,37.28333333333333,2.183333333333333,
ES,AL2,Albarellos,Albarellos,OR,RL,--3-----,,42.4,-8.183333333333334,
ES,ACY,Albarrac�n,Albarracin,,RL,--3-----,,40.4,-1.45,
ES,3C2,Albatarrech,Albatarrech,L,RL,--3-----,,41.56666666666667,0.6,
ES,AJE,Albatera,Albatera,,RQ,--3-----,,38.1786069,-0.8695616,true
ES,ZBL,Albelda de Iregua,Albelda de Iregua,LO,RL,-----6--,,42.36666666666667,-2.466666666666667,
ES,ABD,Albendin,Albendin,CO,RQ,--3-----,,37.666666666666664,-4.25,
ES,DCL,Alberche del Caudillo,Alberche del Caudillo,TO,RL,--3-----,,39.9,-4.916666666666667,
ES,ZAA,Alberic,Alberic,V,RL,-----6--,,39.11666666666667,-0.5166666666666667,
ES,AJQ,Alberique,Alberique,,RQ,--3-----,,39.1164369,-0.5201838,true
ES,ALE,Alberite,Alberite,LO,RL,--3-----,,42.4,-2.4333333333333336,
ES,AB3,Albeta,Albeta,Z,RL,--3-----,,41.833333333333336,-1.5,
ES,ABI,Alb�,Albi,L,RL,--3-----,,41.416666666666664,0.9333333333333333,
ES,AAA,Albiztur,Albiztur,SS,RL,--3-----,,43.13333333333333,-2.1333333333333333,
ES,AQC,Alboc�cer,Albocacer,,RL,--3-----,,40.35,0.03333333333333333,
ES,AB2,Albolod�y,Alboloduy,AL,RL,--3-----,,37.03333333333333,-2.6166666666666667,
ES,ACB,Albolote,Albolote,,RQ,--3-----,,37.2306219,-3.6570779,true
ES,AQH,Alborache,Alborache,,RQ,0-------,,39.3917086,-0.7711311,true
ES,ALR,Alboraya,Alboraya,,RQ,--3-----,,39.5009954,-0.34948,true
ES,AL3,Alborea,Alborea,AB,RL,--3-----,,39.28333333333333,-1.3833333333333333,
ES,ZBU,Albox,Albox,AL,RL,-----6--,,37.38333333333333,-2.1333333333333333,
