country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
ET,ADD,Addis Ababa,Addis Ababa,,AI,---45---,,9.0358287,38.7524127,true
ET,AMH,Arba Mintch,Arba Mintch,,AI,---4----,,6.0406202,37.590389514380966,true
ET,ASO,Asosa,Asosa,,AI,---4----,,10.02259785,34.57871305512564,true
ET,ALK,Assella,Assella,OR,RL,--3-----,,7.95,39.13333333333333,
ET,AWA,Awassa,Awassa,,AI,---4----,,7.0481029,38.47861,true
ET,AXU,Axum,Axum,,AI,---4----,,14.14189285,38.77625383850963,true
ET,BJR,Bahar Dar,Bahar Dar,,AI,---4----,,11.5949663,37.3882251,true
ET,BED,Bedele,Bedele,OR,RL,--3-----,,8.45,36.35,
ET,BEI,Beica,Beica,,RQ,---4----,,9.383333333333333,34.53333333333333,
ET,BCY,Bulchi,Bulchi,,AI,---4----,,,,
ET,DBM,Debra Marcos,Debra Marcos,,AI,---4----,,14.33878,39.2574,true
ET,DBT,Debra Tabor,Debra Tabor,,RQ,---4----,,11.85,38,
ET,DEM,Dembidollo,Dembidollo,,AI,---4----,,,,
ET,DSE,Dessie,Dessie,,AI,---4----,,11.122604,39.634982,true
ET,DIR,Dire Dawa,Dire Dawa,,AI,---45---,,9.625106200000001,41.85238477547875,true
ET,DAD,Dolo Odo,Dolo Odo,SO,RL,--3-----,,4.183333333333334,42.06666666666667,
ET,SEM,Dubti,Dubti,AF,RL,-----6--,,11.733333333333333,41.083333333333336,
ET,DKM,Dukem,Dukem,OR,RL,--3-----,,8.8,38.9,
ET,GMB,Gambela,Gambela,,AI,---4----,,8.2503656,34.5877344,true
ET,ETE,Genda Wuha,Genda Wuha,,RQ,---4----,,12.36667,37.26667,true
ET,GNN,Ghinnir,Ghinnir,,RQ,---4----,,7.25,40.71666666666667,
ET,GIB,Gibe,Gibe,OR,RL,--3-----,,7.75,37.18333333333333,
ET,GZA,Giza,Giza,TI,RL,--3-----,,13.683333333333334,39.5,
ET,GOB,Goba,Goba,,AI,---4----,,7.0073251,39.9694204,true
ET,GDE,Gode,Gode,,RQ,---4----,,5.9,43.61666666666667,
ET,GDQ,Gondar,Gondar,,AI,---4----,,12.610368,37.466766,true
ET,GOR,Gore,Gore,,AI,---4----,,8.1594382,35.552288,true
ET,HAR,Harar,Harar,HA,RL,--3-----,,9.3,42.11666666666667,
ET,HRT,Hartishek,Hartishek,SO,AM,--3-----,,9.15,43.35,
ET,HOG,Holeta Genet,Holeta Genet,OR,RL,--3-----,,9.05,38.5,
ET,HUE,Humera,Humera,,AI,---4----,,14.32065295,36.63039387110834,true
ET,JIJ,Jijiga,Jijiga,,RQ,--3-----,,9.35,42.8,
ET,JIM,Jimma,Jimma,,AI,---4----,,7.6614832,36.82029720266523,true
ET,BCO,Jinka,Jinka,,RQ,---4----,,5.7516048,36.5558423,true
ET,ABK,Kabri Dar,Kabri Dar,,RQ,---4----,,6.733333333333333,44.25,
ET,LFO,K'elafo,K'elafo,,AI,---4----,,5.616666666666667,44.13333333333333,
ET,OKA,Kembolcha,Kembolcha,OR,RL,-----6--,,7.5,41.18333333333333,
ET,KOA,Kombolcha,Kombolcha,AM,RL,--3-----,,11.083333333333334,39.733333333333334,
ET,LLI,Lalibela,Lalibela,,RQ,---4----,,12.033333333333333,39.03333333333333,
ET,MQX,Makale,Makale,,AI,---4----,,13.467248699999999,39.534223335554174,true
ET,MKS,Mekane Selam,Mekane Selam,,AI,---4----,,10.72531305,38.74227233522289,true
ET,MEK,Mekele,Mekele,TI,RL,--3-----,,13.483333333333333,39.46666666666667,
ET,MZX,Mena,Mena,,AI,---4----,,6.41667,39.85,true
ET,MTF,Mizan Teferi,Mizan Teferi,,AI,---4----,,6.9568641499999995,35.55444305360076,true
ET,MOJ,Mojo,Mojo,OR,RL,-----6--,,8.6,39.11666666666667,
ET,MDP,Mojo Dry Port,Mojo Dry Port,OR,RL,-----6--,,8.566666666666666,39.13333333333333,
ET,OTA,Mot'a,Mot'a,,AI,---4----,,11.083333333333334,37.86666666666667,
ET,MYS,Moyale,Moyale,,RQ,---4----,,3.466666666666667,39.083333333333336,
ET,MUJ,Mui,Mui,,AI,---4----,,,,
ET,NZR,Nazret,Nazret,,RL,--3-----,,8.55,39.266666666666666,
ET,W8N,Nefas Mewch'a,Nefas Mewch'a,AM,RL,--3-----,,11.733333333333333,38.46666666666667,
ET,EGL,Neghelli,Neghelli,,RQ,---4----,,5.266666666666667,39.71666666666667,
ET,PGN,Pugnido,Pugnido,GA,AM,--3-----,,7.633333333333333,34.25,
ET,SEB,Sebeta,Sebeta,OR,RL,--3-----,,8.916666666666666,38.61666666666667,
ET,S3M,Semera,Semera,AF,RL,--3-----,,11.783333333333333,41,
ET,S7O,Shashemene,Shashemene,OR,RL,--3-----,,7.2,38.6,
ET,SRE,Shire,Shire,TI,RL,--3-----,,14.133333333333333,38.4,
ET,SXU,Soddu,Soddu,,AI,---4----,,,,
ET,SOD,Sodo,Sodo,,RL,--3-----,,8.583333333333334,35.81666666666667,
ET,TIE,Tippi,Tippi,,AI,---4----,,7.2,35.45,true
ET,WAC,Waca,Waca,,AI,---4----,,,,
