country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
FI,AAN,��nekoski,Aanekoski,08,AF,--3-----,,62.6032186,25.7301361,true
FI,AVS,Aavasaksa,Aavasaksa,10,AC,--3----B,,66.3781235,23.697575,true
FI,TKU,�bo (Turku),Abo (Turku),19,AI,1-34----,,60.45,22.283333333333335,
FI,ATS,�ets�,Aetsa,11,RL,-23-----,,61.28333333333333,22.683333333333334,
FI,ATI,�ht�ri,Ahtari,,RQ,--3-----,,62.5499772,24.0702272,true
FI,AJO,Ajos,Ajos,,RL,1-------,,65.66666666666667,24.566666666666666,
FI,LSA,Akaa,Akaa,11,RL,--3-----,,61.166666666666664,23.866666666666667,
FI,APK,�k�slompolo,Akaslompolo,10,AA,--3-----,,67.6,24.15,
FI,AJI,Alaj�rvi,Alajarvi,03,AF,--3-----,,63,23.8,
FI,FAB,Alastaro,Alastaro,19,RL,-----6--,,60.95,22.85,
FI,ALE,Alaveteli,Alaveteli,14,RL,--3-----,,63.7,23.333333333333332,
FI,ALA,Alavieska,Alavieska,,RL,--3-----,,64.16666666666667,24.3,
FI,ALV,Alavus,Alavus,03,AF,--3-----,,62.5862041,23.6185286,true
FI,AHL,Alholmen,Alholmen,,RL,1-------,,63.7,22.7,
FI,ANK,Anjala,Anjala,09,AA,--3-----,,60.68333333333333,26.833333333333332,
FI,ANJ,Anjalankoski,Anjalankoski,,RL,--3-----,,60.75,26.816666666666666,
FI,ANT,Antskog,Antskog,18,RL,--3-----,,60.15,23.566666666666666,
FI,ATL,Anttila Oy,Anttila Oy,17,RL,--3-----,,61.483333333333334,23.75,
FI,ATT,Anttola,Anttola,04,AA,--3-----,,61.583333333333336,27.65,
FI,KRI,Arkkukari,Arkkukari,15,RL,--3-----,,64.6,24.4,
FI,AOK,Arrakoski,Arrakoski,16,RL,--3-----,,61.4,25.183333333333334,
FI,AKK,Asikkala,Asikkala,04,RL,1----6--,,62.05,28.433333333333334,
FI,ASK,Askola,Askola,16,AA,--3-----,,60.516666666666666,25.6,
FI,AUR,Aura,Aura,19,RL,-23-----,,60.6,22.55,
FI,BAS,B�cksbacka,Backsbacka,12,RL,--3-----,,63.45,23.116666666666667,
FI,BAR,Baronsalmi,Baronsalmi,,RL,1-------,,59.96666666666667,23.866666666666667,
FI,BEN,Benn�s,Bennas,12,RQ,--3-----,,63.6,22.8,
FI,PIR,Birkala (Pirkkala),Birkala (Pirkkala),11,AC,--34---B,,61.46666666666667,23.633333333333333,
FI,BJO,Bj�rkholma,Bjorkholma,12,RL,--3-----,,63.333333333333336,22.716666666666665,
FI,POR,Bj�rneborg (Pori),Bjorneborg (Pori),17,AI,1-34----,,61.483333333333334,21.8,
FI,PRV,Borg� (Porvoo),Borga (Porvoo),18,AI,1-------,,60.4,25.666666666666668,
FI,BOS,Bosund,Bosund,12,RL,--3-----,,63.81666666666667,22.866666666666667,
FI,RAA,Brahestad (Raahe),Brahestad (Raahe),14,AI,1-------,,64.68333333333334,24.483333333333334,
FI,BRA,Br�nd�,Brando,01,AF,1-------,,60.416666666666664,21.05,
FI,BRO,Bromarv,Bromarv,18,RL,1-3-----,,59.983333333333334,23.033333333333335,
FI,DAK,Dagsmark,Dagsmark,12,RL,--3-----,,62.233333333333334,21.633333333333333,
FI,DLS,Dalsbruk (Taalintehdas),Dalsbruk (Taalintehdas),19,AI,1-------,,60.016666666666666,22.516666666666666,
FI,DEG,Degerby,Degerby,18,RL,1-3-----,,60.1,24.183333333333334,
FI,DRA,Dragsfj�rd,Dragsfjard,19,AF,1-------,,60.06666666666667,22.466666666666665,
FI,ECK,Ecker�,Eckero,01,AC,1------B,,60.21666666666667,19.616666666666667,
FI,EER,Eerikkil�,Eerikkila,13,RL,--3-----,,62.65,30.116666666666667,
FI,TAI,Eken�s (Tammisaari),Ekenas (Tammisaari),18,AI,1-------,,59.96666666666667,23.433333333333334,
FI,EM2,El�m�j�rvi,Elamajarvi,08,RL,1-3-----,,63.483333333333334,25.666666666666668,
FI,ELK,Elimaki,Elimaki,09,RL,--3-----,,60.71666666666667,26.466666666666665,
FI,ENO,Eno,Eno,13,RL,--3-----,,62.8,30.15,
FI,ENK,Enonkoski,Enonkoski,04,AF,1-3-----,,62.083333333333336,28.916666666666668,
FI,ENF,Enonteki� (Enontekis),Enontekio (Enontekis),10,AF,---4----,,68.38333333333334,23.633333333333333,
FI,ENF,Enontekis (Enonteki�),Enontekis (Enontekio),10,AF,---4----,,68.38333333333334,23.633333333333333,
FI,ERV,Ervasto,Ervasto,19,RL,--3-----,,60.13333333333333,23.066666666666666,
FI,ESP,Esbo (Espoo),Esbo (Espoo),18,AI,1-3--6--,,60.2,24.65,
FI,ES2,Espoo,Espoo,18,RL,--3-----,,60.21666666666667,24.666666666666668,
FI,ESP,Espoo (Esbo),Espoo (Esbo),18,AI,1-3--6--,,60.2,24.65,
FI,EUA,Eura,Eura,17,RL,--3-----,,61.13333333333333,22.15,
FI,EJO,Eura�minne (Eurajoki),Euraaminne (Eurajoki),17,AI,1-------,,61.2,21.733333333333334,
FI,EJO,Eurajoki (Eura�minne),Eurajoki (Euraaminne),17,AI,1-------,,61.2,21.733333333333334,
FI,EVJ,Evij�rvi,Evijarvi,03,RL,--3-----,,63.36666666666667,23.483333333333334,
FI,FAR,F�rjsundet,Farjsundet,01,AI,1-------,,60.233333333333334,20.016666666666666,
FI,SAR,Finby (S�rkisalo),Finby (Sarkisalo),18,QQ,1-3-----,,60.1,22.933333333333334,
FI,FSO,Finstr�m,Finstrom,01,RL,--3-----,,60.266666666666666,19.933333333333334,
FI,FAD,Fiskars,Fiskars,18,RL,-----6--,,60.13333333333333,23.55,
FI,FOG,F�gl�,Foglo,01,AF,1-------,,60.016666666666666,20.416666666666668,
FI,FOR,F�rby,Forby,19,AF,1-------,,60.094865,22.8821357,true
FI,FSF,Forssa,Forssa,06,AC,--3-----,QVE,60.81666666666667,23.616666666666667,
FI,HMN,Fredrikshamn (Hamina),Fredrikshamn (Hamina),09,AI,1-------,QVZ,60.56666666666667,27.2,
FI,GAM,Gammelby,Gammelby,18,RL,--3-----,,60.483333333333334,25.883333333333333,
FI,GDB,Gottby (Godby),Gottby (Godby),01,AF,1-------,,60.13333333333333,19.833333333333332,
FI,KIN,Grankulla (Kauniainen),Grankulla (Kauniainen),18,RL,--3-----,,60.214559,24.704693,true
FI,GUL,Gull�,Gullo,18,AF,1-3-----,,59.95,23.416666666666668,
FI,KUS,Gustavs (Kustavi),Gustavs (Kustavi),19,AI,1-------,,60.5458493,21.3558051,true
FI,HAA,Haapaj�rvi,Haapajarvi,14,AF,--3-----,,63.75,25.316666666666666,
FI,HAP,Haapam�ki,Haapamaki,,RL,--3-----,,62.25,24.45,
FI,HPS,Haapavesi,Haapavesi,14,RL,--3-----,,64.13333333333334,25.366666666666667,
FI,HAJ,Haaraj�rvi,Haarajarvi,13,RL,--3-----,,62.18333333333333,30.183333333333334,
FI,KOL,Haikola,Haikola,14,RL,--3-----,,63.9,24.533333333333335,
FI,HAO,Hailuoto,Hailuoto,14,AF,1-------,,65,24.833333333333332,
FI,HAK,Hakkola,Hakkola,03,RL,1-3-----,,62.38333333333333,22.716666666666665,
FI,HLK,Halikko,Halikko,19,RL,--3-----,,60.3965428,23.0784257,true
FI,HLI,Halli,Halli,08,RQ,--3-----,,61.86666666666667,24.833333333333332,
FI,HLL,H�lln�s,Hallnas,12,RL,--3-----,,63.25,22.233333333333334,
FI,HAL,Halonen,Halonen,10,RL,1-3-----,,66.68333333333334,27.5,
FI,LHO,Halosenlahti,Halosenlahti,,RL,1-------,,65.23333333333333,25.316666666666666,
FI,HLS,Halsua,Halsua,14,AA,--3-----,,63.45,24.166666666666668,
FI,HLA,Haluna,Haluna,15,RL,-23--6--,,63.13333333333333,28,
FI,HKY,H�meenkyr� (Tavastkyro),Hameenkyro (Tavastkyro),11,RL,--3-----,,61.63333333333333,23.2,
FI,HMY,H�meenlinna (Tavastehus),Hameenlinna (Tavastehus),06,AC,--3-----,QVM,60.9810913,24.458264065685047,true
FI,HMN,Hamina (Fredrikshamn),Hamina (Fredrikshamn),09,AI,1-------,QVZ,60.56666666666667,27.2,
FI,HKO,Hang� (Hanko),Hango (Hanko),18,AI,1-------,,59.829038,22.963885,true
FI,HKM,Hankasalmi,Hankasalmi,08,RL,-23-----,,62.38333333333333,26.433333333333334,
