country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
FJ,BFJ,Ba,Ba,,AI,---4----,,,,
FJ,BXL,Blue Lagoon,Blue Lagoon,,AI,---4----,,,,
FJ,BVF,Bua,Bua,,AI,---4----,,-16.7979838,178.6152813,true
FJ,CST,Castaway,Castaway,,AI,---4----,,,,
FJ,ICI,Cicia,Cicia,,AI,---4----,,-17.7442632,-179.34202519218303,true
FJ,DEN,Denarau,Denarau,11,RL,1-3--6--,,-17.766666666666666,177.38333333333333,
FJ,ELL,Ellington Wharf,Ellington Wharf,,RL,1-------,,-17.35,178.21666666666667,
FJ,KDV,Kandavu,Kandavu,,AI,0-------,,,,
FJ,KXF,Koro Island,Koro Island,,AI,0-------,,-17.32031955,179.40462143209265,true
FJ,KVU,Korolevu,Korolevu,,AI,0-------,,-18.2140676,177.7305987,true
FJ,LBS,Labasa,Labasa,07,RL,1--4----,,-16.416666666666668,179.38333333333333,
FJ,LKB,Lakeba,Lakeba,,AI,0-------,,-16.2049,179.69919,true
FJ,LUC,Laucala Is,Laucala Is,,AI,0-------,,-18.14190935,178.51633175910894,true
FJ,LTK,Lautoka,Lautoka,01,RL,123-----,,-17.616666666666667,177.45,
FJ,MAL,Malau (Labasa),Malau (Labasa),,RL,1-3-----,,-16.366666666666667,179.38333333333333,
FJ,PTF,Malolo Lailai Island,Malolo Lailai Island,W,AI,--3-----,,-17.783333333333335,177.2,
FJ,MNF,Mana Island,Mana Island,,AI,0-------,,,,
FJ,MFJ,Moala,Moala,,AI,0-------,,-18.610700950000002,179.86831232869991,true
FJ,MOM,Momi,Momi,,RL,123-----,,-17.916666666666668,177.28333333333333,
FJ,NAN,Nadi,Nadi,,AI,---45---,,-17.762453299999997,177.43747042786867,true
FJ,NAM,Nambouwalu,Nambouwalu,,RL,1-3-----,,-16.983333333333334,178.7,
FJ,NTA,Natadola,Natadola,,AI,0-------,,-18.1029786,177.3218775,true
FJ,NGI,Ngau Island,Ngau Island,,AI,0-------,,,,
FJ,ONU,Ono-i-Lau,Ono-i-Lau,E,AI,--3-----,,-20.666666666666668,-178.71666666666667,
FJ,PHR,Pacific Harbor,Pacific Harbor,,AI,0-------,,-18.23367,178.08512,true
FJ,RBI,Rabi,Rabi,,AI,0-------,,-16.48919445,-179.97209429999998,true
FJ,RTA,Rotuma,Rotuma,,AI,1--4----,,-12.4826249,177.07223263598206,true
FJ,AQS,Saqani,Saqani,,AI,0-------,,-16.34792,179.77339,true
FJ,SVU,Savusavu,Savusavu,,AI,1--4----,,-16.8034908,179.34068266209127,true
FJ,SIN,Singatoka,Singatoka,,RL,1-3-----,,-18.166666666666668,177.51666666666668,
FJ,SUV,Suva,Suva,12,AI,1--45---,,-18.133333333333333,178.45,
FJ,TVU,Taveuni,Taveuni,,AI,0-------,,,,
FJ,TTL,Turtle Island,Turtle Island,,AI,0-------,,-19.8173631,-178.24282599306488,true
FJ,VBV,Vanua Mbalavu,Vanua Mbalavu,E,AI,--3-----,,-17.233333333333334,-178.95,
FJ,VAT,Vatia Wharf,Vatia Wharf,,RL,1-3-----,,-17.4,177.76666666666668,
FJ,VAU,Vatukoula,Vatukoula,,AI,0-------,,-17.50136,177.84983,true
FJ,VTF,Vatulele,Vatulele,,AI,0-------,,-17.2488587,179.3944274,true
FJ,VUD,Vuda,Vuda,,RL,1-------,,-17.6,177.5,
FJ,WAI,Wairiki,Wairiki,,RL,1-------,,-16.916666666666668,178.66666666666666,
FJ,KAY,Wakaya Island,Wakaya Island,,AI,0-------,,,,
FJ,YAS,Yasawa Island,Yasawa Island,,AI,0-------,,-16.77045235,177.5275618428543,true
