country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
FM,TKK,Chuuk (ex Truk),Chuuk (ex Truk),,AI,1--4----,,,,
FM,EAU,Eauripik Atoll,Eauripik Atoll,YAP,RQ,1-------,,6.7,143.06666666666666,
FM,FSI,Faisi,Faisi,,QQ,1-------,,,,
FM,GAF,Gaferut Atoll,Gaferut Atoll,YAP,RQ,1-------,,9.233333333333333,145.38333333333333,
FM,IFA,Ifalik Atoll,Ifalik Atoll,YAP,RQ,1-------,,7.233333333333333,144.45,
FM,KSA,Kosrae (ex Kusaie),Kosrae (ex Kusaie),,AI,1--4----,,5.35674455,162.95809189251776,true
FM,LUK,Lukunor Atoll,Lukunor Atoll,TRK,RQ,1-------,,5.516666666666667,153.76666666666668,
FM,NGA,Ngatik,Ngatik,PNI,RQ,1-------,,5.8,157.26666666666668,
FM,9PA,Palau,Palau,YAP,RL,--3-----,,9.566666666666666,138.15,
FM,PNI,Pohnpei (ex Ponape),Pohnpei (ex Ponape),,AI,1--4----,,6.9836798,158.20381948562675,true
FM,PUL,Pulap Island,Pulap Island,TRK,RQ,1-------,,7.583333333333333,149.41666666666666,
FM,PLW,Puluwat,Puluwat,TRK,RQ,1-------,,7.35,149.18333333333334,
FM,SAT,Satawal,Satawal,YAP,RQ,1-------,,7.35,147.03333333333333,
FM,SOR,Sorol Atoll,Sorol Atoll,YAP,RQ,1-------,,8.133333333333333,140.38333333333333,
FM,ULI,Ulithi,Ulithi,,AI,0-------,,10.0207009,139.788892,true
FM,WOL,Woleai Atoll,Woleai Atoll,YAP,RQ,1-------,,7.35,143.86666666666667,
FM,YAP,Yap,Yap,,AI,1--4----,,9.54626825,138.16515987431325,true
