country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
FO,EDI,Eidi,Eidi,,RQ,1-------,,62.3,-7.083333333333333,
FO,FAE,F�r�� Islands-Vagar Apt,Faroo Islands-Vagar Apt,,AI,---4----,,,,
FO,FUG,Fuglafj�rdur,Fuglafjordur,,RL,1-------,,62.2439162,-6.8155938,true
FO,GLY,Glyvrar,Glyvrar,,RL,-23-----,,62.13333333333333,-6.716666666666667,
FO,HYV,Hoyvik,Hoyvik,,RL,1-3-----,,62.03333333333333,-6.75,
FO,HUS,Husevig,Husevig,,RL,1-------,,,,
FO,KVI,Klaksvik,Klaksvik,,RL,1-------,,62.2266084,-6.5852705,true
FO,KOL,Kollafj�rdur,Kollafjordur,,RL,1-3-----,,62.11666666666667,-6.883333333333333,
FO,LOP,Lopra,Lopra,,RQ,1-------,,61.4435538,-6.7710111,true
FO,NLS,N�lsoy,Nolsoy,,RL,1-3-----,,62.016666666666666,-6.666666666666667,
FO,NSK,Nor�sk�li,Noryskali,,RL,1-------,,62.21666666666667,-7,
FO,RVK,Runav�k,Runavik,,RL,1-3-----,,62.11666666666667,-6.716666666666667,
FO,SJO,Sjovar havn,Sjovar havn,,RQ,1-------,,62.1,-6.75,
FO,SKA,Sk�li,Skali,,RL,1-3-----,,62.15,-6.766666666666667,
FO,SMJ,Solmundefjord,Solmundefjord,,RQ,1-------,,,,
FO,SRV,Sorv�gur,Sorvagur,,RL,1-------,,62.06666666666667,-7.3,
FO,STR,Strendur,Strendur,,RQ,1-------,,62.11666666666667,-6.75,
FO,SYN,Streymnes,Streymnes,,RL,1-3-----,,62.2,-7.016666666666667,
FO,THO,Thorshavn,Thorshavn,,RL,1-------,,62.016666666666666,-6.766666666666667,
FO,TOF,Toftir,Toftir,,RQ,1-------,,62.1,-6.733333333333333,
FO,TOR,T�rshavn,Torshavn,,RL,1----6--,,62.166666666666664,-65,
FO,TVO,Tvoroyri,Tvoroyri,,RL,1-------,,61.55,-6.8,
FO,VID,Vadair,Vadair,,RQ,1-------,,,,
FO,VAG,V�gur,Vagur,,RL,1-3-----,,61.46666666666667,-6.816666666666666,
FO,VAZ,V�gur,Vagur,,RL,--3-----,,62.21666666666667,-6.583333333333333,
FO,VBR,Velbastadur,Velbastadur,,RL,-----6--,,61.983333333333334,-6.85,
FO,VES,Vestmanhavn,Vestmanhavn,,RL,1-------,,62.154979,-7.1659,true
