country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
FR,ACO,Abancourt,Abancourt,60,RL,--3-----,,49.7,1.7666666666666666,
FR,ABB,Abbeville,Abbeville,80,AF,12-4----,XAB,50.1,1.8333333333333335,
FR,WAH,Abeilhan,Abeilhan,34,RL,-----6--,,43.45,3.3,
FR,PW4,Abergement-le-Grand,Abergement-le-Grand,39,RL,--3-----,,46.916666666666664,5.683333333333334,
FR,TXY,Abergement-le-Petit,Abergement-le-Petit,39,RL,--3-----,,46.9,5.7,
FR,ABD,Abidos,Abidos,64,RL,--3-----,,43.4,-0.6166666666666667,
FR,AB2,Abilly,Abilly,37,RL,--3-----,,46.93333333333333,0.7166666666666667,
FR,AII,Abitain,Abitain,64,RL,-23-----,,43.416666666666664,-0.9833333333333333,
FR,AOP,Ablaincourt-Pressoir,Ablaincourt-Pressoir,80,RL,--3-----,,49.833333333333336,2.8333333333333335,
FR,ABL,Ablis,Ablis,78,RL,--3-----,,48.516666666666666,1.8333333333333335,
FR,QLO,Ablon,Ablon,14,RL,-23-----,,49.4,0.3,
FR,XAB,Abondance,Abondance,74,RL,--3-----,,46.266666666666666,6.716666666666667,
FR,6AB,Abos,Abos,64,RL,--3-----,,43.35,-0.5666666666666667,
FR,FR9,Abreschviller,Abreschviller,57,RL,--3-----,,48.63333333333333,7.1,
FR,EBT,Abrest,Abrest,03,RL,-----6--,,46.1,3.4333333333333336,
FR,AZA,Abzac,Abzac,33,RL,--3-----,,45.016666666666666,-0.13333333333333333,
FR,AKS,Accous,Accous,64,RL,--3-----,,42.96666666666667,-0.6,
FR,A3M,Achenheim,Achenheim,67,RL,--3-----,,48.56666666666667,7.616666666666667,
FR,ACH,Ach�res,Acheres,78,RL,-23-----,,48.96666666666667,2.066666666666667,
FR,A86,Achery,Achery,02,RL,1-3-----,,49.68333333333333,3.3833333333333333,
FR,AXV,Acheux-en-Vimeu,Acheux-en-Vimeu,80,RL,--3-----,,50.06666666666667,1.6833333333333333,
FR,ACI,Achicourt,Achicourt,62,RL,--3-----,,50.266666666666666,2.7666666666666666,
FR,JGD,Achiet-le-Grand,Achiet-le-Grand,62,RL,-----6--,,50.13333333333333,2.783333333333333,
FR,API,Achiet-le-Petit,Achiet-le-Petit,62,RL,--3-----,,50.11666666666667,2.75,
FR,HYX,Achy,Achy,60,RL,--3-----,,49.56666666666667,1.95,
FR,YGY,Acign�,Acigne,35,RL,-----6--,,48.13333333333333,-1.5333333333333332,
FR,ACQ,Acquigny,Acquigny,27,RL,--3-----,,49.166666666666664,1.1833333333333333,
FR,AYQ,Acy-Romance,Acy-Romance,08,RL,--3-----,,49.5,4.333333333333333,
FR,L8N,Adelans,Adelans,70,RL,--3-----,,47.7,6.4,
FR,WLL,Adilly,Adilly,79,RL,-----6--,,46.68333333333333,-0.31666666666666665,
FR,WSN,Adissan,Adissan,34,RL,-----6--,,43.53333333333333,3.4333333333333336,
FR,D86,Adriers,Adriers,86,RL,--3-----,,46.25,0.7833333333333333,
FR,AGD,Agde,Agde,34,RL,--3-----,,43.31666666666667,3.466666666666667,
FR,WGL,Agel,Agel,34,RL,-----6--,,43.333333333333336,2.85,
FR,AGF,Agen,Agen,47,AF,12-4----,,44.2,0.6166666666666667,
FR,AH3,Aghione,Aghione,2B,RL,-----6--,,42.1,9.4,
FR,IU4,Agincourt,Agincourt,54,RL,--3-----,,48.733333333333334,6.233333333333333,
FR,AM9,Agm�,Agme,47,RL,--3-----,,44.483333333333334,0.3333333333333333,
FR,WGX,Agneaux,Agneaux,50,RL,-----6--,,49.11666666666667,-1.1,
FR,AG2,Agnetz,Agnetz,60,RL,-----6--,,49.38333333333333,2.3833333333333333,
FR,ADV,Agni�res-en-D�voluy,Agnieres-en-Devoluy,05,RL,--3-----,,44.7,5.883333333333333,
FR,AXI,Agnin,Agnin,38,RL,--3-----,,45.31666666666667,4.85,
FR,2AG,Agnos,Agnos,64,RL,--3-----,,43.166666666666664,-0.6166666666666667,
FR,AGC,Agonac,Agonac,24,RL,--3-----,,45.28333333333333,0.75,
FR,AOV,Agon-Coutainville,Agon-Coutainville,50,RL,--3-----,,49.05,-1.5666666666666667,
FR,ADL,Agos-Vidalos,Agos-Vidalos,65,RL,--3-----,,43.03333333333333,-0.06666666666666667,
FR,ZBH,Agris,Agris,16,RL,-----6--,,45.78333333333333,0.3333333333333333,
FR,AGU,Aguessac,Aguessac,12,RL,--3-----,,44.15,3.1,
FR,AGR,Aguilcourt,Aguilcourt,02,RL,--3-----,,49.4,3.966666666666667,
FR,P8A,Ahetze,Ahetze,64,RL,--3-----,,43.4,-1.5666666666666667,
FR,AHN,Ahun,Ahun,23,RL,-23-----,,46.083333333333336,2.05,
FR,AYO,Ahuy,Ahuy,21,RL,--3-----,,47.36666666666667,5.033333333333333,
FR,AMH,A�cirits-Camou-Suhast,Aicirits-Camou-Suhast,64,RL,--3-----,,43.333333333333336,-1.0166666666666666,
FR,AFF,Aiffres,Aiffres,79,RL,-----6--,,46.28333333333333,-0.4166666666666667,
