country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
GA,AKE,Akieni,Akieni,,AI,---4----,,-1.13967,13.9035997,true
GA,AWE,Alowe,Alowe,,RQ,---4----,,-0.75,9.45,
GA,BEL,Belleville,Belleville,,RL,--3-----,,0.03333333333333333,11.033333333333333,
GA,BWN,Biawonque,Biawonque,,RQ,---4----,,-0.6666666666666666,9.45,
GA,BMM,Bitam,Bitam,,AI,---4----,,2.0762485,11.493744371534572,true
GA,BNG,Bongo,Bongo,,RQ,---4----,,-2.1666666666666665,10.216666666666667,
GA,BGB,Boou�,Booue,,AI,---4----,,-0.1,11.933333333333334,
GA,CLZ,Cap Lopez,Cap Lopez,,QQ,1-------,,-0.6226528,8.7134388,true
GA,CCB,Cocobeach,Cocobeach,,RL,1-------,,1.0055667,9.5842085,true
GA,EKU,Equata,Equata,1,RL,1-------,,-0.21666666666666667,9.3,
GA,ETA,Etame FPSO,Etame FPSO,,RQ,------7-,,-3.75,10.516666666666667,
GA,FOU,Fougamou,Fougamou,,AI,---4----,,-1.2164737,10.591374,true
GA,MVB,Franceville,Franceville,,AI,---4----,,-1.6343979,13.5894808,true
GA,GAX,Gamba,Gamba,,AI,1--4----,,-2.7201331,10.0189421,true
GA,IGL,Iguela,Iguela,,RQ,---4----,,-1.9166666666666665,9.3,
GA,KGB,Kongobouma,Kongobouma,,RQ,---4----,,,,
GA,KOU,Koulamoutou,Koulamoutou,,RL,--34----,,-1.1166666666666667,12.5,
GA,LBQ,Lambarene,Lambarene,,AI,---4----,,-0.70454625,10.244272032983734,true
GA,LTL,Lastoursville,Lastoursville,7,AI,--34----,,-0.8166666666666667,12.7,
GA,LCN,Leconi,Leconi,,RQ,---4----,,-1.6396875,13.5949875,true
GA,LBV,Libreville,Libreville,,AI,1--45---,,0.46194650000000004,9.411287356181017,true
GA,LUC,Lucina,Lucina,,QQ,1-------,,,,
GA,MKU,Makokou,Makokou,,AI,---4----,,0.57961795,12.890790177282753,true
GA,MDJ,Mandji,Mandji,,RQ,---4----,,-1.7,10.366666666666667,
GA,MGO,Manega,Manega,,AI,---4----,,-2.08983,10.1168,true
GA,MYB,Mayoumba,Mayoumba,,AI,---4----,,,,
GA,MBA,Mayumba,Mayumba,5,RL,-----6--,,2.9833333333333334,10.283333333333333,
GA,MBC,Mbigou,Mbigou,,AI,---4----,,-1.91391775,11.896295388766154,true
GA,MBY,M'bya Terminal,M'bya Terminal,,RQ,1-------,,-2.13539,10.91553,true
GA,MDV,M�douneu,Medouneu,,AI,---4----,,0.95,10.783333333333333,
GA,MKB,M�kambo,Mekambo,,AI,---4----,,1.0166666666666666,13.933333333333334,
GA,MVG,Mevang,Mevang,,RQ,---4----,,0.11666666666666667,11.066666666666666,
GA,GIM,Miele Mimbale,Miele Mimbale,,RQ,---4----,,-0.016666666666666666,11.383333333333333,
GA,MVX,Minvoul,Minvoul,9,AI,--34----,,2.15,12.116666666666667,
GA,MZC,Mitzic,Mitzic,,AI,---4----,,0.7825965,11.5485892,true
GA,MGX,Moabi,Moabi,,RQ,---4----,,-2.25,11,
GA,MFF,Moanda,Moanda,,AI,---4----,,-1.5279430999999999,13.253905585719252,true
GA,MJL,Mouila,Mouila,,AI,---4----,,-1.8460414,11.055740774683752,true
GA,MVE,Mvengu�,Mvengue,,RL,--3-----,,-1.65,13.383333333333333,
GA,KDN,Ndende,Ndende,,AI,---4----,,-2.3962846,11.3580781,true
GA,KDJ,Ndjol�,Ndjole,,AI,---4----,,-0.186401,10.7616837,true
GA,NKA,Nkan,Nkan,1,AI,--34----,,0.7,9.633333333333333,
GA,NYA,Nyanga,Nyanga,,RQ,1-------,,-3.0080415,10.9964746,true
GA,OGU,Oguandjo Terminal,Oguandjo Terminal,,RL,1-------,,-1.5,8.9,
GA,OKN,Okondja,Okondja,,AI,---4----,,-0.66729035,13.670882257105589,true
GA,OMB,Ombou�,Omboue,,AI,---4----,,-1.5666666666666667,9.25,
GA,OUU,Ouanga,Ouanga,,RQ,---4----,,-2.966666666666667,10.3,
GA,NGI,Owendo,Owendo,1,RL,-23-----,,0.2833333333333333,9.5,
GA,OWE,Owendo,Owendo,,AI,1--4----,,0.3208235,9.4952738,true
GA,OYE,Oyem,Oyem,,AI,---4----,,1.54637935,11.582873675829575,true
GA,POG,Port Gentil,Port Gentil,,AI,1--45---,,-0.7143701,8.75318426524845,true
GA,ZKM,Sette Cama,Sette Cama,,RQ,---4----,,-2.5166666666666666,9.75,
GA,TCT,Tchatamba,Tchatamba,,RQ,------7-,,-2.033333333333333,9.116666666666667,
GA,TCH,Tchibanga,Tchibanga,,AI,---4----,,-2.89318305,10.958768446480633,true
GA,WGY,Wagny,Wagny,,RQ,---4----,,0.5166666666666667,10.433333333333334,
GA,WNE,Wora Na Ye,Wora Na Ye,,RL,--34----,,-2.35,9.333333333333334,
