country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
GE,ZAI,Akhalkalaki,Akhalkalaki,,RL,-----6--,,41.4,43.46666666666667,
GE,ASE,Akhalts'ikhe,Akhalts'ikhe,,RL,-----6--,,41.63333333333333,42.96666666666667,
GE,ZAH,Akhmeta,Akhmeta,,RL,-----6--,,42.016666666666666,45.2,
GE,BUS,Batumi,Batumi,,AI,1--4----,,41.6093905,41.600613707764694,true
GE,BNS,Bolnisi,Bolnisi,KK,RL,--3-----,,41.36666666666667,44.5,
GE,ZAL,Borjomi,Borjomi,,RL,-----6--,,41.833333333333336,43.36666666666667,
GE,CHT,Chiat'ura,Chiat'ura,IM,RL,--3-----,,42.28333333333333,43.28333333333333,
GE,GEO,Chokhatauri,Chokhatauri,GU,RL,--3-----,,42.016666666666666,42.25,
GE,ZAC,Chrebalo,Chrebalo,,RL,-----6--,,42.55,42.96666666666667,
GE,DED,Dedoplistskaro,Dedoplistskaro,KA,RL,--3-----,,41.46666666666667,46.1,
GE,ZAE,Dmanisi,Dmanisi,,RL,-----6--,,41.31666666666667,44.35,
GE,GGR,Gagra,Gagra,AB,RL,--3-----,,43.31666666666667,40.21666666666667,
GE,GAR,Gardabani,Gardabani,KK,RL,--3-----,,41.45,45.083333333333336,
GE,ZAF,Gori,Gori,,RL,-----6--,,41.96666666666667,44.1,
GE,GUD,Gudauri,Gudauri,MM,RL,-23-----,,42.46666666666667,44.46666666666667,
GE,GUR,Gurjaani,Gurjaani,,RL,--3-----,,41.7463818,45.7946722,true
GE,KAK,Kakheti,Kakheti,TB,RL,-----6--,,41.75,45.71666666666667,
GE,KAR,Kareli,Kareli,,RL,-----6--,,42.016666666666666,43.9,
GE,ZAG,Kaspi,Kaspi,,RL,-----6--,,41.9,44.416666666666664,
GE,KAZ,Kazreti,Kazreti,KK,RL,--3-----,,41.36666666666667,44.4,
GE,IES,Khashmi,Khashmi,TB,RL,1-3-----,,41.75,45.166666666666664,
GE,KHI,Khashuri,Khashuri,SK,RL,-23-----,,41.983333333333334,43.583333333333336,
GE,KAI,Khelvach'auri,Khelvach'auri,AJ,RL,--3-----,,41.583333333333336,41.666666666666664,
GE,KUL,Kulevi,Kulevi,,RL,1-------,,42.266666666666666,41.63333333333333,
GE,KUT,Kutaisi,Kutaisi,,AI,---4----,,42.2588629,42.662991965434514,true
GE,ZAB,Kvareli,Kvareli,,RL,-----6--,,41.95,45.8,
GE,LDK,Lagodekhi,Lagodekhi,KA,RL,-----6--,,41.81666666666667,46.28333333333333,
GE,LAN,Lanch' khut' i,Lanch' khut' i,GU,RL,--3-----,,42.083333333333336,42.03333333333333,
GE,LIL,Lilo,Lilo,,RQ,--3-----,,41.666666666666664,44.96666666666667,
GE,MAR,Marneuli,Marneuli,,RL,--3-----,,41.46666666666667,44.81666666666667,
GE,ZAA,Mtskheta,Mtskheta,,RL,-----6--,,41.833333333333336,44.7,
GE,NAB,Nabeghlavi,Nabeghlavi,GU,RL,--3-----,,41.93333333333333,42.35,
GE,NAT,Natakhtari,Natakhtari,KK,RL,--3-----,,41.916666666666664,44.71666666666667,
GE,KHV,Orkhevi,Orkhevi,,RL,-----6--,,41.96666666666667,45.016666666666666,
GE,5OZ,Ozurgeti,Ozurgeti,GU,RL,--3-----,,41.916666666666664,42,
GE,PTI,Poti,Poti,,QQ,1-------,,42.1533699,41.67691623453118,true
GE,ZAK,Rustavi,Rustavi,,RL,-----6--,,41.53333333333333,45,
GE,RTV,Rust'Avi,Rust'Avi,,RQ,--3-----,,41.53333333333333,45,
GE,SAC,Sach' khere,Sach' khere,,RL,--3-----,,42.333333333333336,43.416666666666664,
GE,SAG,Saguramo,Saguramo,TB,RL,--3-----,,41.9,44.75,
GE,STD,Samtredia,Samtredia,,RL,-----6--,,42.15,42.333333333333336,
GE,ZAJ,Senaki,Senaki,,RL,-----6--,,42.266666666666666,42.06666666666667,
GE,SHP,Shorapani,Shorapani,,RL,-----6--,,42.083333333333336,43.1,
GE,SIG,Sighnaghi,Sighnaghi,TB,RL,--3-----,,41.61666666666667,45.916666666666664,
GE,SUI,Sokhumi,Sokhumi,SZ,AI,--34----,,43,41.016666666666666,
GE,ABK,Sukhumi,Sukhumi,AB,RL,1-3-----,,43,41,
