country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon
GF,CCY,Awala-Yalimapo,Awala-Yalimapo,,AA,1-3-----,,5.683333333333334,-53.93333333333333
GF,CAY,Cayenne,Cayenne,,AI,1--45---,,4.933333333333334,-52.333333333333336
GF,DDC,D�grad des Cannes,Degrad des Cannes,,RL,1-------,,4.866666666666667,-52.266666666666666
GF,REM,D�grad des Cannes-Pariacabo Pt/Remire,Degrad des Cannes-Pariacabo Pt/Remire,,RL,1-3--67-,,4.883333333333333,-52.28333333333333
GF,GDE,Guadeloupe,Guadeloupe,,RL,---4----,,4.733333333333333,-53.78333333333333
GF,QKR,Kourou,Kourou,,AF,1-345---,,5.15,-52.63333333333333
GF,MCR,Macouria,Macouria,,RL,--3-----,,5.016666666666667,-52.483333333333334
GF,BCY,Mana,Mana,,AA,--34----,,5.6,-53.81666666666667
GF,MPY,Maripasoula,Maripasoula,,AI,---4----,,3.6333333333333333,-54.03333333333333
GF,MTY,Matoury,Matoury,,RL,--3-----,,4.85,-52.333333333333336
GF,MON,Montsin�ry-Tonnegrande,Montsinery-Tonnegrande,,AA,--3-----,,4.9,-52.5
GF,LCY,Ouanary,Ouanary,,AA,1--4----,,4.216666666666667,-51.666666666666664
GF,REI,Regina,Regina,,AI,---4----,,4.316666666666666,-52.13333333333333
GF,OYP,Saint-Georges,Saint-Georges,,AI,1-34----,,3.9,-51.8
GF,SLM,Saint-Laurent-du-Maroni,Saint-Laurent-du-Maroni,,AA,1-34----,,5.5,-54.03333333333333
GF,XAU,Saul,Saul,,AI,---4----,,3.6166666666666667,-53.21666666666667
GF,SMY,Sinnamary,Sinnamary,,RL,--3-----,,5.383333333333334,-52.95
