country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
GH,ABK,Abeka,Abeka,AA,RL,--3-----,,5.6,-0.23333333333333334,
GH,ABO,Abor,Abor,TV,RL,--3-----,,6.05,0.8666666666666667,
GH,ACC,Accra,Accra,,AI,---45---,,5.60428935,-0.167967625794569,true
GH,ACH,Achimota,Achimota,,RL,-----6--,,5.616666666666667,-0.23333333333333334,
GH,ADA,Ada,Ada,,QQ,1-------,,5.9169853,-0.5699183,true
GH,ANN,Ahinsan,Ahinsan,AH,RL,-----6--,,6.333333333333333,-1.5166666666666666,
GH,ASB,Akosombo,Akosombo,EP,RL,--3-----,,6.3,0.5,
GH,AMA,Amasaman,Amasaman,,RL,-----6--,,5.7,-0.3,
GH,ASA,Asamankese,Asamankese,,RL,--3-----,,5.866666666666667,-0.6666666666666666,
GH,ASH,Ashaiman,Ashaiman,AA,RL,-----6--,,5.7,-0.3333333333333333,
GH,AUR,Aura,Aura,,QQ,1-------,,,,
GH,AXI,Axim,Axim,,QQ,1-------,,4.865362,-2.242169,true
GH,BEN,Benin,Benin,CP,RL,--3-----,,5.6,-1,
GH,BKM,Berekum,Berekum,,RQ,--3-----,,7.45,-2.5666666666666664,
GH,BOG,Bogoso,Bogoso,WP,RL,--3-----,,5.566666666666666,-2.0166666666666666,
GH,BTG,Bolgatanga,Bolgatanga,UE,RL,-----6--,,10.783333333333333,-0.85,
GH,NPU,Buipe,Buipe,NP,RL,--3-----,,8.783333333333333,-1.5333333333333332,
GH,CCT,Cape Coast,Cape Coast,,QQ,1-------,,5.107467,-1.2430793,true
GH,EJU,Ejura,Ejura,,RL,--3-----,,7.366666666666666,-1.3666666666666667,
GH,GUM,Gumani,Gumani,NP,RL,-----6--,,9.45,-0.7666666666666667,
GH,HOV,Ho,Ho,TV,RL,--3-----,,6.6,0.4666666666666667,
GH,JUB,Jubilee FPSO,Jubilee FPSO,,RQ,------7-,,4.616666666666667,-2.9166666666666665,
GH,JUM,Jumapo,Jumapo,EP,RL,-----6--,,6.15,-0.3,
GH,KSA,Kasoa,Kasoa,CP,RL,--3-----,,5.516666666666667,-0.4666666666666667,
GH,KTM,Katamanso,Katamanso,AA,RL,-----6--,,5.733333333333333,-0.8333333333333334,
GH,KIT,Keta,Keta,,QQ,1-------,,5.9215688,0.9910728,true
GH,KOF,Koforidua,Koforidua,,RL,-23-----,,6.083333333333333,-0.25,
GH,KKL,Kokomlemle,Kokomlemle,AA,RL,-----6--,,5.566666666666666,-0.21666666666666667,
GH,KGO,Konongo,Konongo,,RQ,--3-----,,6.616666666666667,-1.2,
GH,KTP,Kotoka,Kotoka,,AI,----5---,,,,
GH,KPA,Kpandu,Kpandu,,RQ,--3-----,,7,0.2833333333333333,
GH,KPE,Kpetoe,Kpetoe,,RQ,--3-----,,6.55,0.6833333333333333,
GH,KAI,Kumasi,Kumasi,AH,RL,--3-----,,6.683333333333334,-1.6166666666666667,
GH,KMS,Kumasi,Kumasi,,AI,---4----,,6.7150762,-1.5903265519696532,true
GH,KMU,Kumawu,Kumawu,,RQ,--3-----,,6.9,-1.2666666666666666,
GH,KYB,Kyebi,Kyebi,EP,RL,-23-----,,6.166666666666667,-0.55,
GH,LAW,Lawra,Lawra,UW,RL,--3-----,,10.65,-2.8666666666666667,
GH,LEG,Legon,Legon,,RL,--3-----,,5.65,-0.2,
GH,MAD,Madina,Madina,AA,RL,--3-----,,5.683333333333334,-0.16666666666666666,
GH,MIM,Mim,Mim,BA,RL,-----6--,,6.9,-2.5666666666666664,
GH,NAV,Navrongo,Navrongo,UE,RL,--3-----,,10.883333333333333,-0.25,
GH,NSA,Nsawam,Nsawam,,RL,-23-----,,5.8,-0.35,
GH,OBU,Obuasi,Obuasi,,RL,-23-----,,6.2,-1.6666666666666665,
GH,ODA,Oda,Oda,,RQ,--3-----,,5.916666666666667,-6.5,
GH,ODK,Odorko,Odorko,AA,AM,--3-----,,5.583333333333333,-0.26666666666666666,
GH,SKM,Sakumono,Sakumono,,RL,-----6--,,5.616666666666667,-0.05,
GH,SPD,Saltpond,Saltpond,,RQ,1-------,,5.203008,-1.057419,true
GH,SEK,Sekondi,Sekondi,,QQ,1-------,,4.937,-1.7127928,true
GH,SHA,Shama,Shama,,QQ,1-------,,5.0102883,-1.6289843,true
GH,SOM,Somanya,Somanya,EP,RL,--3-----,,6.1,-0.16666666666666666,
GH,NYI,Sunyani,Sunyani,,AI,---4----,,7.3610643499999995,-2.3294709553617,true
GH,TKD,Takoradi,Takoradi,,AI,1--45---,,4.89553145,-1.7736661360323995,true
GH,TML,Tamale,Tamale,,AI,---4----,,9.4051992,-0.8423986,true
GH,TWA,Tarkwa,Tarkwa,AH,RL,--3-----,,5.3,-1.9833333333333334,
GH,T8G,Techiman,Techiman,BA,RL,--3-----,,7.583333333333333,-1.9333333333333333,
GH,TEM,Tema,Tema,,QQ,1-------,,5.6596441,-0.0096592,true
GH,TES,Tesano,Tesano,AA,RL,-----6--,,5.6,-0.21666666666666667,
GH,TSH,Teshie,Teshie,AA,RL,-23-----,,5.583333333333333,-0.1,
GH,WA2,Wa,Wa,UW,RL,--3-----,,10.066666666666666,-2.5,
GH,WWL,Walewale,Walewale,NP,RL,--3-----,,10.35,-0.8,
GH,WEI,Weija,Weija,AA,AM,--3-----,,5.566666666666666,-0.3333333333333333,
GH,WEA,Winneba,Winneba,,QQ,1-------,,5.35006,-0.62134,true
