country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
GL,JEG,Aasiaat (Egedesminde),Aasiaat (Egedesminde),,AI,1--4----,,68.7218676,-52.784103450705786,true
GL,LLU,Alluitsup Paa,Alluitsup Paa,,AI,---45---,,60.45,-45.55,
GL,JRK,Arsuk,Arsuk,,AI,---4----,,61.1768644,-48.419604969646194,true
GL,DAN,Daneborg,Daneborg,,QQ,1-------,,74.3046566,-20.2224284,true
GL,DUN,Dundas,Dundas,,AI,---4----,,76.52994655,-68.7145635800423,true
GL,IKE,Ikerasak,Ikerasak,,RQ,--3-----,,70.5,-51.3,
GL,OBY,Illorqortoormiut (Scoresbysund),Illorqortoormiut (Scoresbysund),,AI,1--4----,,,,
GL,ILL,Illorsuit,Illorsuit,,RQ,--3-----,,71,-53,
GL,JAV,Ilulissat (Jakobshavn),Ilulissat (Jakobshavn),,AI,1--4----,,69.5,-48,true
GL,ITQ,Isertoq,Isertoq,,RQ,--3-----,,64.56666666666666,-39.016666666666666,
GL,IUT,Ivigtut,Ivigtut,,QQ,1-------,,61.26616505,-48.14362754420823,true
GL,QKT,Kangaamiut,Kangaamiut,,RQ,--34----,,65.83333333333333,-53.333333333333336,
GL,QPW,Kangaatsiaq,Kangaatsiaq,,AI,----5---,,68.3,-53.46666666666667,
GL,FHN,Kangerdluarssoruseg (F�ringehavn,Kangerdluarssoruseg (Faringehavn,,AI,1-------,,,,
GL,SFJ,Kangerlussuaq (Sondre Stromfjord,Kangerlussuaq (Sondre Stromfjord,,AI,---4----,,67.01133010000001,-50.70745791678873,true
GL,KAN,Kangerlussuaq Havn,Kangerlussuaq Havn,,RL,1-------,,66.96666666666667,-50.93333333333333,
GL,JGR,Kangilinguit (Gronnedal),Kangilinguit (Gronnedal),,AI,1--4----,,61.2321065,-48.0942522,true
GL,KUL,Kullorsuaq,Kullorsuaq,,RQ,1-3-----,,74.58333333333333,-57.2,
GL,KUS,Kulusuk,Kulusuk,,AI,1--4----,,65.57415205000001,-37.124473406699465,true
GL,KUN,Kuummiut,Kuummiut,,RL,1-------,,65.86666666666666,-37.016666666666666,
GL,MML,Maarmorliik,Maarmorliik,,RQ,1-------,,71.13333333333334,-51.28333333333333,
GL,JSU,Maniitsoq (Sukkertoppen),Maniitsoq (Sukkertoppen),,AI,1--4----,,65.5,-51.75,true
GL,MRG,Mesters Vig,Mesters Vig,,QQ,1-------,,,,
GL,NAL,Nalunaq Gold Mine,Nalunaq Gold Mine,,RL,1-3-----,,60.31666666666667,-44.93333333333333,
GL,JNN,Nanortalik,Nanortalik,,AI,1--4----,,60.15159065,-45.279489700099276,true
GL,JNS,Narsaq,Narsaq,,AI,---4----,,60.9127453,-46.0452698,true
GL,UAK,Narsarsuaq,Narsarsuaq,,AI,1--4----,,61.160315,-45.42554416501686,true
GL,CNP,Neerlerit Inaat,Neerlerit Inaat,,AI,---4----,,70.74137594999999,-22.646402547542213,true
GL,NUG,Nuugaatsiaq,Nuugaatsiaq,,RQ,--3-----,,71.535,-53.2125,true
GL,GOH,Nuuk (Godthaab),Nuuk (Godthaab),,AI,1-34----,,64.18333333333334,-51.75,
GL,JFR,Paamiut (Fredrikshaab),Paamiut (Fredrikshaab),,QQ,1--4----,,62.014621250000005,-49.67085832613154,true
GL,THU,Pituffik,Pituffik,,AI,1--4----,,76.52994655,-68.7145635800423,true
GL,NAQ,Qaanaaq,Qaanaaq,,AI,1--4----,,77.48813885,-69.3834623056778,true
GL,JQA,Qaarsut,Qaarsut,,AI,---45---,,70.73333333333333,-52.65,
GL,JJU,Qaqortoq (Julianehaab),Qaqortoq (Julianehaab),,AI,1--4----,,60.729364,-46.044166,true
GL,JCH,Qasigiannguit (Christianshaab),Qasigiannguit (Christianshaab),,AI,1--4----,,68.816667,-51.183335,true
GL,JGO,Qeqertarsuaq (Godhavn),Qeqertarsuaq (Godhavn),,AI,1--4----,,77.4218092,-70.1359684,true
GL,QUE,Qullissat,Qullissat,,RQ,---4----,,70.0844444,-53.0097222,true
GL,SAA,Saattut,Saattut,,RQ,--3-----,,70.8,-51.61666666666667,
GL,SEQ,Seqi Olivine Mine,Seqi Olivine Mine,,RL,1-3-----,,64.96666666666667,-51.56666666666667,
GL,JHS,Sisimiut (Holsteinsborg),Sisimiut (Holsteinsborg),,AI,1--4----,,66.91667,-48,true
GL,AGM,Tasiilaq,Tasiilaq,,AI,1--4----,,65.6,-37.63333333333333,
GL,TAS,Tasiusaq,Tasiusaq,,RQ,--3-----,,73.4,-56,
GL,TNT,Tiniteqilaaq,Tiniteqilaaq,,RL,1-3-----,,65.9,-37.81666666666667,
GL,TOV,Toqqusaq,Toqqusaq,,RL,1-------,,64.86666666666666,-52.2,
GL,JUV,Upernavik,Upernavik,,AI,---4----,,72.79142075,-56.129670347979825,true
GL,UMD,Uummannaq,Uummannaq,,AI,1--4----,,70.6748905,-52.1268737,true
