country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
GM,BAK,Bakau,Bakau,,AI,----5---,,13.477453,-16.6779085,true
GM,BJL,Banjul,Banjul,,AI,1--45---,,13.45535,-16.575646,true
GM,BAN,Bansang,Bansang,,AI,----5---,,13.4357739,-14.6587882,true
GM,BSS,Basse Santa Su,Basse Santa Su,,AI,----5---,,13.31004,-14.2150033,true
GM,BRB,Brikama Ba,Brikama Ba,,AI,----5---,,13.537606,-14.927528,true
GM,BWI,Bwiam,Bwiam,,AI,----5---,,13.229978,-16.0824125,true
GM,FKD,Faji Kunda,Faji Kunda,B,RL,--3-----,,13.416666666666666,-16.666666666666668,
GM,FAR,Farafenni,Farafenni,,AI,----5---,,13.5721243,-15.5979467,true
GM,KFG,Kanifing,Kanifing,B,RL,--3-----,,13.433333333333334,-16.666666666666668,
GM,KAR,Karanai,Karanai,,RL,--3-----,,13.216666666666667,-16.15,
GM,KAU,Kau-ur,Kau-ur,,AI,----5---,,13.7,-15.316666666666666,
GM,KUN,Kuntair,Kuntair,,AI,----5---,,13.5353931,-16.2217519,true
GM,JTB,MacCarthy Island (Jangjangbureh),MacCarthy Island (Jangjangbureh),M,AI,----5---,,13.533333333333333,-14.766666666666667,
GM,MAK,Mansa Konko,Mansa Konko,,AI,----5---,,13.458544,-15.53404,true
GM,SYG,Sanyang,Sanyang,W,RL,-----6--,,13.266666666666667,-16.75,
GM,SKE,Serekunda,Serekunda,,AI,----5---,,13.438762,-16.674807,true
GM,SUK,Sukuta,Sukuta,W,RL,1----6--,,13.4,-16.7,
GM,YDM,Yundum,Yundum,W,RL,--3-----,,13.333333333333334,-16.666666666666668,
