country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon,geocoded
GN,BEL,Bel-Air,Bel-Air,BF,AM,1-3-----,,10.233333333333333,-14.466666666666667,
GN,BTY,Benty,Benty,,QQ,1-------,,9.1626911,-13.2175762,true
GN,BEY,Beyla,Beyla,BE,AM,--3-----,,8.683333333333334,-8.633333333333333,
GN,BFA,Boffa,Boffa,BF,AM,1-3-----,,10.183333333333334,-14.033333333333333,
GN,BKJ,Bok�,Boke,,AI,---4----,,10.933333333333334,-14.3,
GN,CKY,Conakry,Conakry,,AI,1--45---,,9.576551250000001,-13.613075755188323,true
GN,CKA,Conakry Eco,Conakry Eco,KD,RL,-----6--,,9.5,-13.7,
GN,COY,Coyah,Coyah,CO,AM,--3-----,,9.7,-13.35,
GN,DAB,Dabola,Dabola,DB,AM,--3-----,,10.733333333333333,-11.116666666666667,
GN,DPL,Dapilon,Dapilon,BK,AM,1-3-----,,10.85,-14.5,
GN,DIN,Dinguiraye,Dinguiraye,DI,AM,--3-----,,11.283333333333333,-10.716666666666667,
GN,PMT,Dougoula,Dougoula,BK,AM,123-----,,10.75,-14.55,
GN,DKA,Dubreka,Dubreka,DU,AM,1-3-----,,9.783333333333333,-13.5,
GN,FAA,Faranah,Faranah,,AI,---4----,,10.0359509,-10.76962816625008,true
GN,FRM,Farmoreya,Farmoreya,FO,AM,--3-----,,9.266666666666667,-13.033333333333333,
GN,FOR,Forecariah,Forecariah,FO,AM,--3-----,,9.433333333333334,-13.083333333333334,
GN,FIG,Fria,Fria,,AI,---4----,,10.3515213,-13.5691599,true
GN,GAO,Gaoual,Gaoual,GA,AM,--3-----,,11.75,-13.2,
GN,GUE,Gueckedou,Gueckedou,GU,AM,--3-----,,80.56666666666666,-10.133333333333333,
GN,KGB,Kagb�len,Kagbelen,DU,AM,--3-----,,9.716666666666667,-13.516666666666667,
GN,KMC,Kamsar,Kamsar,BK,AM,1234-6--,,10.666666666666666,-14.583333333333334,
GN,KNN,Kankan,Kankan,,AI,---4----,,10.3835169,-9.3069354,true
GN,KTG,Katougouma,Katougouma,BK,AM,1-3-----,,0.05,-14.45,
GN,KER,Kerouane,Kerouane,KE,AM,--3-----,,9.266666666666667,-9.016666666666667,
GN,KDA,Kindia,Kindia,KD,AM,-23-----,,10.05,-12.85,
GN,KIN,Kini�ro,Kiniero,KO,RL,--3-----,,10.4,-9.75,
GN,KSI,Kissidougou,Kissidougou,,AI,---4----,,9.1608546,-10.1245813,true
GN,KOU,Koubia,Koubia,KB,AM,--3-----,,10.066666666666666,-13.633333333333333,
GN,SBI,Koundara,Koundara,,AI,---4----,,12.485154,-13.298509,true
GN,KRS,Kouroussa,Kouroussa,KO,AM,--3-----,,10.65,-9.883333333333333,
GN,LEK,Labe,Labe,,AI,---4----,,11.3369569,-12.29172796866526,true
GN,LEL,L�louma,Lelouma,LE,AM,--3-----,,11.433333333333334,-12.683333333333334,
GN,LOL,Lola,Lola,LO,AM,--3-----,,7.8,-8.533333333333333,
GN,MCA,Macenta,Macenta,,AI,---4----,,8.545846,-9.46792,true
GN,MLI,Mali,Mali,ML,AM,--3-----,,12.05,-12.3,
GN,MMO,Mamou,Mamou,MM,AM,--3-----,,10.366666666666667,-12.083333333333334,
GN,MDN,Mandiana,Mandiana,MD,AM,--3-----,,10.633333333333333,-8.7,
GN,SBY,Moresby,Moresby,,RQ,1-------,,,,
GN,NZE,Nzerekore,Nzerekore,,AI,---4----,,7.7589949,-8.8160001,true
GN,PIT,Pita,Pita,PI,AM,--3-----,,11.05,-12.4,
GN,BRP,Port de Bok�,Port de Boke,BK,RL,1-------,,10.516666666666667,-14.716666666666667,
GN,KMR,Port-Kamsar,Port-Kamsar,,RL,1-------,,10.65,-14.616666666666667,
GN,SBL,Sambailo,Sambailo,KN,AM,--34----,,12.583333333333334,-13.366666666666667,
GN,SGD,Sangar�di,Sangaredi,BK,AM,-23--6--,,11.1,-13.816666666666666,
GN,GII,Siguiri,Siguiri,,AI,---4----,,11.400282950000001,-9.188008508900715,true
GN,TEL,T�lim�l�,Telimele,TE,AM,--3-----,,10.9,-13.033333333333333,
GN,TOU,Tougu�,Tougue,TO,AM,--3-----,,11.45,-11.666666666666666,
GN,YOM,Yomou,Yomou,YO,AM,--3-----,,7.566666666666666,-9.266666666666667,
