country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon
GP,FPI,Anse-Bertrand,Anse-Bertrand,,AA,1-3-----,,16.466666666666665,-61.516666666666666
GP,BMH,Baie-Mahault,Baie-Mahault,,AA,1-3-----,,16.266666666666666,-61.583333333333336
GP,AIF,Baillif,Baillif,,AA,1-3-----,,16.033333333333335,-61.733333333333334
GP,BBR,Basse-Terre,Basse-Terre,,AI,1--45---,,16,-61.71666666666667
GP,BOU,Bouillante,Bouillante,,RQ,1-3-----,,16.133333333333333,-61.766666666666666
GP,CBE,Capesterre-Belle-Eau,Capesterre-Belle-Eau,,RL,1----6--,,16.05,-61.55
GP,DHR,Deshaies,Deshaies,,RQ,1-3-----,,16.3,-61.78333333333333
GP,FAE,Folle-Anse,Folle-Anse,,RL,1-3-----,,15.95,-61.333333333333336
GP,GOU,Gourbeyre,Gourbeyre,,RL,--3-----,,16,-61.7
GP,GOY,Goyave,Goyave,,RL,--3-----,,16.133333333333333,-61.56666666666667
GP,GRB,Grand-Bourg,Grand-Bourg,,RL,1-------,,15.883333333333333,-61.3
GP,JAR,Jarry,Jarry,,XX,1-------,,16.233333333333334,-61.55
GP,DSD,La D�sirade,La Desirade,,AI,---4----,,16.3,-61.083333333333336
GP,LAM,Lamentin,Lamentin,,RL,--3-----,,16.266666666666666,-61.61666666666667
GP,GOS,Le Gosier,Le Gosier,,RL,1-3-----,,16.2,-61.483333333333334
GP,LEM,Le Moule,Le Moule,,RL,--3-----,,16.333333333333332,-61.333333333333336
GP,BYM,Les Abymes,Les Abymes,,RL,-----6--,,16.283333333333335,-61.5
GP,GBJ,Marie-Galante,Marie-Galante,,AI,---4----,,15.866666666666667,-61.266666666666666
GP,MSB,Marigot,Marigot,,AI,1-34----,,18.066666666666666,-63.083333333333336
GP,PBG,Petit-Bourg,Petit-Bourg,,RQ,1-3-----,,16.183333333333334,-61.583333333333336
GP,PTC,Petit-Canal,Petit-Canal,,RL,--3-----,,16.383333333333333,-61.483333333333334
GP,PAP,Pointe-�-Pitre,Pointe-a-Pitre,,XX,--3-----,,16.233333333333334,-61.516666666666666
GP,PTP,Pointe-�-Pitre,Pointe-a-Pitre,,AF,1-345---,,16.233333333333334,-61.53333333333333
GP,ZAA,Pointe-Noire,Pointe-Noire,,RL,--3--6--,,16.233333333333334,-61.78333333333333
GP,PTL,Port-Louis,Port-Louis,,RL,1-3--6--,,16.416666666666668,-61.53333333333333
GP,SCL,Saint-Claude,Saint-Claude,,RL,--3-----,,16.016666666666666,-61.68333333333333
GP,STA,Sainte-Anne,Sainte-Anne,,RL,--3-----,,16.233333333333334,-61.36666666666667
GP,STR,Sainte-Rose,Sainte-Rose,,RL,--3-----,,16.333333333333332,-61.7
GP,SFC,Saint-Fran�ois,Saint-Francois,,RL,1-3-----,,16.25,-61.266666666666666
GP,HTB,Terre-de-Bas,Terre-de-Bas,,AI,---4----,,15.85,-61.63333333333333
GP,LSS,Terre-de-Haut,Terre-de-Haut,,AI,---4----,,15.866666666666667,-61.583333333333336
GP,TRS,Trois-Rivi�res,Trois-Rivieres,,RL,-----6--,,15.966666666666667,-61.63333333333333
